-0.0727849429848576+2.78719385540072e-17i,0.0691845628732546-2.10879538222489e-17i,0.0930137545423614+1.10269385187053e-16i,0.00824461983236281-3.89674223267628e-17i,0.0388610171460004+8.33556473531954e-17i,0.021628266369338+2.02391738959283e-17i,0.0709750973000775-2.68927319476368e-17i
0.0382160316089914-3.30750394027753e-17i,0.0954612516712887-1.34615268363642e-17i,-0.0938734319631525-4.86119196715154e-17i,0.02996865985731+1.49389070552703e-17i,0.0121981008655939-2.9185542003566e-17i,0.0860122325152666+6.22288778004582e-18i,0.0151928964495274+4.71037416197354e-17i
-0.0507273690489878+5.05022496090559e-17i,-0.0101165547735885+1.02565696393065e-16i,0.0532226564047492-8.12296955904541e-17i,-0.0987448209918982+4.81634767360245e-17i,0.0478081339004149-4.83342944026533e-17i,0.00889860037234724-1.01236754515329e-17i,0.0250053145236966-2.20500056143557e-17i
-0.0316392058284834+4.21657213425295e-17i,-0.0751817909565743+7.8561844259097e-17i,0.058118341923364-3.49203063999769e-17i,-0.0594165990116124+3.50642345322239e-17i,0.0378426025426733-1.17788832379085e-17i,0.000918250043220688-3.28993173366809e-18i,0.0106029902699363-4.51188361246822e-17i
0.0117611396093712-4.12972311509181e-17i,0.148499431501844-5.65022392891492e-17i,-0.0787786027992432-2.88767693513137e-18i,0.00922981005373629-3.6064130998684e-17i,-0.00010630955776985+1.25173884316788e-17i,0.00765224318568788-2.2671944898426e-17i,0.0489535283090697+7.67317335216258e-17i
0.0122339113004339+2.1120134362848e-17i,-0.0452192199624525+4.93115284920771e-17i,0.0139506369738801-1.51499533769328e-17i,0.00510043780833238+3.34987190199852e-17i,0.0248063707943462-1.10726903148955e-17i,0.0113532188917293+1.6843520446133e-17i,-0.00258446633645629-3.66908151327282e-17i
-0.0295094370081183+1.70647822860325e-17i,-0.0837600201432631+9.24352543915619e-18i,0.0442302174701763+1.387145134934e-17i,0.00351414078883774+8.5805366622124e-18i,-0.032701499586523+2.81917751493796e-17i,-0.00741522908241808-9.75882238815944e-18i,0.0352177030856411-3.99439909662266e-17i
0.00704820180530927-3.20865640851594e-17i,0.0786259827907875-1.87412409940079e-17i,-0.020105616333109+3.76355735832223e-17i,-0.0321746755479821-2.53817218457825e-17i,-0.0152171935493899+1.93116327139726e-17i,-0.0024770570615756-8.28495090479911e-19i,0.0169533609054278+3.97873866744477e-17i
0.0233879104344765-1.05345513484674e-17i,-0.010437041358712+1.83870341433074e-17i,-0.0275820654734227-3.09134834724219e-17i,-0.00506912317803304+5.5243458792579e-18i,-0.0058615536941182-2.91288683871786e-17i,-0.0450464046260694-2.1193254835853e-17i,0.0162948954776715-1.01928832440868e-19i
-0.0231544142537787+2.21438051978795e-17i,-0.0192952489288568+6.58476566522546e-17i,0.0142240570720032-7.17580269594433e-17i,-0.033736841528981+3.36125287385343e-17i,-0.00791272797819558-2.6386087203205e-17i,-0.00610787166602561-2.29756914688075e-18i,0.0200492199495811-2.94595115249358e-17i
