0.026986028130775-1.34649544838629e-17i,-0.0883698111566106+3.59391470525062e-17i,-0.0501344966368924+2.22215490924951e-17i,0.0290068776075318+1.55983694350351e-17i,-0.029118366555229-5.65873282365056e-17i,-0.0281955376268559+2.81110003492198e-17i,-0.0470842657398414-4.30600191451978e-18i
-0.0102069835006125+7.90916668215525e-18i,0.017486055401263-1.78556544588427e-17i,-0.00693816681739589-2.52232980852904e-17i,-0.00398907583634809+7.94690433085296e-17i,0.0424443481548953+5.19921750852613e-17i,0.0492830176218751+5.51588211015999e-18i,0.0122640449991-1.7998744010372e-17i
0.0139304701811341-2.04285354186611e-17i,-0.0535320527954405+1.13912897756704e-16i,-0.0262508083568935+8.06400554951753e-17i,0.0293665378546488+4.74667860503212e-17i,-0.0275201110873793+2.7750666075862e-18i,-0.0100372540308944+9.39032049776165e-18i,-0.00197088727383605-9.3775206872346e-17i
0.00969264441148148-2.92800211104306e-17i,-0.00921414534773848+2.67263010646466e-17i,0.0263745488460487+7.21664914911686e-17i,-0.105170645896571-1.05179393900833e-16i,0.0370431720000742-3.5338506526089e-17i,-0.0345885721933887-4.50652450071113e-17i,-0.0576412175532269+8.25024020233853e-17i
0.00287965798239077-2.86227532665106e-17i,0.0331352099223221+1.12070889795645e-16i,0.00560163971219192-1.58563378550119e-17i,-0.0929946676886858-5.3330207457368e-17i,0.0035091653425714-2.29841759432776e-17i,0.00126932725066663-6.57882999976937e-18i,-0.0217623231787821-2.89222829567648e-17i
-0.0072616358849893+5.66342182068509e-18i,0.0140740790459951+6.79553109407281e-18i,-0.0179643396383624-4.08613206190357e-18i,-0.00518334496514726-3.83436277302442e-17i,0.0300464447886171+2.58202499626275e-17i,-0.0371809098044914-8.05146368992414e-17i,0.0353172420370088+3.77334734504823e-17i
0.0142358404220935-3.8923409918077e-17i,-0.0197028287302839+6.45708222643588e-17i,-0.0395253409056775-2.21880178667824e-17i,0.0553452382517796-7.56733589913489e-17i,-0.0227689844845805-8.92897238023763e-17i,-0.0492072524536225+1.34119811349913e-16i,-0.0346103911277733+4.10771527093306e-17i
-0.0137774579771285+2.5442548495131e-17i,0.018283867810012-9.01302566375974e-18i,0.00579554961295735+7.24056191512489e-18i,-0.0560167075062216+5.81038555011864e-17i,0.0147647222474555+9.24618067794997e-17i,0.0181311919508263-1.6216349475511e-16i,0.0660193087656415-4.29698281850126e-17i
-0.0139803536206681+6.59946060026748e-18i,0.0542392978567368-1.11927212755651e-16i,0.0248136814232649-5.26850848352199e-17i,-0.0336238724577075-1.89167170238293e-17i,0.0514111188436737+7.96462763722908e-18i,0.029386945372958+5.10384423342016e-17i,-0.00117184164537111+8.75397924317052e-17i
0.0224017896409838-2.30946012910949e-17i,-0.0571087123623024+1.42847112523974e-16i,-0.0634609980071069-3.8861475468824e-18i,0.0995157945377695-1.64633172063191e-17i,-0.0747759427362504-8.92591211122198e-17i,-0.0494389403454288+8.91965127956146e-17i,0.000731457380059516-1.01629601163842e-16i
-0.000532015604568517+5.05757983512752e-18i,0.0167646954177821-2.66173062290696e-17i,-0.0083271923858385-7.3121187391911e-17i,-0.00168677782394881-1.77205446384909e-17i,-0.00226341158176258-2.84534764890194e-17i,0.00460728881636545+1.95043654940651e-17i,-0.0138765369105044+4.59384687910328e-17i
0.0121793924254246+3.36020812135285e-18i,-0.0442665562170137+1.12911394463177e-17i,-0.0301211825678721+3.31819513767955e-18i,0.0116678041393985+2.80082082783126e-17i,-0.0160048485859066-1.01193143797187e-17i,-0.00783441795981986-4.12802420347624e-18i,-0.0171226706852613-1.23014312230247e-17i
-0.0091888385184355-2.75635118748029e-18i,0.00708109702842554+3.47310249008432e-18i,0.00517369770788402+1.9395052584409e-17i,0.00640690046596088+1.92691664033446e-17i,-0.0157136479368717+1.2606731401683e-17i,0.0143964894064781-1.32704580230735e-17i,0.039015696852856-4.66434675884595e-17i
0.00432309544386864-3.11129205375158e-17i,-0.0112859912940579+1.14649864361668e-16i,-0.0307362122617583-1.05682069826038e-17i,0.00988016000681669+7.966864236379e-19i,-0.0181893387132438-4.63627674662676e-17i,0.00156736650663518+6.1834933335277e-17i,-0.000508591877310088-5.84229028104e-17i
-0.0170808680292736+1.0741370512206e-17i,0.0334525606452512-5.42067428449421e-17i,0.0317807220358154-2.75026408483759e-17i,0.0244679074617894+5.49332549098537e-17i,-0.0141855033656632+1.87339820894069e-17i,0.043444072397802+3.74059373123633e-17i,0.0365004791271403-2.77233598083083e-17i
0.0067428499679973-7.83650199437966e-18i,-0.0208082487747736+3.41322295598759e-17i,-0.0284636683920113-5.37994316985661e-17i,0.00564936429486024+5.6140026124036e-17i,-0.00842590813521223-1.72883343304878e-17i,0.0355671025429968+5.72235532501036e-17i,-0.020853062545442-3.4951911347539e-17i
0.000440264638894254-2.66512667502247e-17i,0.0248388465409778+1.09071048511425e-16i,-0.0319982558468411-6.39320807635552e-17i,0.0119787766319341-7.29430822616608e-17i,-0.00574250534223129-7.33719132557006e-17i,-0.0176286681789777+7.17652936996658e-17i,-0.00988995213810645-2.62741712965257e-18i
0.00964109739786309-5.37475839328848e-17i,-0.00647021196560384+1.20262147126639e-16i,-0.0637623599428564-3.76102096980264e-17i,0.0668296414809529-1.26853988088743e-16i,-0.00413960115081842-1.06838611254773e-16i,-0.0585430490578058+1.3110578936771e-16i,-0.0255777855465487+6.17285873759767e-17i
