0.0246966090367424+1.68606691637244e-17i,0.0417045157300255+3.58651153999174e-18i,-0.0602837414228489-2.13798466317632e-17i,0.0285973078069264-1.11792681208468e-17i,-0.0159633598795942-6.50193115037194e-18i,-0.0412035650234471-1.13974567857849e-17i,-0.0528155486427477+1.28852686978263e-17i
0.0188385985989172+1.63016904586099e-17i,-0.00689226648841278-7.51153239703988e-18i,-0.0133779411345273-9.78391359522448e-18i,0.0141161059216078-7.48954921132174e-18i,-0.0293524231450852-1.45350051010566e-17i,-0.0159288461277809+6.69697537094e-18i,-0.0280618675815878-6.19597835659026e-18i
-0.0198227244073526-1.97751624728647e-18i,0.00582711531473309+2.51159323154358e-18i,-0.0547548027302287-1.35673144100627e-17i,0.0121898940950727+3.79464529415039e-18i,0.0633244847328361+1.03455933123532e-17i,-0.0106317331251448-7.02101339069072e-18i,0.00183917203643724+2.07739240709363e-17i
0.0290368660068855-1.68676198583179e-18i,-0.0193741837990446+1.32666599716303e-17i,-0.016164880678606+1.16462971677269e-17i,0.00620086418828193-9.52400710693138e-18i,-0.0320546255510135+1.21666351019638e-17i,0.0145339932654129+9.09245377368724e-18i,0.0282682170377276-2.41812018760993e-17i
0.085063698963607-3.19723198331442e-18i,0.0977951142892493+1.58045100684621e-17i,-0.0961830651261312+1.36460897156185e-17i,-0.01733829788754-1.33940713656304e-17i,-0.0538793244324484-1.07998904066886e-17i,0.0210055057007018+4.78194916012768e-18i,-0.0395963643515364-3.57523552509987e-18i
-0.023840143285851-2.33921169197333e-19i,-0.0267894496385547-1.11531408350077e-17i,0.0523038958990616+5.05120605154332e-19i,0.0182832586765867-1.40934675068496e-18i,-0.00415828127819703-2.86650408055802e-18i,0.000137398222674436+3.1360391949387e-18i,0.0214628844535377-6.90819798956668e-18i
0.0608070229963013-5.54948879961324e-18i,0.0424109173016324-1.52546452497483e-17i,-0.0577604607338615-1.28614627861325e-17i,-0.00659130824487964-6.13601621629346e-18i,-0.0167850119046682-1.18049727638682e-17i,0.0330279398565623-4.34317865243939e-18i,-0.0328744670961595+2.28710075595338e-17i
0.0357269026415821-1.73851131930206e-17i,-0.011214285945114-2.40357164178362e-18i,-0.0451355892191156+7.57638750942568e-18i,0.109414852919762-2.39684594902316e-18i,-0.0436875536647215+2.32886074514598e-17i,0.0128042842651917-1.11484764557545e-17i,0.0224183787011825-1.89248348445589e-17i
0.0371569073030973-1.43298099069662e-17i,-0.0107711611900018-1.74582803201228e-17i,-0.0314393668109453+6.27793735972032e-19i,0.0824276864771217-4.18368763668492e-18i,0.0039251236749025+1.36407115719712e-17i,-0.0232384278406103-2.79827754738836e-18i,0.00503631508293916-3.91541333197262e-18i
0.0331176547012321+1.19964208594416e-17i,-0.0136910071781941-2.28952264455481e-18i,-0.00639065763864797+3.41557360198176e-18i,0.0558484106627019+4.41605213510036e-18i,-0.0136217662918849-2.28603550348913e-17i,0.0942671961903803+1.0660491227238e-17i,-0.04219542697307-6.82545190579495e-19i
