-0.0306990636705518+5.90500363768534e-17i,-0.0314521880449543+7.72916725821783e-17i,0.12588862221604+5.14113640597739e-17i,-0.022165882906924+1.55473631733463e-17i,0.0826476908004876+6.13413918863705e-17i,0.0265948025299497+2.19355635338012e-17i,0.0880051906283874-6.11590517224717e-17i
-0.0567472484633391+1.13340622169404e-16i,-0.0907294012707146+1.38029700164024e-16i,0.270945436096421+7.0511695341265e-17i,-0.0361706405793139+3.41297621824713e-17i,0.150165933875473+7.67411505570898e-17i,-0.0209906273800167+3.67901461305772e-17i,0.117410971328969-1.18800106050738e-16i
0.0779189266886679-1.59945393183756e-16i,0.113742565881962-1.64933581803545e-16i,-0.309799653018588-7.84502643034871e-17i,0.177263703519056-3.24073381110197e-17i,-0.189777706244246-5.69521777674714e-17i,0.0220489538015859-1.72763178387068e-17i,-0.109522738186478+1.12950686863728e-16i
0.0183591395137781-5.15537376929413e-18i,-0.00511291366018092-6.63960963977057e-17i,-0.0859241493241493-3.29623492349739e-17i,0.0422140417830769+2.06646945756342e-17i,0.0233261238951195-4.91656283529219e-17i,0.0501997905425461+7.11413916087233e-18i,-0.100969148999415+4.04042879678451e-17i
-0.0308358169794986+3.82262656105532e-17i,-0.0233891016187949+6.39579284391187e-17i,0.102486829559504+3.45192747181128e-17i,0.00697944804309887+1.01826541127409e-18i,0.0761230038048243+6.02437088778601e-17i,-0.0350179813251791+3.09527222476394e-17i,0.084040991999341-6.21373816810447e-17i
0.0315886818616191-5.08545975566842e-17i,0.0425612692299396-5.63769049613512e-17i,-0.132125933752258-5.70128720613608e-17i,0.0305751702253192-6.76743156655818e-18i,-0.00621193459753421-1.80971486740015e-17i,-0.00688659104891287-1.50544128543588e-17i,-0.0242298210566471+6.25793890104618e-17i
-0.0313847639811106+4.97556129263665e-17i,-0.0169361851343187+1.73754943602787e-17i,0.145276225366421+7.46093922686482e-17i,-0.056557102899254-1.01485640189814e-17i,-0.0547073007911765+3.32682997382907e-18i,-0.0322995514837436+3.82837246229029e-18i,-0.0137987926346192-5.5568596163294e-17i
-0.0249418435644189+1.0783281988871e-16i,-0.0250448334708523+3.45085564174279e-17i,0.145754710606726+4.83630852834486e-17i,-0.0364165391717789+3.79679513459733e-17i,0.143627653942352+2.88828216310892e-17i,0.0297168833285487+1.89266656763886e-17i,0.0159922782009126-4.22021003412601e-17i
0.0207827921677278-7.3481338794316e-17i,0.0800448127027847-7.40519668608764e-17i,-0.0905205283330721-1.79180062096344e-17i,0.0499281098428623-4.32568434166165e-17i,-0.150084198135211-1.63416730062932e-17i,-0.0663362177723934-2.06763156925043e-17i,-0.0258741416638685+4.55146728526809e-17i
0.00486578260360343-8.11507707347112e-17i,0.0605145845659227-1.7995710948429e-17i,-0.136260769237127-4.69443327498068e-17i,-0.00952621140495637-9.62510747338838e-18i,-0.0368238025755998-9.54179614795199e-18i,0.0797030165659131+3.86948452510834e-18i,0.0125795125369578+4.63705883612093e-17i
-0.0127665385062493-1.04670065803979e-17i,-0.00531478628178205+2.75800753082289e-17i,-0.0246717717881059-9.34847885315221e-18i,-0.0626124734604828+7.05979536860551e-19i,0.0141435272180273+2.13256510797379e-18i,0.0421073288288658+1.4852847962826e-19i,0.0335984578707915-3.21935421726266e-18i
0.00787929762758771+5.33885090595965e-18i,-0.0328515861455794+2.27201678311014e-17i,-0.0368141753328495-5.45317512652804e-17i,-0.014097205865879+3.99520699204416e-17i,0.0213850583484357-2.74873449831909e-17i,0.0112411038642994+8.12177976892558e-18i,-0.0234999168317056+5.09938693501591e-19i
