0.0259647905492367-3.36938900473899e-18i,-0.0704374342313511+6.06478348713285e-17i,-0.0646479315198114-6.78194712275727e-17i,0.00583279319514821+1.69531947786232e-17i,-0.0413750109484189+1.40547696085075e-17i,-0.0288839003898731-2.49439292103148e-17i,-0.0192669873718704-2.76256911918224e-17i
-0.0157327786946871+2.43962793724379e-17i,0.0682416482658309+3.49575501876713e-18i,0.0413266000025045-4.74480442745232e-18i,-0.0349874454506125-4.44842533667922e-19i,-0.00478510906436795-2.15250324753951e-17i,0.0051622865609839-4.02804898318936e-17i,0.0466806004439992+5.51696821928911e-18i
-0.0077360513041745-1.36819860420045e-17i,-0.0223828228466135-5.37389727108019e-18i,-0.0110856046776328-8.34805823127466e-18i,0.0059251009220615+6.37678096320574e-18i,0.0125494899886561+3.21320713461483e-17i,-0.0114206460332783-5.62814469022906e-17i,0.0344303616767172-1.96799234972918e-18i
0.0175998456070714+1.46724167452781e-17i,-0.0109755209481782+4.06882436541388e-17i,-0.0283317886513308-2.04660714371048e-17i,-0.0223183070509196-3.35344852270766e-17i,-0.020476228316075-8.56846570248134e-18i,-0.0215189377743133-8.98516408688115e-18i,-0.0244094452374018-5.5607188127317e-18i
0.0168856889472986+1.1216489423263e-17i,-0.00379964461193845+8.11506525345789e-17i,-0.0680872132198047-7.73887273725184e-17i,-0.00879248072825083+4.65064071100505e-18i,-0.0438793078399494-1.51638999115979e-17i,-0.0257573674296374-2.99756907208871e-17i,0.0170947466661857-9.50652804286137e-18i
-0.0366550161927474-5.5348266871317e-17i,0.00555829992010725+1.91111895809034e-17i,0.0388525984890934+5.04492771907245e-17i,-0.0574861673106343+3.11101995932413e-17i,0.0325546503408427+6.23270052766225e-17i,-0.00977008802658761-1.25514501837573e-16i,0.100038213832003-3.27914607447704e-17i
-0.00743457287016186+2.00001665471551e-17i,0.00029108836179338+5.84033233069493e-17i,-0.0243021671249137-2.96027929184615e-17i,-0.00309688826250277+4.17895194314728e-17i,-0.0148569553472367+2.90540286248689e-18i,0.0414735345692909-2.49191804161498e-17i,0.0387423366465534-4.59149311722529e-17i
-0.0133075775010826-9.43057234593827e-18i,-0.0334935958163396-1.93684717703312e-17i,0.00378737326993973+2.06337616402152e-17i,-0.0137172858234594+9.96136510655428e-18i,0.0199067174895495+5.73664394540095e-17i,0.0272279167196863-6.6291109191992e-17i,0.0197265293796516-1.80697181048924e-17i
0.0414472945364727-3.61335201681344e-18i,-0.0735548652553276+6.66443033529807e-17i,-0.101112292080699-5.93724094478026e-17i,-0.0307069762725584-5.03872974599771e-17i,-0.0350579573194953-1.17795819382241e-17i,-0.0319007419631026+2.4238347087594e-18i,-0.0587473463858165-3.07740010715684e-17i
0.018372384983433+2.16016150510406e-18i,-0.00583230555899658+5.96190030285332e-17i,-0.0676735303602677-5.11229934315068e-17i,-0.00202013547831108-2.29855321921905e-17i,-0.011920871415908-1.96707745317414e-17i,-0.0152654806321798+7.25211276450226e-18i,-0.00903934625491664+9.59138867528133e-18i
0.0262252559855844+4.62840499417622e-17i,-0.0327208734205967+3.11704285635172e-17i,0.0224579727898021-2.30566071909048e-17i,-0.00558548229961151+1.41546435232245e-17i,-0.0625633891528541-1.49849453972137e-17i,0.00656564642250416+4.92984133027123e-17i,-0.0521676085159862-6.22767912842629e-17i
-0.00701369006506664-2.21403646373252e-17i,0.00798633589689967-4.04778761007649e-17i,-0.0125233345352121+3.84099148458697e-18i,0.0236273827390346+1.55649537633293e-17i,0.04891050065457+3.64903307867796e-17i,0.0141895573107269+2.95939180798686e-17i,0.00903338630271542+3.44925725591644e-17i
0.0344445315703029-2.15393352465539e-17i,-0.0735098474261882-2.67495077421194e-17i,-0.0848171994880892-4.15436708426567e-17i,0.0159454576501328-5.18780793569543e-17i,0.007286340255923+4.49173350681235e-17i,-0.0503182745464356+1.0977474126124e-17i,-0.0681562236444808+2.87357178541319e-17i
-0.0237197666870138-1.88666020617329e-17i,0.00093472381595018-3.35159481612828e-17i,0.00178129222107704+3.15900513853339e-17i,0.0432045348294407+7.38714807259113e-17i,0.0377818527292672+3.35612494542695e-17i,0.0605367871669493+8.47913815564199e-18i,0.0396307201194607-1.39259966986761e-17i
0.016256521572214-1.09348770692558e-17i,-0.066025860736188+1.03618809378805e-16i,-0.0419964562602036+1.95907424549217e-18i,-0.00372657658956213+4.40489330582802e-17i,-0.0414484978528441+1.33165220391406e-17i,0.00479013129714838+2.7670965657691e-18i,-0.0199015601444858-7.78980349147097e-17i
-0.000930959083832426-2.20508072911316e-17i,0.04863244897696-1.90718812982019e-17i,0.00223548344737726+5.03856731347276e-17i,-0.11783943104847-1.13693309020438e-16i,0.0265398625387867-3.02075896828559e-17i,-0.0214525552252964-2.87847194577963e-17i,-0.0139496223225637+2.7081866874223e-17i
-0.00517271797486025+2.9454528485598e-17i,0.0561163059655298+6.09659973766561e-17i,0.000816763933518833-7.76053656236678e-18i,-0.0678085823609319-6.24553956871817e-18i,-0.0265237821932026-5.8032792901535e-17i,0.0492967526967765+1.52509604632258e-17i,0.00302214500682144-2.15673462617401e-17i
-0.000859033654882714-3.91954708218233e-17i,0.00286523356526039+2.12936684160532e-17i,-0.0253029415963575-2.51496018214416e-17i,-0.0205520504676622-2.18908535048529e-17i,0.0123921261924001+1.41122328087047e-17i,-0.0696243156653289-7.86327763272442e-17i,0.0454486248123682+2.2844894943931e-17i
0.0388872410490084+8.4448964528214e-18i,0.00305746778757327+4.03759481775442e-18i,-0.0441732047663149-2.94420631583574e-17i,0.0402582358987427-5.11088063658898e-17i,-0.0298649074227145-7.75681830728755e-17i,-0.0671252919994993+9.0897778961882e-17i,-0.0898575177271316+7.65417692357118e-17i
-0.0271892682312355-1.00369065305883e-17i,-0.0140969767344366+4.26088242840437e-17i,0.0129637867254437-8.30862410871735e-18i,-0.0448167229133496+4.84405268477109e-17i,0.00585535415071873+6.25778062311028e-17i,0.0190185808323448-1.31410091153228e-16i,0.107701715890438-8.80206177069501e-17i
-0.0294462613198314-1.18442198435504e-17i,0.0689386038814394-1.17817875003027e-16i,0.0568729006411026+5.04594823517829e-17i,0.02564139322874+5.06609018371416e-18i,0.0460868337507513-1.91345013623987e-17i,0.0426998790533346+6.20885418294119e-17i,0.0239443845607483+5.44877932078459e-17i
0.0569636409501086+2.44668103799765e-17i,-0.0849115684232619+1.10477057545465e-16i,-0.0920278765812576-8.87018710850193e-17i,0.0636655963337856+2.31801869469226e-18i,-0.0708655979394085-2.35581951216833e-17i,-0.068309761478408+5.95818083450796e-17i,-0.0744961575683005-2.85300351584728e-17i
0.00388631781339184+1.90411528329953e-17i,0.0260472574229329-4.59621497074555e-17i,-0.00858051569676864-3.52832170286507e-17i,0.0112805383524212-3.18609066818438e-17i,0.00402383169285326-1.78606929223781e-17i,-0.00973622085822212+8.01341806670252e-18i,-0.00982252025104975+5.49666150548971e-17i
0.0175180658679331-2.84865460133608e-18i,-0.0435726596023684-1.09337386456342e-17i,-0.039739143501295-2.27864950846787e-17i,0.012520990804141-1.80141303996509e-17i,-7.56078539632084e-05+3.24633909543378e-17i,-0.0251668493500042-1.29645511266993e-17i,-0.0237325768608186+6.2771420097029e-19i
-0.0116545154902267+4.9182858720585e-18i,-0.00498981466953156+1.43058142647649e-17i,0.0244644242602172+1.25561075142192e-17i,0.0139823477409878+2.59980826319281e-17i,-0.0203888915308222-1.81178054099337e-17i,0.0194498885135601+3.16898788794162e-18i,0.0265320563205276-4.86229159023272e-17i
0.0131914940591671+1.11823306938016e-17i,-0.0163591319939429+5.91869151497668e-17i,-0.0412233128469772-3.18919424100915e-17i,0.0255971850443268+1.72600732451947e-17i,-0.0319024888991245-5.33875207852959e-17i,0.0169036324511733+6.02467566791444e-17i,-0.0235913809259789-1.577322238785e-17i
-0.0195574005796469+2.45980543045708e-17i,0.00964392836948164-2.84233518530573e-17i,0.065436159992731+2.8674761681264e-17i,0.0479533523032706+7.34631976370092e-17i,-0.00664115317955627-1.5557898567989e-17i,0.0555575461708679+4.66379055664518e-17i,0.0191555713215762-3.53325424365316e-17i
0.00748945489708002+2.00321118672873e-17i,-0.0246801291000648-1.89719575387711e-17i,-0.0303493142936587-2.37048444912989e-17i,0.0485688195683136+3.23088293935021e-17i,2.65408710742282e-05+4.46955370042963e-18i,0.0427181021037476+5.84132516316556e-17i,-0.0206083372060016-2.05092388283025e-17i
0.0187964907582413+2.66642564226939e-17i,0.0290321478053256+6.40981671457083e-17i,-0.0499085893977432-6.00958187502724e-17i,0.0161960059304739-2.27612292605344e-17i,-0.0289672064899132-9.5247308127924e-17i,-0.0174947447540256+4.92930146240426e-17i,-0.03150430219298+4.38430224214816e-17i
0.043097056937011-4.24113985641517e-19i,0.0159544056911782+2.68485746222894e-17i,-0.0797089909293002-6.15838031471749e-17i,0.0465447078538962-7.5731296292363e-17i,-0.0352663061272006-1.21318450563356e-16i,-0.0932735296966208+8.66383471053509e-17i,-0.0831437597527231+1.17269101101672e-16i
-0.058200122061842-3.27975573834928e-17i,-0.0694369260770101-2.88281126587989e-17i,0.0998164910930823+1.13310802571956e-16i,0.0713556755691821+1.94929886230588e-16i,0.0451295427783044+1.59040911734441e-16i,0.128530696587856-3.03098650983177e-17i,0.0995605938319923-1.52617463632795e-16i
-0.0188370288427039-2.63618652414379e-17i,-0.018879776934317-9.09474967975369e-17i,0.0272912868253532+1.04745729197274e-16i,0.0362831798652894+4.03196786827868e-17i,0.0641988233288988+4.80134437107996e-17i,0.0836482509631776+8.00234957626776e-17i,-0.0389738878357421-3.92262515094099e-18i
0.0172493587171807+9.25426260266067e-18i,0.0254597593729927-1.26884985357731e-17i,-0.0442766970532585-6.212321858098e-17i,0.0525313302996736-3.23611668626223e-17i,-0.00533065793469675-3.7989764603242e-17i,-0.0592959547672525+3.47076163161661e-17i,-0.0207222567325371+7.94589672018489e-17i
-0.0287203946065229-4.88837360657256e-17i,-0.00696988862294068-5.82997210322766e-17i,0.00534698161353757+3.96989142828468e-17i,0.0219052795446357+4.33345000769795e-17i,0.0571976488900088+6.62520104766368e-17i,0.0207310186351139-3.96530970583768e-17i,0.0453664112812807+2.75878641188252e-17i
0.0309069382057851+3.23860744070344e-17i,0.0274428681019009+6.96800737061068e-17i,0.0518523989454856-1.11236092401064e-17i,-0.0851500030342687-9.01195518707984e-17i,-0.0664125410949685-6.96673876333513e-17i,-0.0630845067819359+1.82097781222548e-17i,-0.0529420485864555-1.07334906556827e-17i
0.0169662328857497+2.32346796515977e-17i,0.0566297655806078-7.74794673915925e-17i,-0.0267355402749708-2.37828937643002e-18i,0.0432221381036964-6.46867570077772e-17i,0.0256760438476966-1.0226606747868e-16i,0.00295862793638291+1.32637994782021e-16i,-0.0886270081590463+1.18419206745991e-16i
-0.0134292336221319+1.67305035484325e-17i,0.00221880290499032+1.22831478386898e-17i,0.0729856654135533-1.97275124852219e-18i,-0.021217648450321+2.68768537572334e-17i,-0.0253202662378752+4.53494496748834e-17i,-0.0196466103127952-8.82037978837759e-17i,0.0552429103732648-4.02720074789733e-17i
-0.025541545770417-2.57072114668736e-17i,-0.00652428744422236+9.03735868324506e-17i,-0.00659271960862661+2.32142459346993e-17i,-0.0304107350233258+7.76198063292796e-17i,-0.00421046464935927-3.57685580260796e-18i,0.0564923368439114-2.9439446061769e-17i,0.0763557950079763-9.01193790122274e-17i
-0.0051707718793384+5.80219499966599e-18i,0.00307949658620048+7.02546634006165e-17i,-0.0400980105840411-1.67045396625597e-17i,-0.0383410909350203+9.30527258456534e-19i,-0.0244074513683591-2.91105415309826e-17i,0.0227794488489036-4.34165833481669e-17i,0.0332832876531417-4.57187415483259e-17i
