-0.0111731062761991-1.00768308554567e-17i,0.0439605557307309+7.42485329778035e-18i,0.0814688746232135-1.3687922591093e-17i,-0.0333971605352786+1.00790082204665e-17i,-0.0915322912491191+8.50299873008606e-18i,0.0346464086596305+2.15057766125502e-17i,-0.0661811979994208+2.6596466161006e-17i
-0.00779123700959228+3.68259257027279e-18i,0.120957960042295-4.87687336303482e-17i,0.0122008321261324-3.24653190054169e-19i,0.0401928963974755-1.35075890045911e-17i,0.105292693172134-8.03050150014053e-18i,0.0297321300075725+2.9105864135428e-18i,-0.0588295891001378+6.02550708105508e-17i
0.0186835136522014+4.69451779008353e-18i,-0.0208987512988766+3.99018705998007e-17i,0.0421328239112047-4.04685647231503e-18i,-0.0396188839470234+2.6760970619298e-17i,-0.0902601175477064+1.56787913840767e-17i,-0.108856606673903-1.29594744057216e-17i,0.0328213304904006-3.62063197366296e-17i
-0.015458824439278-1.97293181470243e-17i,-0.0418433776859872+1.31751332139659e-17i,-0.0137647144442621+1.47159569625911e-17i,0.0118702317413449+3.08379376948961e-17i,-0.0241788740173945-1.89462254066802e-18i,0.185320946250271+6.73963221271949e-18i,0.0656238246577996-1.86296381118944e-17i
-0.0113704900095684+1.41297942437926e-17i,-0.021944540386519-1.2320499101409e-17i,-0.00856839589208971-5.45491857839014e-18i,-0.0657408627111623-1.19110348233321e-17i,-0.0413526613307645-3.03433552736116e-17i,0.0541948226078594-7.76932786220423e-18i,0.0467917884031607-1.84907414422242e-17i
-0.0121503155839261+5.98559485149725e-18i,-0.0291334928120059+4.10023570345588e-18i,-0.0370000680977878-5.56809283825433e-18i,-0.0514212341017359-1.0624504711305e-17i,0.0113888533653424+2.88417265032633e-17i,0.0130309286202574+8.44515996519046e-18i,0.0335427668043127-2.40416472417173e-17i
-0.0128185607704945+1.29847966768449e-17i,-0.000646532309894182+2.70253239527006e-18i,-0.0221231939035475-1.65232957366305e-17i,0.0715960611512329+1.14259190400822e-18i,-0.0645053781076456-3.81730642622164e-17i,-0.0385345041335799-7.66354022905381e-18i,-0.0160304706625742+3.33846196654821e-18i
0.0304380571902208-6.37925110274378e-18i,-0.0669397645900111+2.89710926233722e-17i,0.0268456466757761+1.31966811607008e-17i,-0.0432148601671546+8.88446056250736e-19i,0.0434369518161247+5.92791806776852e-17i,-0.0104800576884381+2.42329806583265e-17i,-0.0560867280065723-1.77474825441177e-17i
0.0243577178489059-7.42782909898287e-18i,-0.0897309129562557+6.64999003374888e-18i,-0.0106613207833997+3.40055397480417e-17i,-0.155799543658023-3.06778119601076e-17i,0.0689349057637707+3.82377276822676e-17i,-0.0127813374618612+2.94527802487525e-18i,-0.0101711873826965-3.35341630001644e-17i
0.00983778860711266-1.24929812000107e-17i,0.0240896786651459+1.56934373354954e-17i,0.0167817773852993+1.28828346537174e-17i,-0.00271655184756236+1.75675608316563e-17i,0.0241133635540668+1.42219696419933e-17i,-0.0387827265362037+3.83766394915651e-18i,0.0476576255870265-3.84799374880739e-18i
