0.020950856655409+2.35477866205897e-17i,-0.0485877380321262-3.02103549848679e-17i,-0.0575218152035779+2.07992548797886e-18i,0.0456372953427408-1.74825787210968e-17i,-0.0447826263488785-3.09044962107381e-17i,0.0170575534506588-5.40040785738254e-18i,0.0141733156795962-4.30390836936564e-17i
-0.025652103707294-1.9575909847912e-17i,-0.0338651132732829-1.95217608576365e-18i,0.0146152155175099-3.80767706554162e-17i,0.0588295164136731+1.09620270798836e-17i,0.0476421295247188+4.46503460780187e-17i,0.0254754456410188+4.66222741195636e-18i,-0.087600801560955+5.49038200832251e-17i
0.00273725332031957+1.34830756026964e-18i,-0.0483439085500065-2.65117073448703e-19i,-0.0885302637850788+2.96826198739509e-17i,0.0446123125937269-1.85355876150228e-17i,0.0341264239688673+8.61434824365152e-18i,0.0121177499830507+1.60659051223146e-17i,0.0717747508832959-5.93366336445067e-17i
-0.00647366366115429+5.73621336580009e-19i,0.0537408875107401+3.84132672853784e-18i,-0.084672694862669-2.0833970001522e-18i,0.0324217799515058-2.0733251724899e-17i,0.0150559883042164+1.27750062187871e-17i,-0.0391104229082011+1.58578959079994e-17i,-0.00716994693785161-2.17168895862314e-19i
-0.00339162749657435-5.54785528928301e-18i,-0.0347865037162892-7.79085455823156e-18i,-0.00515560097404379+2.35301430928564e-17i,0.0575576215109289-6.60685307983687e-18i,0.0251619714263066-1.59456201285066e-17i,0.0440537256638764-8.2578895979137e-19i,0.0287781875076467-2.14793619252353e-17i
0.0160919598296035+1.09499856358099e-17i,-0.0300768240907704-4.77442755069875e-17i,-0.0273876066030439-4.54645705950943e-17i,-0.0326233266161155+1.13421558091144e-17i,-0.0818985579475484-3.54555678384515e-17i,0.122286881886151-1.90176736471065e-17i,-0.015559221843289+2.60015385064393e-17i
-0.00473149462007078-2.71004649366811e-17i,0.0229322581251737+4.02788798865545e-19i,-0.00764871273978664+2.97071353707983e-17i,0.0155382226641772-1.02495035437536e-17i,-0.0184505964024713+6.85235914081068e-17i,0.0413141235611933+3.19085632190782e-17i,0.0326840624261792-5.52710085187307e-17i
0.0398143933474758-1.98772797472512e-17i,0.0320634595490474-2.9297105337241e-17i,-0.0152726276860217+1.19227160896055e-17i,0.0674519576555491-1.52111196306819e-18i,-0.0237383533491684+6.23946659581765e-19i,0.120711951711723+1.23438074054958e-17i,0.00268726208790308-8.32867490870996e-18i
-0.0027199028419733+1.61124835967582e-17i,-0.0323336299325618-2.52148356862912e-17i,-0.0255655029712273-8.81817312222475e-18i,0.0177181493666232+1.53091352390185e-17i,-0.0157917457497542-5.74312927167256e-17i,0.0461257325619606+3.08319657981589e-18i,0.0150450741825008+1.78087193103802e-18i
0.0224071877324526-1.29537080257218e-17i,0.061156290050828-3.51465672786144e-18i,0.0159354709615601-1.98378677815084e-17i,-0.00836959671909801+1.59229565727126e-17i,-0.0192660837701012+9.22518177941628e-19i,0.0318152613064304-9.12430871707375e-18i,-0.115581995870331+5.90658575601469e-17i
-0.00761344659140446+1.46063127788764e-17i,-0.0768474040642024-1.20593968706723e-17i,-0.0100330080591628-1.22398969341221e-18i,0.0176459290829425+1.37273471815367e-18i,0.0123805910194685-1.33836709845553e-17i,-0.00609878275020201+2.52989606617027e-17i,0.0634264151516411-2.77330065032286e-17i
0.0190981542947945-2.0121693992414e-17i,0.0571938070787485+4.54651313967715e-17i,0.0414043549559865+5.45198856305115e-17i,0.0929141985195058-7.40376856266619e-19i,0.0497704353677828+2.27155206272279e-17i,-0.0133340403288273+5.1349142455994e-18i,-0.0104189314196346-1.33262623899977e-17i
0.0240106651076528+3.76315812132967e-17i,-0.0523634814611469-4.1774312655555e-17i,-0.0951259521657771-7.68853229425619e-17i,0.000191940594236236-9.59117135383372e-18i,-0.0695501884231125-3.96567075264754e-17i,0.047038043333784-3.42201668775313e-17i,-0.0418812866130675+3.64322656238845e-17i
-0.00789666012934068+1.67469632257911e-18i,0.00224764003580563+8.47852955278967e-18i,-0.0194661871471519+2.08217654527492e-17i,0.0564782990295347+2.20592957939387e-18i,0.0500895291914082-1.13550831555525e-17i,-0.0600525264429689+5.70204427755763e-18i,-0.00518932388429283-1.03990373948867e-17i
-0.03887908456625+4.44754890226877e-18i,-0.0544705447241164+3.82556468025542e-18i,-0.0152354019650217-2.38928191911705e-18i,0.0317517624982789-2.44386968402524e-17i,0.0304322641699419+1.72791998832083e-17i,-0.0705450138262549+6.56866076511675e-18i,-0.0247312243539682-1.06930810611473e-17i
0.0122631474162726+6.89600330545011e-18i,0.0404343294425498+3.36918208186254e-18i,0.0616828943689008-2.31889605505627e-18i,0.019141098097152+4.11647049893768e-18i,0.0036380205302566-2.19992410999348e-17i,0.00428607207310494-1.24785719847051e-17i,-0.045191646981108+3.25235832384163e-17i
0.0512329485276685+2.90482473865524e-18i,0.03455858562915-1.01901874654095e-17i,0.0101416930627279-6.22875379482633e-18i,0.0456971225846753-4.19677636591625e-18i,-0.0577871824722245-3.93222365009501e-17i,0.0686566647960992-3.37460475744051e-17i,-0.0525162929862255+3.19799419365552e-17i
-0.000979444169008054-2.128526628408e-17i,0.0194824798074575+1.94383515572241e-17i,0.0764016274428395-1.12254786106385e-17i,0.0189157634109477+1.66067928595561e-17i,0.0552450690265462+1.22677326460022e-17i,0.00756770028900582-3.23318882977141e-17i,-0.0536347866553074+6.44322465077401e-17i
-0.0252442599902026-6.96660842055134e-18i,-0.0854134599208289-1.91057561822288e-18i,-0.0171629137172624+1.41864529329783e-17i,0.0927292479897919-1.03196464698914e-17i,0.0467395415971423+2.97153353507645e-17i,-0.0244810022884094-2.83827977411153e-18i,-0.0292955203828294-2.57645481575412e-17i
0.0427608104122163+9.25373197151432e-18i,0.0235152322701533-1.90522174184114e-17i,-0.00850199729712493-1.01862271868226e-17i,-0.00672991698016583+1.26354092346645e-17i,-0.0378904659723564-5.94260304062014e-17i,0.059974320669299-2.30427377858988e-17i,-0.0375115013383107+2.71747352704876e-17i
0.027575448715081-3.86565516924697e-18i,0.0433534342286793-1.07253608774434e-17i,0.0242393748448448-9.03458397130628e-19i,-0.0173743299744597+2.93090450666971e-17i,-0.049065616684498-6.02872936357286e-17i,0.0292649219868137-4.20685552493671e-17i,-0.117627788139456+5.27268706117048e-17i
-0.0274093279159931+1.19906707391755e-17i,-0.0901363643776222+2.73699733908799e-17i,0.0271378723738311-5.96436546461502e-18i,-0.0134817468624281-1.74995330802542e-17i,0.0242168303369757+7.74956161063848e-18i,0.0282765018892507-7.74175956062679e-18i,0.0810790123659483-1.17065045538828e-17i
-0.00841690021612224-3.62544687820226e-17i,0.067417052997804+3.75473430151597e-17i,0.0115507760581523+3.75893596249156e-17i,0.0210016764969572-2.45387221151817e-17i,0.0465194641524309+4.39514690295065e-17i,0.0736005310961818+1.12495480615639e-17i,-0.00157063272337465+3.50243951032636e-18i
0.0530878097523926+3.29491046898368e-17i,0.0890572388255913-2.73181082842265e-18i,-0.0509224847352146-1.40924537879805e-17i,0.0214007814722883+1.49777468123153e-17i,-0.020327696113782-7.04011620127134e-17i,-0.0277678441442527-1.85417850979643e-17i,0.000791750566579732+2.42863560171945e-17i
-0.000603475634092897-5.03942149868746e-18i,0.0583524615576105+1.47472260143419e-17i,0.0207710486457475+3.43740104356076e-17i,-0.0617392114261585-7.53703191365715e-18i,0.012857414880774-1.84517662493714e-17i,-0.02188473118361+1.32180916143087e-17i,0.0403433344142891-1.06676646412981e-17i
0.012833399173087-1.66666612783977e-17i,0.0322956864351371-5.25288929935345e-18i,-0.00561640093479397-5.20047860461905e-17i,0.00415509272160305+2.21163898562223e-17i,-0.00685942783744322+3.27712507887043e-17i,0.0912791801110129+7.47968132924141e-19i,-0.0520917253538655+6.62160043138283e-17i
0.0159698074843794-1.96516909630701e-17i,0.064245284069517+1.55544594419972e-17i,-0.00216497998359364+2.96306746747045e-17i,0.0555679447474006-7.89302345602544e-18i,0.041487436137052+9.14245911060031e-18i,-0.00216337065693355-1.01386441383467e-17i,-0.0501974718851836+1.41721442669167e-17i
-0.0145795441408711+1.39420059817082e-17i,-0.0109892747770636-3.67296207086495e-18i,0.0257844927611774-3.01813655243008e-17i,-0.0755766016910067+2.17396453386989e-17i,-0.0100715322386037+1.48526144550664e-19i,-0.0527406553503938-1.23526930549603e-19i,0.0380182680489465+1.31671731721376e-17i
0.0433793257006743+2.23867497387959e-19i,-0.0369304977358074-2.31564648262147e-17i,0.0326655279799014+9.66454432975725e-18i,0.0538649678170109+1.17652300305936e-17i,-0.0607281814706487-4.96864711645701e-17i,0.181561236521145+1.31842976129367e-18i,-0.00961143295006465-8.41068987636026e-18i
0.00953776647832379+2.85254353087675e-17i,-0.0175967266411946-1.83312112820825e-17i,0.026871120577674-2.09220359556384e-18i,-0.0166797742035151-4.29292441068943e-18i,-0.072175286756667-3.24079492848196e-17i,0.0217685439988657+3.58650156738351e-18i,0.00355006446370383-2.66069667377273e-17i
