0.0259517721951135+1.27336111989061e-17i,-0.0368706511368707+4.12184484321335e-17i,-0.0473563433494193-7.58844519173699e-17i,-0.0335641843959469-2.03389192502323e-17i,0.0442586632014351+8.79678344213368e-17i,0.0160422391733767+1.98684828311267e-17i,0.0945625212610205-3.42157963273031e-17i
0.0122433757275793-3.31293957855854e-17i,0.00696015903268714+6.89526146878697e-17i,-0.0263170745606648-3.92126237757983e-17i,-0.0476565773022256+7.01765961067481e-18i,-0.0293772423086835+2.74660966585703e-17i,-0.0553600192450828+1.582127558641e-18i,-0.0397296453601259-5.08718486386081e-17i
0.0139287851501925-1.06636140193794e-17i,-0.0111473373596363-4.2204186568513e-18i,0.0727078909904799+4.64063451776674e-17i,0.024259571300002-6.86197668611859e-18i,0.0344038217330667+1.93862469013344e-17i,-0.0120991476812536-2.09648752969079e-17i,0.016543006929679+1.71009256173019e-17i
-0.00287910738609161-8.82649896318831e-18i,-0.0208647976408465-1.21593117506786e-18i,0.0437802707392775+4.46782083799293e-17i,0.0507617491706056+2.59722181964372e-17i,0.02746151414736+1.01000494988332e-17i,0.0107129091276121+3.68564580887269e-18i,0.00706698815972415-4.6516219767987e-18i
0.0129800632537525-1.82708962141983e-17i,0.000336824300814285+3.71324369727457e-17i,0.00776038205180086-2.45075357935974e-17i,0.00215341588884192-2.82038642085159e-17i,-0.0218334509463022+4.86911067717821e-17i,0.00443497815678245+8.15333362372457e-18i,-0.0278869884530141-2.81145503546725e-17i
4.30325190962661e-05-1.18813230989115e-17i,0.0223641565972925-1.39272588244361e-18i,0.0102304068194124+2.44387244528853e-17i,-0.0118609509800767+1.94067008540205e-17i,-0.0122387234885846-2.69286020444906e-17i,0.0106977626375538+5.26558814372876e-18i,-0.0293551880187691+1.14931287629512e-17i
-0.0164816081347569+2.16745419904012e-17i,0.034047868657416-5.11136850385378e-18i,0.0365706156302685+5.4836065398604e-17i,0.00474910032791071+2.05699889721082e-17i,0.0173410287574631+3.06464183489828e-17i,0.0140220897620857+6.16764224870793e-18i,0.0312929547143384+5.1484130987196e-18i
0.0178578013699406+3.04460255539443e-18i,9.22190602684336e-05+1.26941159914002e-17i,-0.0215623415189331-3.10468808681114e-18i,0.00738368137798388-3.89719329137928e-17i,0.0126818007420014+6.82648790033878e-18i,-0.00686325862520284-3.63239288781007e-18i,-0.0403283423920584+2.12629227240072e-17i
-0.00134271854191554-1.69904526993636e-18i,0.0223376004974964-3.33922282856342e-18i,0.000784983310530308+1.70533154991503e-17i,0.0206225637282736+1.79522177918731e-17i,-0.0117453278297728+1.14367107358196e-17i,0.0621802431037271+5.58637611520373e-18i,-0.026175460894792+2.23810727602676e-17i
-0.00514455383687052-7.48525926445633e-18i,0.0046778924299986-1.15104450686684e-17i,0.0379979912163488+4.88926137282834e-17i,0.0409062754085174+4.1800001818316e-18i,0.0268747116073643+1.97398851075925e-18i,0.0121300362987544+1.44688631583441e-18i,-0.00806004434650993+1.36163128549592e-17i
-0.00733653195285373+2.9770294271962e-17i,0.0509027942961545-1.41591747610116e-18i,0.0333007177531245+4.62091324530488e-17i,-0.0266147498352046-2.17400679486463e-17i,0.0478597767405527+4.95772231008851e-17i,-0.0104313134472494+3.48783859440096e-19i,-0.0195843425490145+6.02679400423114e-17i
-0.0105100413355161+8.56748168167745e-18i,0.00805079578675484-1.10806564570586e-17i,-0.00735936162892281+2.96812173145663e-17i,0.108792622266408-6.46132112490162e-18i,0.00895404986491011+4.96366803019707e-17i,0.00578662257604123-1.43855025071629e-17i,-0.104009678597632+2.53807467333485e-17i
-0.00687798877543313+1.36468577194828e-18i,0.0673566035757338+1.27878081221678e-17i,0.0282457156128591+4.44937166286553e-17i,-0.0160832589965063-1.06101294747458e-18i,0.0291439799101234+2.26323823400826e-17i,-0.0363584693942763+1.08777396400107e-17i,-0.0695169886001914+5.05680327938819e-17i
-0.0050661721724458+4.0899879924573e-18i,0.00336308871630434-8.80140541272367e-18i,0.00618443718115004+4.34390435847678e-17i,0.0666399470493809+2.91569015202091e-17i,-0.00501956633414172-6.32372543356792e-18i,0.0582860832851879+1.14469592865392e-17i,-0.0477269698445379+1.00824089517069e-17i
-0.0110446998279424+3.0055847254983e-18i,0.0310987720178162-7.75602548979226e-18i,0.0713337382132609+5.69051524987281e-17i,-0.0183447412199514+2.64113763164829e-17i,0.0485957809710558+1.62123686203684e-17i,-0.0314446102983066-1.30470228771006e-17i,0.0287258021255856+5.23401603888234e-17i
-0.00654671332398722+3.84072970161999e-18i,0.0509348463829128-4.76901987787979e-18i,0.0512527346947855+2.0539744364007e-17i,-0.0433650043134519+5.37602284478387e-18i,0.0275688848019183+2.60153535285703e-17i,-0.0154661014448586+1.77024832425863e-18i,-0.0233355748823275+6.3639939927031e-17i
-0.00224322829930676+9.85209256304686e-18i,0.00363497480658055+4.88320754509928e-18i,-0.0238581626313942+9.16231701912545e-18i,-0.0490869705210597-7.71411184299286e-18i,-0.00432311154760439-5.63254334676414e-17i,-0.049368164549768-9.35844309355942e-18i,0.0988842498403071-4.43627889927508e-17i
-0.0207201811143302-1.5356939752797e-17i,0.042817107787417-6.7228935978113e-18i,0.0473863000787279-1.03286049938411e-17i,-0.0629990560472761-5.04817189170607e-18i,-0.0487819553118267-2.81119309416485e-17i,-0.00635189022866978-8.16801057283093e-18i,-0.0713714767975345+3.47108327068655e-17i
-0.0238329149057818-1.74753692448467e-17i,-0.00546488100765594-2.22560826289788e-17i,0.0742532815319521+4.74469795278061e-17i,-0.0254568660511935+4.16712861194005e-17i,-0.0312048311214093-4.39203229933197e-17i,0.0580953747945004-2.65433723278927e-17i,0.0110058916631533+2.16296616694677e-17i
