0.0394996089430133+6.86465985052425e-20i,-0.0767973287417496+4.25546916410997e-17i,-0.0412468084719651-8.45147794443392e-18i,-0.0406220987474475+8.24099117020457e-18i,-0.013666035014205+1.96536225890938e-17i,-0.0179877025948199+5.39345028005096e-18i,0.0669467220749606-5.04887317633161e-17i
0.00825708612255273-8.19289437779057e-18i,0.0686348595688688-1.33139596755938e-17i,0.0358510394224976+4.72060616551155e-17i,0.0317119974028435+2.23673717206577e-18i,0.0970658512868233+4.32189814667039e-17i,0.0317493343742993+3.07661985811529e-17i,-0.0248069842047073+9.08728078269346e-18i
-0.0676100616166772+3.2017269043959e-18i,-0.0171476133597449+1.70025313210813e-17i,-0.0259197817943854-3.3360884067472e-17i,0.140065390945567+2.35031874439729e-17i,-0.11986788727681-4.25897160507682e-17i,0.00215932026398314-3.35924806819623e-18i,0.0375155426221106-9.07476036875346e-18i
-0.00225987659462794+2.22733213322871e-18i,0.0230677645778982-1.88577525771248e-18i,-0.0041714934563408+2.9700556824086e-18i,0.0108833963761138-6.47589301312891e-18i,0.0285668596758002-2.53356923850437e-18i,-0.0435209131857719-5.85709853246441e-18i,0.0103446224078173+7.41519930745904e-18i
0.00601449152688289+8.85488899031835e-18i,-0.0695563115108126-6.78374974987018e-18i,-0.0179331109470857-7.39066040185783e-18i,0.0180259662801447-5.40458976203926e-18i,0.00186477686216982-2.33497101813455e-17i,-0.0471746615167047-1.00580868618964e-17i,-0.0328350476675719-6.398038987386e-18i
0.000160370826558178+7.71168650327188e-19i,0.00838054232902209+3.1698362490232e-19i,0.0413653010734111+5.09768862047241e-18i,0.0356575841722657+3.41519725123395e-18i,-0.0410791549446656+6.27173101045924e-18i,0.0101027230118484+1.19333880026948e-17i,-4.27861853479691e-05-1.85009732900072e-17i
-0.0454688508500257+9.36980612390389e-19i,0.0271879988528288-1.46354495077121e-17i,0.000205257990578417-1.94435902505019e-17i,0.067589692722999+8.98359117400441e-18i,-0.0177476776885674-6.00509551389648e-18i,0.0891059214621855+5.98447852599053e-19i,0.0245241765115762+1.84584344749242e-17i
0.0241115473284476-2.46624387527636e-17i,0.0203601023178695-1.66631840424264e-18i,0.0619942891653231+3.23941915962306e-17i,0.0753301521916369+1.68632248621847e-17i,-0.0249825875558429+2.36531914951502e-17i,0.00997973731352018+2.28673531774955e-17i,-0.0272766729094528-7.28261262971546e-18i
0.0065805919240695+6.73447259901895e-18i,-0.0563148296521274-1.62378233003994e-17i,-0.0133853612762794-2.06993812923827e-18i,0.0785798773858812-4.85927314887751e-19i,0.0322037793669323-4.66568836027522e-18i,0.0353351154553678-6.26299032365263e-18i,-0.0305646027638615+2.88212805120368e-18i
-0.0462419886874152+2.26301945837685e-19i,0.089349535148159-1.66874685347209e-17i,-0.0117154617588267-1.3553021596051e-17i,0.0387111449558017+1.26183501199136e-19i,-0.00219193031386428-1.95888646020325e-17i,0.0555220275050143-2.36490848686367e-18i,0.0514294511549522+2.91481928057016e-17i
-0.0780161048041296-5.70092829335584e-18i,0.137434278454822-5.36528359149978e-17i,0.0331908909102452-7.54948181252976e-18i,0.0628658075953814-2.93693623684485e-18i,-0.0155648286501982-5.11571770623015e-17i,-0.000552312161789926-1.23528113551135e-17i,0.0122368583607176+7.04457007105867e-17i
0.0740514139125835-2.23761044464343e-17i,-0.154152721867996+5.69589678480099e-17i,-0.00860008869810438+2.37298294612544e-17i,0.0764182346270207+3.15153602726475e-17i,-0.0167044428316559+7.27254910529745e-17i,0.0122913813657136+1.31812577229993e-17i,0.00465920410657775-7.04505067323665e-17i
0.00766086063445021+1.68869948149841e-18i,-0.0392780507530777-2.2998780039227e-17i,-0.012157360992682+2.33574207964065e-17i,0.0134038648076785-1.10930376134788e-17i,0.109057511118702+3.21728309507534e-17i,0.0800997881999328+2.6686189493985e-17i,-0.079957731912391+1.28857971775914e-17i
-0.0638307180822393-4.96967899303158e-18i,0.11348252309515-1.84254147602116e-18i,-0.0221785485625471-9.09840534143781e-18i,0.0743328641117008+1.46191462355637e-17i,0.00854236041795593-2.70764177646696e-18i,-0.035108059122061+5.56187366537805e-18i,0.0817165260202865+1.73063360849733e-17i
0.0171331314058154-9.24519708688991e-18i,-0.00180634791772297-5.13584876929591e-19i,-0.0374710517339984+4.34103957304e-18i,-0.0301306499538343+4.94792864311813e-18i,0.0654504613480005+2.33366398082974e-17i,-0.019083109520285-3.66576314386338e-18i,0.0238364782332651+3.31786738381759e-18i
