-0.00942423244986125+8.83319785437703e-18i,-0.0186204830222288+3.90303531399478e-18i,0.0222323229694319-6.44168207674344e-18i,0.00539785866416243-1.99553999943862e-18i,0.0207961976326808+6.16915916867313e-18i,0.0050154002525643-8.71637140241064e-19i,0.073290490820845-1.03111721841913e-17i
0.0135486302322539-7.04149977034946e-18i,0.076748240944611+5.05215143646079e-19i,-0.0195328389881452+7.65725927280648e-18i,0.00826976096729568-7.03345613707784e-18i,0.00632514841610207-8.63402552771323e-18i,-0.0199094098819837+8.04178839596247e-19i,-0.00644667268427152+7.76167201246157e-18i
-0.00740256439030928-8.88669884116746e-18i,-0.0281534560492182-1.84298309141726e-18i,-0.0125128889901617+9.43183106112323e-18i,-0.0245110536502822+2.83450338567344e-18i,0.0627952880750705+4.69398177907128e-19i,-0.01174043697661+1.07996481059975e-18i,0.0282480708820875+1.28903470155949e-18i
0.0081995004846502+5.61206699403007e-18i,0.025616726798446+1.07510988588407e-17i,-0.0138801192087812-6.83791026553818e-19i,-0.0537775083762641-1.33517731084766e-17i,-0.0384157740147644-5.86393323038794e-19i,0.0108169996228968-5.17575545640747e-18i,0.0752182488073109-7.51287609228139e-18i
0.0195091790683711-3.73631773403972e-19i,0.0199572336649645+5.46631077868526e-18i,-0.0907640364133113+7.6165717165567e-19i,-0.000783516119023855-8.46146308850196e-18i,-0.0534388470626019-1.54421068184376e-17i,0.00590800053857654-3.52783080746644e-18i,-0.0886851508885686+7.47705538039902e-18i
-0.000733869201720337+5.23485517909197e-20i,-0.00413784145964969-8.30754995228025e-19i,0.000153472272815921-5.88928305823919e-18i,0.00547111819407521+9.64314854282275e-18i,-7.60967890616046e-06+3.29310414586343e-18i,0.0571575216371865+1.1832397139062e-18i,-0.0217433542952329+2.75791071053583e-18i
-0.0161610334766346+7.03096075618444e-18i,0.00354664485345501+2.68112541919163e-18i,0.0778858124761038-6.67008581632218e-19i,-0.00412408760838337+2.84492311084721e-18i,-0.0262047966504125+8.20789230583303e-18i,0.0339353450281426+1.59541027591813e-18i,0.0322358782093447-1.55035473037158e-17i
0.0145368971952756-8.14150840019789e-18i,0.0126245983059845+4.02914930761403e-18i,0.0277630446669095+1.25024307632623e-17i,0.0236991209093271+2.84303242209574e-18i,-0.0337527810111903+5.15866376143264e-18i,0.0342265901081336-3.72759726511209e-18i,-0.0280409800760918-1.20924024741861e-17i
-0.0557687798370382+3.65518257574084e-18i,-0.0726533353267494-8.08296155537558e-18i,0.0762576442135878-7.52475118664181e-18i,0.00701604866653497+1.69529614597359e-19i,0.013419827247071+4.8712528386411e-18i,-0.012368878706251+4.63571945415799e-18i,0.0559752138138165+1.44069357925299e-18i
-0.0157664121147955+2.47267806531988e-19i,-0.0646273885867818-7.41574682951084e-19i,-0.0344847047160217+8.64584337194036e-19i,-0.017739493996874+4.32717969796312e-18i,-0.00173289897946998-4.89243081473836e-18i,-0.0188772689776104+1.09478603381278e-18i,-0.0301636349425568-2.65033183146248e-18i
-0.00990450745266724+1.6734280641468e-18i,-0.0500011805712828-8.34044359381304e-18i,0.078812129534594-9.40791773033962e-18i,0.0106833036731413-5.09742364590267e-19i,0.0074377133233491+9.27819582453368e-18i,-0.0449388460564957-2.74892212893442e-18i,0.0333984930692924+2.76190755745921e-18i
0.0260858482354041+2.34226164253242e-18i,-0.000423627596484033-4.04909503988448e-18i,-0.0565824658526978-5.96436853875687e-18i,0.0478373462784482+1.24405280758655e-17i,-0.0283952560333001+7.8009068516472e-19i,-0.00669996309167768+7.77555265120479e-18i,-0.0431908419185972-5.35898691161103e-18i
0.0332520735800619+4.13479112853769e-18i,0.043879084062005-7.51801685120356e-19i,-0.0611950500324843-5.7525297502358e-18i,0.0175253633244151+5.48691229533927e-18i,-0.0251381338817349-6.35292551049208e-18i,-0.000859037024895726+7.99610097917972e-19i,-0.0280106362052575-5.91282022482406e-19i
