0.00127403970087651-4.14346189246327e-07i,0.0123533032474215+1.02126944762962e-05i,0.0139767579455132+9.02304446921385e-06i,0.00159825117561428-1.50449860202184e-05i,-0.0341663878633092+1.20594253114843e-05i,0.00563953718463954-2.82669665811008e-05i,0.000152572852062468-3.99688858896407e-06i
-0.000201901698246444-3.39495929111302e-06i,0.0240908641286133+2.78951438800185e-07i,0.00280260434650329+6.04832041348012e-06i,0.00581630533842531-3.03390075066902e-05i,0.00293138049991717+3.43924248066115e-07i,0.0175333317262877-7.1841931514112e-07i,0.0417991810011052+3.7661409164338e-06i
0.000347106991802401-5.33814680210991e-06i,-0.0281929244378676-1.17944040442979e-05i,-0.00743174257792495-1.54555482343199e-05i,-0.0139034094824179-4.34838823191125e-05i,0.010915102449347+1.14199632080429e-06i,0.0151925155785511-6.01774969747662e-06i,0.0360698392034322+3.88054137366561e-05i
-0.00277816080479645-4.83867411973999e-06i,-6.17261423931678e-05-7.11482664813464e-06i,0.00308857698134146-6.41805605270609e-06i,-0.0103074379582837-7.19152924211395e-05i,0.0114124676880516+3.61737546119263e-06i,-0.00260838899493957-2.98942914461346e-05i,0.0326231327034453+4.93633395294884e-05i
0.0070671775824347+3.58193971681699e-06i,-0.00469560185939037-4.35787708111618e-06i,-0.0297633486874013-2.56007498776599e-06i,-0.0109119118039444-2.27822745091019e-06i,-0.0144358903713248+2.99738447858779e-06i,-0.0291740823824759+2.44135112173998e-06i,-0.00889608760318236+2.79338099778869e-06i
-0.0031948541877811+1.98563750358777e-06i,0.000393794587237111+1.44786217435903e-05i,-0.00823669825338556+2.43327226026679e-05i,-0.0162441937247417-1.47438432946748e-05i,0.00882999987010493-2.54660502737538e-05i,-0.0258136419852569+1.4219860673875e-05i,-0.030061658772319+4.48594751641097e-06i
-0.0115750660592241-5.14296796914929e-06i,-0.0214998490309288+6.65298381143776e-06i,0.00627986204268753+4.27711337263644e-06i,-0.0284655788670093-3.77036722653039e-05i,0.0380086842232781-1.37599001631967e-05i,0.0141199778209125-1.64457032161823e-05i,-0.0339905048048179+3.97926481586499e-05i
0.00513310226685364+7.20676497710594e-06i,-0.00521639692467993-3.20380754055504e-07i,-0.0170311576860366+4.7832665803018e-06i,0.0584181173993065+4.3296056232599e-05i,-0.00735014076381266+1.31192840970367e-05i,-0.00412326034674858-1.3732318705052e-05i,-0.0134964668304871-1.386924001005e-05i
-0.00739953085186315-7.11574116911186e-06i,0.0084259617142384-6.36743774320094e-06i,0.0368300280288099-2.22893941252353e-05i,-0.0401612277940926-2.01808844444057e-05i,0.023084677103111-9.51605431416273e-07i,0.0146484179039961+3.83586181717018e-06i,0.0213422797129299+1.24777751876486e-05i
-0.0021123776961307-5.34439319979883e-06i,0.00691659010075935-1.73061050766707e-05i,-0.00508812871645551-2.70016179716124e-05i,-0.0139743809133146-1.58550973448359e-05i,0.0249371418107109+5.36574823929709e-06i,0.0183153721796526+1.28271899295552e-05i,0.0413651856685385+1.9054100188978e-05i
