0.0168664110892293-2.23498196200009e-06i,-0.0506793805209611-2.93296192694049e-06i,0.0665869187120886-3.68074187254607e-06i,0.0278855587055333+4.47418901322885e-05i,0.033223274788704-1.38382116245411e-05i,0.000386320445292206+1.16722700423716e-05i,-0.0479531033402242-1.35596454459699e-05i
-0.0134613177492287+2.43461491034731e-07i,-0.0155798286781365-9.71278267304469e-06i,-0.0660913506523539+3.48449536694871e-06i,0.100999534822423+3.79200394309541e-05i,-0.0462293443995106-9.79284027289572e-07i,0.0271288130510246+1.98638100119194e-05i,0.0565554224865796-5.05075727335577e-05i
0.0134339638172697-4.19291283156953e-07i,-0.0260466876919336-8.35423108115895e-06i,-0.100485503914785+3.29573754324405e-06i,0.0772348173557139+5.45100062821036e-05i,-0.0511645097828946-9.67470906586337e-06i,0.0169437575138437+2.20497184789049e-05i,-0.0006556928668005-5.21707647333053e-05i
0.0053758580332754-3.19082142006026e-06i,0.0223613100815678-1.46337772813259e-05i,0.00354942314709983-9.06326506668777e-06i,-0.00313517912340317+1.39892112988789e-05i,-0.0128603903947401+5.28194927309597e-06i,-0.0112899428246486+1.31033466576422e-05i,-0.0195694342894688+6.56158375362403e-06i
0.0107419743739288+1.64125616717754e-06i,0.0117616939232601+5.10849494252659e-06i,0.0141028590381542+5.07842614154994e-06i,-0.0226196549520986-2.69988149794181e-05i,0.0316363597608039+8.39762429732205e-06i,0.0727354807537896-1.76985296372499e-05i,0.034135664770722+2.04642025197255e-05i
-0.00364156945735616-2.36873009316356e-06i,0.0308863869511464-1.06185755948928e-05i,-0.0435434679885283+9.29726383683546e-07i,0.0145611305295018+2.80330952186554e-05i,-0.0240274957347901-8.84375847935191e-06i,-0.0639347579038807+1.87369789578183e-05i,-0.0405522287780807-2.08955988284254e-05i
-0.0105056281475934+3.66010925442826e-06i,0.0186355111119548+1.3823960857395e-05i,-0.0495067347828586+7.24654496846355e-06i,-0.0126756658795443-3.46046984913775e-05i,-0.0699395553047+8.04663184011655e-06i,-0.00662753345729432-1.25340961249363e-05i,0.0448943402818538-7.8033274626076e-06i
0.0201019649616903+3.92481940225389e-06i,0.00894878394293824+9.68429319335321e-06i,0.0527167843240284-5.46251813124433e-06i,-0.0266633399486546-5.42693707986788e-06i,0.109217074344966-1.03781448575273e-05i,0.0371587532315538-1.4651585635429e-05i,-0.0434254235557491+2.68883299841983e-05i
-0.00111240604624306+3.22461229309054e-06i,0.0244932262794117+1.35600040648461e-05i,-0.0304635962221093+8.1590875733875e-06i,-0.00653745101228541-1.37951684090213e-05i,-0.0197011176503899-4.92716932515019e-06i,0.0231123140947857-1.08116901235581e-05i,0.0175748422384963-9.43231003463295e-06i
0.00512182395828287-2.14616504184876e-07i,0.0303708996412485+2.24107884384618e-06i,0.0282090584042437+4.97693075480035e-07i,0.00873440471783404+5.35613068244693e-06i,0.0101528286722202-2.85893784790249e-06i,-0.00579572770098511+5.07639281564287e-07i,-0.00906481402644612-3.57688904149217e-06i
