-0.0118574152273782+8.09782399667882e-18i,0.00822482162360377-3.45735911958947e-15i,0.00822482162954591+6.99234881709913e-16i,0.00822482166722938+9.1151560007158e-15i,0.00822482164669636-3.04300467798747e-15i,0.00822482162550381+5.87064066565382e-15i,0.00822482162648108-9.12922660971877e-15i
0.00702944168356859+4.91914243005415e-19i,0.00677131539503273-4.55315356332767e-17i,0.00677131540204284+3.78083470420432e-16i,0.00677131540656434+4.55149540504647e-16i,0.00677131540680465-9.87837920657174e-16i,0.00677131540002879+2.3499757358222e-15i,0.00677131538798648-2.12690474893869e-15i
-0.0141534612342314+3.61630556601683e-18i,-0.00700129910650282+3.24186035205802e-16i,-0.00700129911081182+8.0428256786112e-16i,-0.00700129909852454-3.44929360679223e-15i,-0.00700129909433334-2.77250208596467e-16i,-0.00700129910312985-3.24167123139819e-15i,-0.00700129910203384+5.82651861151822e-15i
-0.0753720618090329-1.29428731478902e-18i,0.00317992325744715+8.75298728326352e-16i,0.00317992326715555-1.90765210873082e-15i,0.00317992327642722-1.25861634062975e-15i,0.00317992325894403-1.99082473590541e-15i,0.00317992326408711+3.83656104605171e-16i,0.00317992326134919+3.90458954860156e-15i
-0.00387875275584264+1.48521112897377e-18i,0.00770862947451456-2.48764331623919e-16i,0.00770862946671341-1.02093231342363e-15i,0.00770862945491274+1.2607734531845e-15i,0.00770862947469259+2.1243200578007e-15i,0.00770862946588363-1.89629693477844e-15i,0.00770862946134687-1.88313297315429e-16i
-0.057764083082535+1.54994512242567e-19i,0.000463326030855485+1.70839808402468e-15i,0.000463326029258318-1.0398839910978e-15i,0.000463326019715049-3.48637912155082e-15i,0.000463326016821669+3.28484628192286e-16i,0.000463326025298014-3.30796643988438e-15i,0.000463326023003918+5.80154876463328e-15i
0.139740138884949-3.63796863438192e-18i,-0.00264451408364597+7.18492110019623e-16i,-0.0026445140826043-4.80001576980961e-16i,-0.00264451409472699-3.26574134758306e-15i,-0.00264451409019351+1.26079675546447e-15i,-0.00264451408251615-2.43128519827495e-15i,-0.00264451408769428+4.17485162460287e-15i
0.0323256507072961+1.00484238756727e-17i,-0.00438049864713841+1.29348167140128e-15i,-0.00438049865955156+1.27915824811968e-16i,-0.00438049867026036-1.27826239561585e-14i,-0.0043804986419082+3.58888956847071e-15i,-0.00438049866521753-9.13060772565151e-15i,-0.00438049865572587+1.69150699267622e-14i
-0.0435956977049489+4.75343697552615e-18i,0.00507101287254541+2.10981077939029e-15i,0.0050710128591232+5.42565033629461e-16i,0.00507101283818101-8.51534737784082e-15i,0.00507101286909639+1.47925290666412e-15i,0.00507101283385425-5.84887010006848e-15i,0.00507101286513967+1.02629412437146e-14i
0.0405006315486665-3.52430868751662e-18i,-0.00757700635772013-1.72279211550886e-15i,-0.00757700635657876+8.29155632605169e-17i,-0.00757700635128578+6.05558623959817e-15i,-0.00757700637468073+1.61136372446604e-15i,-0.00757700632957897+9.61142578615094e-16i,-0.0075770063388525-7.0222767022246e-15i
-0.0910386569486319+8.00567251268843e-18i,0.00989282962978266-2.40695297060832e-15i,0.00989282962281668+2.20928647968646e-15i,0.00989282963757965+5.42707285361988e-15i,0.00989282964171845-5.25735540960168e-16i,0.00989282960587856+1.574940480683e-15i,0.0098928296244436-6.21486268793696e-15i
-0.0639939704477078-2.65113142072075e-18i,0.0110083201093102-1.35397620531325e-15i,0.0110083201145967+1.69092545244154e-16i,0.011008320116186+6.85676714227074e-15i,0.0110083201061091-1.16440746815349e-15i,0.0110083201110511+3.91574180046349e-15i,0.0110083201035738-8.38479855114125e-15i
0.0447096560731163-2.55399618784682e-18i,0.000823787353540963+3.33654330150944e-15i,0.000823787354387779-2.49797873837541e-15i,0.000823787346297674-8.87307457795548e-15i,0.000823787346573835+4.36893712991811e-15i,0.000823787381700126-6.88530619373198e-15i,0.000823787368600074+1.05472914300466e-14i
-0.0685184745884206-4.89589902657008e-18i,-0.00120518267462569-1.74619615974187e-15i,-0.00120518266439237-7.76383116619253e-16i,-0.00120518266652583+1.15622746910014e-14i,-0.00120518270358691-2.69941464697004e-15i,-0.00120518267219711+8.10253067529669e-15i,-0.00120518268137487-1.44599289337519e-14i
0.0209852685389897+8.77681385047396e-18i,0.00799951828330081-1.95938843558518e-15i,0.00799951828261281+7.20938934009313e-16i,0.00799951829998885+6.27475176292136e-15i,0.00799951830977341+9.68036674743706e-16i,0.00799951831910756-1.89579943129277e-15i,0.00799951827892142-4.05252579015409e-15i
0.178500838990411-7.65122186284934e-19i,-0.0148402350022656+5.99749142583472e-16i,-0.0148402350045718-1.62601504463863e-15i,-0.0148402350162781-3.39838314731374e-15i,-0.0148402349824036+2.17921771797084e-15i,-0.0148402350153362-4.97232699859486e-15i,-0.0148402349972354+7.1630983636119e-15i
0.0165636408352069+3.68295396633015e-18i,-0.00290191370119855-2.6774784601667e-15i,-0.00290191370366169+1.92354448340898e-15i,-0.00290191368838569+4.60086592136764e-15i,-0.00290191368441065-3.18372387761825e-15i,-0.0029019137089514+3.7627978258488e-15i,-0.00290191369427029-4.42511723242398e-15i
-0.0189727715133998+9.763602011244e-18i,0.0140308998603078-1.23861359603508e-15i,0.0140308998628356+2.09673059884852e-15i,0.014030899877848+2.72201511572034e-17i,0.0140308998767219-2.24546374461315e-15i,0.0140308998675791+1.39142774568575e-15i,0.0140308998649767+4.53380040419849e-17i
0.0317276667243475+4.93952824539989e-18i,0.00500416764185876+3.52024411403667e-16i,0.00500416762708972-2.69656548258464e-16i,0.00500416762318026-6.4599378066435e-15i,0.00500416764699274+2.34548712971603e-15i,0.00500416761452643-3.20285642285971e-15i,0.00500416763206968+7.26960625884876e-15i
-0.0975956298031413+5.90509157159511e-18i,0.00769910483826136-2.51017640240276e-15i,0.007699104854064+1.47517378064555e-15i,0.00769910486528569+6.76099006287062e-15i,0.00769910482757646-1.90346624672201e-15i,0.00769910481528308+6.29063243711168e-15i,0.00769910484854952-1.00751777693336e-14i
0.0353820958914822-5.6797953673999e-18i,-0.0113290367844351-1.83734738586225e-15i,-0.0113290367766873+1.14937153028715e-15i,-0.0113290367758758+4.56018625607176e-15i,-0.0113290367866187-1.37058662652757e-15i,-0.0113290367944174+5.11308109297509e-15i,-0.0113290367803569-7.66864192751351e-15i
-0.172638670424993+7.86561085393473e-19i,0.00332780111709091+1.45070833470678e-15i,0.00332780112074138-6.04515773948406e-16i,0.00332780113233527-2.27942254383327e-15i,0.00332780113553854-1.88382819994586e-16i,0.00332780111703151-1.46188544143726e-15i,0.00332780112924702+3.09922194999824e-15i
