-0.00859313139975285-3.01993514707246e-06i,-0.0413884178393722-7.50480196853466e-06i,-0.0335107369749431-3.67314580915807e-07i,0.0465672046467508+5.51047240371952e-05i,-0.0283698144436488+2.1693598537177e-06i,0.0183236406995001+1.71912168009326e-05i,0.002284483831858-4.25846810024534e-05i
-0.00284331440047588+4.31215077391572e-07i,0.032279451447929-2.64908258975192e-05i,-0.0212790981372177-3.53692926556534e-06i,-0.000613341077492755+1.28021216442108e-05i,-0.00206425028280093+1.09865185080893e-05i,-0.00391506760968506+9.96792653807995e-06i,-0.00929905676307679+9.20781138350854e-07i
0.0172253046279154+8.98276527770752e-06i,0.0179725501928135+4.74483038423144e-06i,0.0211478721037805-4.05945903832567e-06i,-0.0166709141348996-4.75019940386936e-05i,0.0334640119289426+6.10988370585902e-06i,0.0695035638599391-2.4321381034368e-05i,0.033657241594429+2.80666834401382e-05i
-0.0178254047202676-6.93673346433498e-06i,0.033519053837874-6.90240109586236e-06i,-0.0496803603652894+1.86719642573719e-05i,0.023143702787171+5.83236552058889e-05i,-0.037493395303859-1.7772706485658e-05i,-0.0431680805421888+2.90805427862314e-05i,-0.0439935462617008-4.1924632155907e-05i
-0.0114908715205469+1.36893853558595e-06i,-0.0136254094861428+2.39393342835556e-05i,-0.0469582381651266-2.97656668877154e-06i,0.00609889454136218-4.50485082666627e-05i,-0.038878774024582+2.50254465990944e-06i,-0.00559013018634573-2.13754699657609e-05i,0.0212593175801573+1.79163402906825e-05i
0.0216839782252076+9.4992783393383e-06i,0.0302073973647064+2.71449271352934e-06i,0.0171776217057336-1.2510185227631e-05i,-0.0206684167553224-7.71869813212534e-06i,0.076202022353288-1.73937057250239e-05i,0.0510913267461834-2.32397798724887e-06i,-0.0253093605847895+2.25947545931151e-05i
0.00322503007663294+2.65224848009359e-06i,-0.00282773115749019+2.2941532411518e-05i,-0.0156910832688668-4.06631919242223e-06i,-0.00837755789508633-3.74905335471564e-05i,-0.00961463769108612-6.76025641419113e-06i,0.0171623613091734-1.53143102571307e-05i,0.0236994799017025+1.4686441663228e-05i
0.00762118461933912+1.46041158858608e-06i,-0.0138959416075998-6.14960498063302e-07i,0.0286406054656275-1.14459377049622e-06i,0.0097728415397012-7.36363935265695e-06i,0.0268983190176235-2.77099335921348e-06i,-0.00184489916470061+2.61945013410024e-06i,0.0177565885946041+5.83550170483805e-06i
-0.00435300811552315+1.37977954638851e-06i,-0.0126590797657555+4.39749586463344e-06i,0.00575370710543913-4.89525870737659e-06i,-0.0162424773274604+3.17225942295328e-06i,0.016389639050087-5.23713802206113e-06i,-0.00465822559804947-5.06122511397543e-06i,-0.0386519980738873+7.07636545664675e-06i
0.00295906820665569+2.96252401186588e-06i,-0.0064108674896602+7.23684736106487e-06i,0.00907218282562385-4.21503859152749e-06i,0.0111499518913488+4.0307103422293e-05i,0.00357912223194632-1.2087400165235e-05i,0.037919223545831+5.47039971551948e-06i,-0.0345759024618721-2.31179152393471e-05i
