-0.0426107732618838-2.10501437653643e-08i,-0.0468446773304946-5.5200797117924e-06i,-0.0582217074225362+5.6084862749348e-07i,0.0352604463043671+5.66976763022348e-05i,0.0275440260830561-2.41551489649239e-05i,0.0680811007004954+6.91565964076442e-06i,-0.0395148740478078-3.36809088548717e-05i
0.0773246722504081-2.62021887443209e-06i,-0.0443647450645478+3.44655792711358e-06i,-0.0304414809376993+6.21582959198935e-06i,-0.0266552100028315-3.30989848268016e-05i,-0.00342062786581563+1.45740533066008e-05i,-0.0683525402875133-4.7268560884185e-06i,0.0137570290402802+8.7249573178924e-06i
0.00678140311845331+4.49185655898145e-07i,-0.0435332709375818-5.92660529304752e-06i,0.00729213595009852-2.16578942845422e-06i,0.0279141151346266+3.18774119809393e-05i,-0.00727413223721004-1.10808251634093e-05i,0.00667206618444159+9.00298367864196e-06i,-0.0151843037266198-2.03837667308076e-05i
-0.0355055970760566+1.70100205234031e-06i,-0.058124775582154-2.94349157614403e-06i,0.0104863039775858-3.69023163709369e-06i,0.0119288680387346+2.53304569872328e-05i,0.064383532062353-1.62657619881936e-05i,0.066461739826706-3.36225977514604e-06i,-0.0232360161822642+5.18865440121105e-06i
-0.00964273820998763+1.79812924295151e-06i,0.0101362933296799+2.74678239296937e-06i,0.00409694473467775-3.56466879197409e-06i,-0.0224797649423049-7.69449039713915e-06i,0.0388798377353568-2.28823641892653e-06i,0.000403613396316985-6.74706843366945e-06i,-0.0269907006185146+1.95357345701954e-05i
0.0207307216840951+2.36916351143551e-06i,0.0345626811106841-5.00112856622172e-06i,0.0186234528236644-2.31351558680793e-06i,0.0299594342333041+6.28486450335205e-07i,0.0560001794545485-6.38184995551235e-07i,0.00386744247706169+1.46063049843738e-06i,0.00573244817156403+9.62973287893905e-06i
0.0844138680526394-1.32527259451595e-06i,0.0230047094713981-2.05500419552632e-06i,0.00849927606573742+5.27949464483861e-06i,0.0309064808212737+6.16830117760286e-06i,0.00337810876115315+8.87529803502795e-08i,-0.0720323879336316+9.11489888988769e-06i,-0.00972967987799864-2.06525856390554e-05i
-0.0387292214851595+6.70355984260449e-07i,0.0259646777652292+4.16084312124597e-06i,0.0095742399281452-9.55400192747084e-07i,0.0139376432543963-3.07001238714823e-05i,0.0656242865732853+1.08279641850196e-05i,-0.0224500432508639-6.15794851674551e-06i,0.0338389163994631+2.30977406514643e-05i
0.0031062827315411-2.17102606087589e-06i,-0.00552060523753131+9.72157856849581e-06i,0.0421854098686369+6.86275493024402e-07i,-0.0550883200891605-2.97012827701352e-05i,-0.00140052531544313+1.03544220666731e-05i,-0.0490068518084873-1.21698324137966e-05i,-0.0156458379039148+1.66122563066033e-05i
-0.00335643714662982-7.29804202674285e-07i,0.00232327090241316+2.66400702085538e-06i,-0.0331404120312839+2.68079213899237e-06i,-0.036617902213423-2.42227987008864e-05i,-0.0143646666078945+9.62467284429585e-06i,-0.0181093802534589-6.64004812899127e-06i,0.0026742091346019+1.37402015714118e-05i
-0.00109176916954227-3.3736349233464e-06i,-0.0366564968098145+2.20359874895317e-06i,0.0412385024546548+8.8610147496988e-06i,0.0345761714649871+5.76431100988199e-06i,0.0594319330483289-2.55720900602261e-06i,-0.0273254050146852-4.78246452699788e-07i,0.00961852734492361-1.92840469349665e-05i
-0.00478170404832304+1.8073564088166e-06i,0.0276116152015844-2.7025153912771e-06i,-0.0355371279197157-3.8349435689517e-06i,-0.00240157539981771-1.75005193890717e-05i,0.00694803170530858+8.05179046504085e-06i,0.00659390046498827-1.27890222028356e-06i,0.0208077187325628+1.93197884603787e-05i
0.0136095317558097-1.66435018251163e-06i,-0.00261215246408404+2.04461418235136e-06i,-0.0338221987356061+2.77166370162361e-06i,-0.0164272372913716-1.51275557675627e-05i,-0.0570295617084681+8.860617090219e-06i,-0.0181739684529166+1.07164613371353e-06i,0.0222895648356383-2.68160197859286e-06i
0.0083210400296749+2.62154460674773e-06i,0.00653507918828467-1.64124976135751e-06i,0.0760914785883023-1.05004164683282e-05i,0.00250801728993443+9.75560577814403e-08i,0.0181413429064354+8.21823592502343e-07i,0.00699586743532317-1.28356819666251e-06i,-0.00053261780679077+1.72890251551943e-05i
-0.0113503774964432+4.68683588129236e-07i,-0.0200129721884176-2.70064741256817e-07i,-0.0114084214983707-8.27445424329953e-07i,0.00692699832198535-4.32114612108951e-06i,0.00404371724575642+1.5445843912903e-06i,0.00757247424082368+6.59605158269525e-07i,0.0171334084407996+5.00714770895867e-06i
0.00287240456502736+7.18891176817561e-07i,-0.0115759837331025-8.64887844710805e-07i,0.0159190820842095+1.08670661842039e-06i,-0.0269038210470311-1.460483929395e-05i,-0.0257414329051352+6.73031932656775e-06i,-0.0126016908982387-3.43076707447808e-06i,0.00349707207181467+1.11573891512208e-05i
0.0724060264316781-1.14649929790251e-07i,-0.020017601081522+2.49569212487885e-06i,0.0364758801664091+2.67740682366616e-06i,-0.0210101960353984-3.37930788496277e-05i,-0.00640055339134948+1.44216970037763e-05i,-0.0181967801047919-7.31686200863011e-06i,0.0364874547883562+2.03112247920534e-05i
-0.027942063448974-3.42101478027043e-06i,0.0490810368938913+8.1999603089069e-06i,-0.00900201691856665+1.04564241360038e-05i,-0.00389766617058698-8.07680834397497e-06i,0.019543853115207+3.29095416689272e-07i,0.0335229764017322-7.84840016180518e-06i,0.0171250340428186-1.04104984555728e-05i
0.0236330071701426+4.45433752030451e-07i,0.028097343545677+4.09012333741816e-07i,0.00559097712129469+4.11504922445563e-07i,-0.0261598592780553-5.81183887823644e-05i,0.0115659999721743+2.45391443179853e-05i,-0.00646901825834101-1.08095442005347e-05i,0.0628042870696246+4.37720573469022e-05i
-0.0332839435128112-2.34064339332319e-06i,-0.00626609102774486+4.65013593622773e-07i,-0.0280264955421728+8.46002387198279e-06i,-0.0269622934949056-2.38474368251283e-05i,0.00390382699107129+9.86460179654462e-06i,0.0349579266806779-1.01874342703755e-05i,0.0329616486999521+1.06574241914345e-05i
-0.0009477867479445+1.62077085599721e-06i,-0.0328500339021312+4.1415006015835e-06i,-0.00263107943544323-3.12907479186422e-06i,-0.070311582085836-5.03623215597228e-05i,-0.0287542397422147+1.95704702595531e-05i,-0.028742024939349-1.25937317247572e-05i,0.0149698642283661+4.43133350823693e-05i
0.0164142957867046+2.00467048159966e-08i,-0.0664677811945851+3.0331556250748e-06i,0.031739389224191+3.72986688067854e-06i,-0.0289638467001518-4.0764221396192e-05i,0.0226747545206547+1.36715870030713e-05i,-0.0208660605060603-1.12758514554491e-05i,0.032454181391215+3.1283224519936e-05i
0.00569879661447494+2.95606744980104e-06i,-0.0480617058612631-7.62054149134251e-06i,0.0336031204755014-8.77049822620942e-06i,0.00442208788364798+2.64208906231175e-05i,-0.074633855939245-3.42912303112033e-06i,0.0222000712067212+9.48669951612034e-06i,-0.00290646198172846-9.70103128199751e-06i
-0.0114232762408212+1.27357330594963e-06i,-0.00818873809256165+2.59892022028838e-06i,0.000663819712418291+3.4795641001518e-07i,-0.00471793879023817-1.19272733990497e-05i,0.0492083131448014-8.75298244926378e-07i,0.00415574841369717-6.22276379842314e-06i,-0.00273656688288261+1.71550892120775e-05i
0.0158724930784659+1.10517357844381e-06i,0.0063018789714328+1.03648143762278e-06i,-0.0566650259761596-1.7712771809608e-06i,-0.0355946627989303-7.97559907679796e-06i,-0.0253546056839991+1.72447370403864e-06i,-0.0134238026086507-1.84614884333048e-06i,-0.024724411299147+1.05505168652918e-05i
-0.00480332986626613+9.48542253411137e-09i,0.0208387205928496-2.97971446076355e-07i,-0.0334026066585396+2.50776509167248e-06i,0.00536197320333209-3.45145182660382e-05i,0.0579333522728951+1.21993561228964e-05i,0.00258277263126944-7.19064737168519e-06i,0.0419313616476506+2.64843478262177e-05i
