-0.0110126072593181+1.04530181103795e-06i,0.0256601922356808+8.83590764998132e-07i,0.0314810858293366-1.54954721243029e-06i,0.000566375495922659+9.12948528201923e-06i,-0.013246285646069-1.13070135516339e-07i,-0.0219016673224928+1.84038798881801e-06i,-0.0252324009468418-1.11038110879689e-05i
-0.00714613531206759+4.70848483529068e-06i,0.00836552623708152+4.89689994209451e-06i,-0.00946482859363804-7.16930503319631e-06i,0.0492915792072116+2.02698017864037e-05i,0.0452335050777852-9.46637361376675e-06i,0.00481318574928932+7.7289340316477e-06i,-0.0105037194942186-1.88980477445934e-05i
0.00893580712202376+7.76523121475622e-06i,0.0485478493071814-1.20203446511754e-06i,-0.0445505434174751-5.88289152244695e-06i,0.00127434135355281+2.91448043959986e-05i,0.045595768222948-1.55788814818693e-05i,0.0436248913531716+3.34155024263701e-06i,-0.0604976257365138-1.80161662928844e-05i
0.00803390738510228+7.85814309249566e-06i,-0.0983781902888473-5.72713294776341e-06i,0.0125480766618505-1.47674693226715e-05i,-0.0306877756587686+1.52354121721909e-06i,-0.017705340640699-1.05056652062341e-05i,0.00386822468410808-5.58873306036994e-06i,-0.0470313223727772+3.92331402345187e-05i
-0.00328296266170069+9.52313971356911e-06i,-0.0438488180424431+5.64674509891772e-06i,0.00350870516108546-5.79895539787007e-06i,0.00412889263008888+6.73592159722366e-05i,0.0364293710680561-2.19922034194355e-05i,0.0275002119872738+4.84397983414351e-06i,-0.113731100290563-4.95646897468948e-05i
-0.012913703888259+9.75807355888758e-06i,0.0186863469839063+5.25778620669298e-06i,0.0250417204020971-1.9571352218468e-05i,0.043620476020667+3.17261363549676e-05i,0.00531204376779002-1.97336994407472e-05i,-0.0514199675030607+1.34903327621029e-05i,-0.0684910434864485-1.08887681659626e-05i
-0.0153247050767855+4.97528222786846e-06i,0.0526366268132523-2.24646381366173e-06i,0.023589199381756+4.85524238570267e-06i,0.104129856517298+4.59168247418519e-05i,0.0468453450143087-1.0581519390282e-05i,-0.0137120393643733+2.26198967586143e-05i,0.00367669959656604-6.88584115966658e-05i
-0.00889884948757127+5.35861816609055e-06i,0.126951634598932-1.06244813228501e-06i,-0.0173146032766376-1.12020649656114e-05i,0.00643392246248389+1.7424406011757e-05i,0.0007901670814964-9.21587197728212e-06i,-0.00913336438754894+1.05614271076767e-05i,-0.0510460977789689-1.64010954568536e-05i
-0.0147089413607359-3.45570658757778e-06i,0.0910239832729358+1.06089312854678e-05i,-0.0526429513608856+1.23361139687002e-05i,0.0501449850081248+4.89506253151668e-06i,0.0402837121614499-2.95307177327651e-06i,-0.0294186228009669+8.09068044768338e-06i,0.0114345560785196-3.68712183066176e-05i
0.00604742117672434-4.52872481029722e-06i,0.0221949201663457-5.7986740844091e-06i,-0.00576400156914997-8.87463152701853e-07i,-0.0343656027967009-1.18349712284725e-05i,-0.0355354346757002+1.4963972062783e-05i,-0.0182621393893932-1.22583381584342e-06i,0.0058253274045009+3.97372743799829e-06i
