0.0110029153635152+2.01969117777908e-06i,0.0262555174384418+1.35968667714123e-06i,0.0285101040386807+3.76000425024347e-06i,0.0317861331457567+2.56525640372404e-05i,0.0104206816857553-1.10695990203812e-05i,-0.0228293883675535+1.08678711798048e-05i,-0.00841764666672893-2.67499857421421e-05i
0.031437914352403+9.38559941268092e-06i,0.00585203119797329+3.71760812388237e-07i,0.0412465585195688+1.7813716333905e-05i,0.0608452366521955+7.39521256211434e-05i,-0.0288728990736445-3.00297179754783e-05i,-0.0241547194880106+3.65601520262476e-05i,-0.00836585144594251-7.04642630423958e-05i
-0.0332126394572574-2.11753751209419e-06i,-0.00690281442293223+2.53604909997246e-06i,0.0424871559061453-1.35369785238465e-05i,-0.0485012627153508-3.60971925577887e-05i,0.0134344711398812+1.65717948342575e-05i,0.0442464109625164-2.18853306966847e-05i,0.000873017417041516+4.70634810992081e-05i
-0.0104209502837831-5.53489802492151e-06i,-0.0577327796966146-4.83604415457995e-06i,-0.0171160374726659-1.56194397180357e-06i,-0.0478228872749848-2.42706795357773e-05i,-0.00684795361831081+3.99398786539151e-06i,-0.00158766558769249+2.70645736812874e-06i,0.0109803357238314+2.00670655044982e-05i
0.0147396108254829+2.17095217107449e-07i,0.0161199853301751-6.90409981117311e-06i,0.0725586400119998+1.25553348138239e-05i,-0.00186745529954193+3.11881169257941e-05i,0.00393029434019599-9.98116224156403e-06i,-0.0291533995638912+2.27680057563643e-05i,0.00146163900559302-3.36190807106579e-05i
-0.0163695217308485-8.75906547564477e-07i,-0.0324932655648882-3.16483926020543e-06i,0.0199893226836701-6.04737959347025e-06i,-0.0467565103690334-2.03306941764042e-05i,-0.00240070333836709+5.38152580814082e-06i,0.0119777355413079-9.05736109686302e-06i,-0.000306088327519696+3.09051955176011e-05i
0.0292856952415409-3.10332608224024e-06i,-0.0258053322402103-4.94850182023182e-06i,-0.0420887745177046+3.40882347577478e-06i,0.0313112252041908-2.4409193889598e-05i,0.0201885909764719+5.38000976408798e-06i,-0.00145221064188306+4.0305363685564e-06i,0.0660028002422065+4.30471146294648e-06i
0.0145485911562994-4.16181893011527e-06i,0.0284205149068425-7.52462306186158e-06i,-0.0213773180222598+1.00357971766975e-05i,0.0219065843502675+1.92331933563925e-05i,-0.043321244730316-1.38743847682427e-05i,-0.0192429423656837+2.24111810666294e-05i,0.0241704165416897-3.55197926145638e-05i
-0.00373741892303797+6.65267914567638e-09i,0.0542832215163377-1.27426837411417e-06i,0.030748050615076-1.07699166472204e-05i,-0.0073190874037887-3.45362193868429e-06i,0.0108276269664892+5.58758300755996e-06i,0.0128782205848053-8.23172475919361e-06i,-0.0094777633515649+1.79244473149891e-05i
-0.0256097234676051+1.32615804015462e-06i,0.0165888070617459+8.07804205492737e-06i,0.00562940868273618+2.00416199894217e-06i,-0.0276115604746072-1.19439456819444e-05i,-0.00315524414722476-4.51054887021273e-06i,0.0303219789143445-1.63270055507418e-05i,-0.0260466640379346+1.13660224382612e-05i
