0.0139527837872259-1.31549985286182e-07i,0.0450686394428785+1.08693800079147e-06i,-0.0665023014567045-4.9489889918849e-06i,0.00875086342024511-2.66753271563666e-05i,0.00556365923940743+8.53553204240017e-06i,-0.000807500419126555-1.43722614286635e-06i,0.0354631642569555+2.3376987491143e-05i
-0.102549178167542-1.77916545130449e-06i,0.00209021309048801+5.04788071830576e-06i,-0.0394907858332816+3.28230020553945e-06i,-0.0459105498646179-2.94074490905798e-05i,-0.0533123297984574+1.29329400205923e-05i,-0.0241169048093032-3.49844147521081e-06i,0.00897647597434951+1.09087159140288e-05i
0.141393365333594+5.81017309838944e-06i,0.00124597112053427-1.05946051620775e-06i,0.122177959617835-2.32569878551938e-05i,0.0036766143339731-1.11851664410363e-05i,0.00939500974230405+4.51393424071678e-06i,-0.00248958284661363-7.79300985276519e-06i,0.0153861781251828+4.11966186315154e-05i
0.00769783538966506+1.06804452980085e-06i,-0.0210890177857725+4.47131025584239e-07i,-0.029625406084623+1.91339263592521e-07i,0.0127681524977848-1.35358948326775e-05i,0.0129483127625703+1.90857986901404e-06i,0.0127737588199491-1.65879962509458e-06i,0.0324284539577912+1.31006000062495e-05i
-0.0700042401180813-5.5260585756799e-07i,-0.0156278709771745-1.36042866716899e-06i,0.0179780786493116+6.1309079300193e-06i,-0.0443911887331372-2.346896385307e-05i,-0.0322145392216175+1.15612678373758e-05i,-0.016968836135554-4.77719083186478e-06i,0.00408274792545981+1.16841743696778e-05i
-0.0151356091616568+8.91625581796813e-07i,-0.0376963421330087+3.99887432490831e-06i,0.0451743451766166+2.25781563437227e-06i,-0.0442814708578658-4.44863627180008e-05i,-0.0287770986897703+1.9353282841556e-05i,-0.036953589038135-8.42092171564027e-06i,0.0314820756161547+2.77049487932234e-05i
0.115766117054044-8.7201624024319e-06i,0.0833411987064512+7.42081228716782e-06i,-0.0194006980010197+2.12930814376365e-05i,0.0187440799059822-2.05972995306508e-05i,0.0192301254615788+1.26688954151211e-05i,0.0141467895511768+5.22913385807876e-06i,0.055881269598404-2.96326352378066e-05i
0.0725059541582693-1.22583066801791e-06i,0.0331083488388586+3.94682595171523e-06i,-0.0222188882968689+5.64294995310361e-06i,-0.0282758433003979-9.70134936449258e-05i,-0.00488770813733005+3.93758253299446e-05i,-0.0258444219114342-1.13632658191711e-05i,0.115502661620622+5.89522328711108e-05i
-0.0339050329777549-5.15358266193234e-06i,-0.0062344772674892+2.69564191079692e-07i,-0.0376950603569809+2.19828488162562e-05i,-0.0209000417277869-4.04105848338032e-05i,0.000578876481091549+2.00877716024568e-05i,0.0173613952218792-2.30088801421011e-06i,0.064793227228239-1.74533895490092e-06i
-0.196029628576942+4.42174712588373e-06i,-0.0563474798318908+3.47935088772978e-06i,0.00173884022027836-8.93851643345953e-06i,-0.0862161536572015-4.40999386741026e-05i,-0.0467350672778537+1.50917663549601e-05i,-0.0298252854679763-1.53978190983074e-05i,-0.00845279797521927+5.17294875544013e-05i
