0.0275648865617868+1.85289905051443e-06i,-0.00373186381331059-5.39572671594498e-07i,-0.0139269248481165-8.97389214187247e-06i,-0.00527952962104044-8.93815251241198e-06i,0.0144135970985233+7.73259956811665e-07i,0.0379711061806301-1.1306304905769e-05i,0.0273998221572296+1.60866237105554e-05i
0.0162783245930045-5.96432411453264e-06i,-0.0199588854258888+1.41356120201401e-05i,-0.0376092125211306+6.0253803594216e-06i,-0.040779161852353-2.89820770405833e-05i,-0.00233839570254131+3.74931575965644e-06i,-0.0503131033396812-7.17151281988668e-06i,-0.0157372838345774+2.02211769518192e-05i
-0.0105805078953888-2.66766195151228e-06i,0.0167168747640903+7.13847066963099e-06i,-0.0111415439965398+2.79334616487051e-06i,-0.0484509531307203-2.28530306869592e-05i,0.0270675897911872+5.36972393213747e-06i,0.0162327087490485-1.4149337495253e-05i,-0.0118245561124432+2.57767728345255e-05i
0.00225734797557039-8.70880197291046e-07i,-0.0488249421146188+1.68717213788814e-05i,0.0116352570400222+2.52179115781804e-06i,-0.00791458558392339-6.95578472503206e-06i,0.023606577662094-9.82319797122323e-06i,0.0381216661982155-2.1270105311046e-05i,0.0121951952810249+1.00821151772088e-05i
0.0394315755022436+1.17838086117885e-06i,0.021551023609778-2.59990286479429e-06i,0.0409622068701803-8.7610325839012e-06i,0.0430301714307747+9.21561062745871e-06i,0.024735758623982+1.59949436597145e-07i,0.00340663491956572+1.03593816407127e-05i,0.024314384547158-7.63175361169241e-06i
-0.0190010146316773-1.5976368372337e-07i,-0.11073493615405+1.16706012657753e-05i,-0.0372208958356463-9.31620148772033e-06i,-0.0295383769082282-1.27084860238493e-05i,0.0117318760605438+5.66739574801931e-07i,0.0451706511668946-1.57710962682088e-05i,0.00895737043076351+2.14861827393839e-05i
-0.0291547396763217+7.24625821127336e-07i,-0.0233739296211048-8.31875602439871e-06i,0.00570648621307929-1.19974631244642e-07i,-0.017800889695838+7.02742966978186e-06i,0.00978825554065637+8.22567915776148e-06i,-0.0068977299167646+1.16579087995996e-05i,-0.0328531331482216-4.3478064653394e-07i
0.0404350187229264+6.36694877154956e-07i,0.0511837027031802-1.4542819953399e-05i,0.0598397850894589+1.35428015728032e-05i,0.0385909676380077+1.24086124004185e-05i,-0.00368008045778247+6.2921124060851e-06i,0.0298720101745895+6.75211988484566e-06i,0.051284293567982-1.85979559770863e-05i
-0.00277176119316239+1.21271393388975e-06i,0.0090615262473527-1.45352670043262e-05i,0.00585404818027247-2.53627619057283e-06i,0.0106387914011619+8.34548687561453e-06i,0.00821983207806269+1.03523468789764e-05i,-0.0134874612003599+1.6509063589255e-05i,-0.00489942574708251-5.81120511316653e-06i
0.0133916280859957+1.19644505429799e-07i,0.0701323643700821-3.03208221109687e-07i,0.0166368003496394+3.10179274618146e-06i,0.00269212291342404+7.32839209748689e-06i,-0.0207065034891532-1.4515847403406e-06i,-0.0263166977887002+5.39493796550945e-06i,-0.015181400062589-1.40344621968204e-05i
-0.0132354310428552-2.3465455853202e-06i,-0.00321639899549531-4.91667659462173e-06i,-0.020868625746544+6.41712311482091e-06i,0.00864376367269746-2.57397580146596e-06i,-0.0146397555373879+4.96016979981068e-06i,0.00874488007531769+4.43716590880315e-06i,0.0226445726028961-2.88455182694895e-06i
0.00625722541011219-4.33645180339421e-06i,0.00125034235794457-4.45004238246492e-06i,-0.0193475074675523+6.82890184926677e-06i,-0.002666892156679-1.82370821718724e-05i,0.0237769013263807+1.78702364684014e-05i,0.0136327628643614-1.86936035267233e-06i,0.0465551469412665+1.38327338866551e-05i
-0.0278833407853074+2.06810780707967e-07i,-0.00833887531877732-1.45284558785836e-05i,-0.0245546282102338+5.89372458990002e-06i,0.0277392334020306+1.37878748711393e-05i,-0.017687665441519+5.42306762109071e-06i,-0.00869172386267857+1.72653654244101e-05i,0.00956633501570243-1.61544343520405e-05i
-0.0110219369970294+3.30031814501473e-07i,0.0906631251014573-1.88811857337373e-05i,-0.022325431581814-4.33499426916518e-06i,0.00223653470575265-3.8105300625985e-06i,-0.00616704293437978+1.37816308473019e-05i,-0.0380220521729514+1.85213922057636e-05i,-0.00806948766453447-4.48901651953122e-07i
-0.00446473376120267-1.11684877716829e-06i,0.018173144507777+4.05751152808377e-06i,0.0454140863502843-5.55458130915379e-06i,0.0117115931885812-1.35067394904522e-05i,0.0375191979963087+3.79615588533025e-06i,0.00548227059967004-2.80749646269086e-06i,0.0238084357880218+1.31857227880303e-05i
0.0243412379877094-3.4905344729946e-06i,0.0681276718720076+1.1714360661868e-05i,0.0587071645161807+1.38118636112996e-05i,0.0340308802674667-3.03500063651963e-06i,0.0322643936982414-3.63597895204901e-06i,-0.000166069822194491-9.57852396775262e-06i,0.0378172688238907-7.73999369955493e-06i
-0.0505724521291956+5.2544746164708e-06i,-0.0194791297160565-1.39346954908681e-05i,-0.0387462354877711-1.90884792842366e-06i,-0.0179316105565038+2.25752753109747e-05i,-0.0495411588750123-2.94027942466706e-06i,0.0175801646109563+2.8597778469295e-06i,-0.031960094839994-1.3390762043538e-05i
0.0091721852074491+3.31953133326007e-06i,-0.0119619002091425-2.03879252932253e-05i,-0.0173154054423949-3.46756835065379e-06i,-0.0197924361168188+1.54656950310171e-06i,-0.0146892883800301+9.78750586095753e-06i,-0.0487527649672687+1.57567291562205e-05i,-0.0321071390280609+3.72257317163901e-06i
0.00504978072042028+1.34817053662074e-06i,0.0148250529044662-5.43548711262961e-06i,0.0666514007709151+7.66432478568079e-06i,0.0246340941359636+1.43193939513427e-05i,0.0319258539640078-7.76851935693714e-07i,0.0263514368679235+3.12771887144265e-06i,0.0104661678939308-1.06108029924218e-05i
-0.00244896394377171+8.58611988588953e-08i,-0.074693748332041+7.86377920453185e-06i,-0.0272640073238182+1.78154769078226e-06i,-0.0231916364649857-6.22163051406681e-06i,0.0260557214928434-2.83960517768132e-06i,0.0264649661342577-1.60781107296078e-05i,-0.00304034089701944+1.40541984642207e-05i
0.0301481479134199-2.73928806156992e-06i,-0.0344856644488338+6.3609946353798e-06i,-0.00631511221286801+7.62304382378436e-06i,0.0312567140498237+1.41522409254004e-05i,-0.0268069519645773-3.77234218801215e-06i,0.00599897245264664+8.7843613031804e-06i,0.0249501877236055-2.16303167220787e-05i
