0.0209777117438362-8.15739474738385e-06i,0.0330667130843586+9.4276368189397e-06i,-0.047428822293602+1.11022011653035e-05i,-0.102465698454148-7.80326485415091e-05i,-0.0984403606487491+3.24180555202423e-05i,-0.0164506164764457-2.13469224255211e-05i,0.0715207835386818+1.85051838590067e-05i
-0.0173507449652819+7.98776322219097e-06i,0.0077054940048528+3.61411299308573e-06i,0.0931542627235203+4.14457605935012e-06i,0.0557464402940744+4.93856631356126e-05i,0.103432656647484-2.21602493435537e-05i,0.0574819369358011+1.60343194087746e-06i,-0.0370037516536376-3.8450110223806e-05i
0.0017815051878227-2.78626678941252e-06i,0.0459112414463295+9.83797385636591e-06i,-0.0321769417656997+1.01465725089817e-05i,-0.0199191628980583-2.2912599681025e-05i,-0.0136798086167982+8.97885642798209e-06i,0.00470512767689982-8.98259390313497e-06i,0.0282578174023821-1.37623355091213e-05i
-0.00749738175891198+9.81898049774212e-07i,0.107187697218942+5.3891652500475e-06i,0.044596751139843+1.53055514888323e-06i,0.0260760344209623+2.19237336322868e-05i,-0.0123617025181294-1.03010089981775e-05i,-0.0399569080633175+1.03291323565075e-05i,-0.035316410231501-2.74953619922671e-05i
-0.00436651335025414+2.82699635426315e-07i,-0.00156347307081383+4.03999784079306e-06i,-0.00581815161506365+4.6670284186454e-06i,-0.0328243720504348-1.72972916217284e-05i,0.00458231243343922+1.6907003360838e-06i,0.00724341304646524-1.04518492739528e-05i,-0.0034647569972018+7.57747988443204e-06i
-0.00870358860272462+4.1038781744389e-06i,-0.0128801462016007+4.32100505878044e-06i,-0.0152076269877983+3.44140131542399e-06i,0.0174047555501688+1.39337650508033e-05i,0.038052111930695-6.68379318224825e-06i,0.0448967261940075-1.09671569494997e-06i,0.00149713385436346-2.94162796005961e-05i
-0.00338197113273157-1.66525341834024e-06i,-0.0694820550026013+8.70185486603511e-06i,-0.00537461667715313+1.23961692588637e-05i,-0.0575950715194961-3.81447255200861e-05i,0.00521941542105218+9.72232851747372e-06i,0.0183654323233417-2.27652848426285e-05i,0.0242799954188344+1.64615216188242e-05i
-0.010098835083477+1.74717852754684e-06i,0.0529360996862275+2.05000382628844e-05i,0.0149037328381365+5.4242986526793e-06i,0.0166208102369639+3.55917473400473e-05i,-0.00333117538889955-1.5398427017886e-05i,-0.0142332850580459+2.12033339436788e-06i,-0.052273344932335-5.4272082294556e-05i
-0.00135284155904473+2.18384099441858e-06i,0.0258438270853376+6.00940944537692e-07i,-0.0260966479987808-3.00357558945998e-06i,-0.0121460343187998+7.03582043748574e-06i,0.0194002093016177-6.07706111124628e-06i,0.0647313123110663-3.81432130175724e-06i,-0.0108641482607339+4.4745621767274e-06i
-0.00240557836404349+3.31778705037313e-06i,0.0035836446408276-5.9351464016216e-06i,0.0750084178296768-2.05198561979334e-06i,-0.00385063684710181-6.16380304163651e-06i,0.0242428919096877-3.27254663024665e-06i,0.095139680090776-6.84197930329197e-06i,0.0410425230218368+2.15792781375648e-05i
-0.000180721738039369+1.0419028009018e-06i,-0.0526681835219412+1.3446623360631e-05i,0.114474091520721-8.73833172174863e-06i,-0.0729515566992474+2.92667139125787e-05i,-0.0492206435283933-7.70514585074399e-06i,-0.0900454586378296-6.54754410745708e-06i,-0.136371062866202-5.89239938599256e-06i
