-0.00178089514000682-1.0391891553222e-06i,0.086068391994055+8.05001786110681e-06i,0.0043164599877003+9.21201942955529e-06i,-0.0549176620942689-7.24847672145356e-05i,0.0363741555487476+2.58126886899366e-05i,-0.0413734787927663-1.66176453048386e-05i,0.0320261829626862+4.35541159328855e-05i
0.0325259178578904-3.19657793311175e-06i,-0.0284088714569636-3.99765467850897e-06i,-0.0165198694540362+8.68325259236267e-06i,0.0119003255410473+6.3586455375193e-07i,-0.0693333355400008+7.4308298915601e-06i,0.00359017237024952+7.51066968700607e-06i,0.0440518009461057-2.28586400487726e-05i
-0.0172671595113124-4.85712338514174e-07i,0.027271591524729-3.05119306916397e-06i,-0.0371694089084195+5.10990416942707e-06i,0.0387883727760801+1.77066186578704e-05i,0.0552060413232736-1.06365477437496e-05i,0.0352025879882168+3.0170802554417e-06i,-0.00197629276857708-1.27340936160072e-05i
-0.0466492504302473-9.92964010531048e-07i,0.000520516076468862-1.23682611767789e-06i,0.0205233518585616-1.12761396477248e-06i,0.0241525108109609+5.28328356265114e-05i,0.00273826910134598-2.11553419487696e-05i,0.0661429741031471+4.85895832905986e-06i,-0.035256062079946-3.44183744682317e-05i
-0.0259691927483992+2.77658727405063e-07i,0.00183091267395357+2.22977036778289e-06i,-0.0533770912330245-1.18696360685093e-06i,-0.0609106141297246-7.72375193455036e-05i,-0.0328730986125226+3.45476967774063e-05i,0.0210909412513916-1.530004769681e-05i,0.0893363897810935+5.66680124666968e-05i
0.0272090766464571+7.99692208991111e-07i,0.0181853318145651-1.48067972376609e-06i,0.0597435860195549-6.03367633179126e-06i,0.0364387377096857+4.49242217069772e-05i,-0.0651379297520358-1.45060928824149e-05i,0.0187588124249213+1.31285261386857e-05i,-0.0138172404490114-3.39551893225101e-05i
-0.0526904297840566-2.39407789186435e-07i,-0.0555712695627298-7.01513578441997e-06i,-0.065524142562239+4.05776661222497e-07i,0.0488132355291767+7.15145743685531e-05i,0.0372657712223217-3.07395283056626e-05i,0.0777824280423235+9.03336793456911e-06i,-0.0483187475210904-4.2718113424748e-05i
0.0595413742947912-2.24081670581637e-06i,-0.0501670634282656+3.71157020950694e-06i,-0.0363017392971497+7.4408428602171e-06i,-0.0317619170291901-3.66296363703153e-05i,-0.00432378845210927+1.77535050659242e-05i,-0.0718887924036791-3.91516858583524e-06i,0.0164312656490702+8.68516934594005e-06i
0.00587073298631359+2.46914804974353e-07i,-0.0481247856509165-6.76702820446449e-06i,0.00607087984647748-2.60015962069875e-06i,0.0304571963887736+3.57228160515259e-05i,-0.00358136074648622-1.3072784645911e-05i,0.00954660537788622+8.92088039609546e-06i,-0.0182423340840637-2.16413848476123e-05i
-0.0391928187869797+1.32812788845372e-06i,-0.0697475710492562-4.26831108089716e-06i,0.0103440813907012-4.47586919002149e-06i,0.0212364653969813+3.30828993063685e-05i,0.0689808328043616-2.07936414255861e-05i,0.068808644795337-2.62706362603734e-06i,-0.0266851846953335+1.50805089324244e-06i
-0.0181369957600662+1.74724793642225e-06i,0.0149003010259484+2.3305629024329e-06i,0.00193489659033595-4.10416989528733e-06i,-0.0203194884677874-4.78939506524293e-06i,0.0367908191140563-3.86590932386418e-06i,-0.0022028085593456-5.88207968907278e-06i,-0.0310959986826082+1.74500848351904e-05i
0.0372820942363423+2.19408956096494e-06i,0.0323892182188627-6.36453470167865e-06i,0.0194926641195695-2.89456665737951e-06i,0.0327983486293419+1.62718767417474e-06i,0.0534299214186816-1.49916031999768e-06i,-0.00194222005955548+2.01066071907575e-06i,0.00426444081029518+9.52787642011856e-06i
0.09200190982771-1.33633311771793e-06i,0.0234507992492849-2.56760962096682e-06i,0.00646874053495944+6.55187003214377e-06i,0.0278551440891966+6.46578749459664e-06i,0.00186681755139563+7.63587305861117e-07i,-0.0771513661660401+9.72077760426315e-06i,-0.0147406528207351-2.21728707008427e-05i
-0.0129815489210364+7.07195729616764e-07i,0.0257214869476343+4.99626512610576e-06i,0.00974098293535398-1.85381815539092e-06i,0.0173596161696436-3.41797676323323e-05i,0.0688662877571508+1.24676998089046e-05i,-0.0237100031277133-5.97495824373746e-06i,0.0411389896533267+2.47776421691271e-05i
-0.00668760238109964-1.855569472413e-06i,-0.00537188291313547+1.08484583017528e-05i,0.0523107094027428+6.9998971970051e-07i,-0.0619511020222771-3.27008322508519e-05i,-0.00384319145029915+1.31473226517526e-05i,-0.0513275634320045-1.19651812392726e-05i,-0.0149759554111035+1.71643453324377e-05i
-0.0178675379329382-4.43017903322857e-07i,0.00601020588045038+3.11190902031411e-06i,-0.0376122835973051+3.88108798335437e-06i,-0.0390202001712286-2.71527643989827e-05i,-0.014879802031842+1.12841007463317e-05i,-0.0172121694176637-6.4881732724144e-06i,0.00564617786522308+1.40795499631892e-05i
0.0194197160412564-3.26012879968805e-06i,-0.0464715337317253+1.69225218634338e-06i,0.0469627956803755+1.10904986002785e-05i,0.0366434084628222+7.54279379543759e-06i,0.0642835054812625-1.5213020791541e-06i,-0.0268334396486669+1.11858385218771e-06i,0.0116946683677398-2.3497484032966e-05i
