-0.000863644636674336-1.69356525104764e-06i,0.0245773054309057-8.22686443061213e-06i,-0.0522548958067136-2.89552591416715e-06i,0.00971105948493272+3.1076557165444e-05i,-0.0209494294319185-8.29719220122841e-06i,-0.0563603055361573+1.72838987296137e-05i,-0.0511551301821007-1.88324635589208e-05i
-0.000657121090047808+1.31163696050564e-06i,0.0232013303692063+1.36766937125845e-05i,-0.0552964487563445+9.46769008856858e-06i,-0.0316388822981846-4.73133637398235e-05i,-0.0882125320003294+1.51603268748371e-05i,-0.0042688581822056-1.51444546582454e-05i,0.0561456631044866-5.86101091353601e-06i
0.00203145740492836+6.60550504661654e-06i,0.00990195088322391+6.86816242201161e-06i,0.0761994165051351-3.10541636371756e-06i,-0.016245424069036-4.87865187993078e-07i,0.131375011896383-1.45963599942834e-05i,0.0364599934100577-1.46638113810355e-05i,-0.0437598713505586+2.13353540803209e-05i
-0.000147098910545864+2.05495114455412e-06i,0.0316265743875569+1.24798455511577e-05i,-0.0374816178505181+1.01424313619322e-05i,-0.00833789556186308-1.78665402846396e-05i,-0.0210069134274898-1.0923647650485e-06i,0.0220528535001965-1.12102798166339e-05i,0.0229875243494458-1.2145664304853e-05i
0.00154009151698872-6.2730327386797e-08i,0.048969530995915+2.57886727318015e-06i,0.0334980804303685+1.05007135576719e-06i,0.0132985026321884+9.76157967285869e-06i,0.00800555764162452-4.51250614352369e-06i,-0.0169372693674943+2.67151644501262e-06i,-0.0168363693751451-8.8648748162619e-06i
-0.0081579638210861+3.15308363694831e-06i,-0.00528570998696835+4.76262308776101e-06i,0.0143830197006518+7.83951450035593e-08i,-0.0377768357200084-2.17379755792122e-05i,0.0338117190421984+4.8622313553164e-09i,-0.0107273704664006-1.33860989519249e-05i,-0.0159793354425834+1.70726537160469e-05i
-0.00071605822993185+5.02271713884027e-06i,-0.0100357539385743+7.55519163434221e-06i,-0.00617676814633303+3.81036237054515e-06i,0.0219799729598317+3.27378748147391e-05i,0.00758623649813886-1.80627512579484e-05i,0.0516818924934231+2.79313615115592e-07i,-0.030704268165217-3.21560646049082e-05i
-0.0108301411756433+4.15632117491309e-06i,-0.0479435936712756+1.24623096836006e-05i,0.0213860004504806+4.77819171737044e-06i,-0.0743673282256867-5.41364728294661e-05i,0.0266249990103588+5.61341091004178e-06i,-0.00174793790162718-2.82234068307425e-05i,0.00826507755170799+3.39184716614135e-05i
0.00153005106244758+2.51730509817461e-06i,-0.00195755323064094+1.90190542140257e-05i,0.0297048009732652+8.08681166293731e-06i,0.0174062136718302+4.23106495471576e-05i,-0.0334686186023437-2.11797477836632e-05i,0.021638969174151-1.90256556155624e-06i,-0.0434751274422442-4.84644369981654e-05i
0.00619749641338348+1.66586424028101e-07i,0.0197032854491237+5.73022177155948e-07i,-0.0468106596746566+1.87085902062888e-06i,0.00406287433851124+3.5637872667825e-05i,-0.0180651830549608-1.00771637277715e-05i,0.0852961480185238+1.62220245991333e-06i,-0.0214339735242164-2.20356046125466e-05i
0.00286527694905142+2.36107780803015e-06i,-0.00174600408658891-3.12997810336103e-06i,0.0587451137300693-8.94147636285995e-06i,-0.0234118860876579+1.16558251067949e-06i,0.0252736894011224+1.56361940770464e-06i,0.108457466788222-9.08549844231461e-06i,0.00402814917998208+2.31672909577268e-05i
-0.00318248876311705+8.21127275239504e-07i,-0.0568173575493017+9.84221722037506e-06i,0.131736819039571-8.20281220931273e-06i,-0.080493770064891-1.89805007425284e-05i,-0.00223399358880935-1.93544843531422e-06i,-0.134777867769814-9.43295333025819e-06i,-0.0846375033334926+2.78157152477528e-05i
-0.00345695995701461+1.06290022308298e-06i,-0.0604163132911154+1.0021149293448e-05i,0.0650356560033139+7.03723723915354e-06i,0.0374247402761788+5.21443040369789e-06i,-0.0660436565585103+1.36503191496618e-06i,-0.0114291291613512+1.23355707981302e-06i,0.0379397646570515-3.17519263978864e-05i
0.00920388721509637+2.29556474424565e-06i,0.0211991408945822+5.68544565467831e-06i,0.00214062655250265+4.48950142234698e-07i,-0.0513297229288435-3.50400125589024e-05i,0.00116836587839362+9.18418397593468e-06i,0.0546214126338573-1.85680335127746e-05i,0.0189448626889724+2.49683999099907e-05i
0.00203178460914282-1.26472013612251e-06i,-0.0214308744411477-5.57466713241137e-06i,0.0540511336656589-7.64299448704502e-06i,-0.00741600791506304+5.61292043819051e-06i,-0.0663112597143999+5.69772599946816e-06i,-0.0188084964585904+7.55465687203005e-06i,-0.00283187403472389-5.07675739961008e-07i
-0.0113554357514994+2.38644009254753e-06i,0.0153105864129714-6.09949647001014e-06i,-0.0986451688323361+6.51294133866881e-06i,-0.00544113053741857-8.63727326223314e-05i,0.135449758868141+2.08548332224095e-05i,-0.00925299210141879-1.88771711508783e-05i,0.0899059285221061+5.82938582199407e-05i
-0.00893261517649443+2.89193841136287e-07i,0.0176219885659754+1.09983111582534e-05i,-0.0157805072886906+9.21922042771366e-06i,0.0101533700149642+8.18338162539632e-06i,-0.0707264168309095+1.33912216590168e-06i,0.103171663573687-9.23787359425608e-06i,0.0448314949364284-2.94837614359701e-05i
