0.0122300024236249-1.24049028841816e-06i,-0.0141727538962086+3.93276796115219e-06i,-0.0369677948753323+1.31491772227565e-06i,0.0123609800158184-2.19735051950669e-05i,-0.024458564658238+3.18623804865383e-06i,-0.0201992739665159-3.38267270065185e-06i,0.0334774770079189-1.95488921129921e-06i
-0.00485471676919337-3.06144376093753e-07i,0.0344126524911912-1.07180433256464e-05i,0.0100359942079211+1.58634079605584e-05i,0.00548384545162313+1.46893568661328e-05i,0.0299048830876208+1.75615622168462e-06i,0.0193604076915314+1.95091909301918e-06i,0.00348020733521786-1.70378120181649e-05i
-0.00259857060191892-8.2179642786061e-07i,-0.0311691878587173-2.87261481824064e-06i,0.0252432918616985-4.71173908675911e-06i,0.00366079808269164+1.73488871408298e-08i,0.00221305245546026+7.52278097405832e-06i,0.00570754128978957-3.59203110523367e-06i,0.00512767186439844+4.08735693464615e-06i
0.00729969192145631-1.00928277508247e-06i,-0.00459574270282158-3.86884096860209e-06i,0.0052986700575671-9.0738661895659e-06i,-0.00365835611211883-8.44187860433039e-06i,-0.00350506665053349+4.58355127641823e-06i,-0.0218238898559621+2.68856336809663e-07i,-0.00599269727225836+1.00917281751303e-05i
0.00762843517360855+4.63311002528688e-07i,0.0100046246982607+4.48322842585151e-06i,0.00593602858963926+2.4938710617034e-06i,-0.0180193834507003-3.16411855859151e-05i,0.0158630430652566+6.70796442721736e-06i,-0.0229308666546837-1.22846794298309e-05i,0.023355875384833+1.15133739500885e-05i
-0.0122352667647897-2.37021605172829e-06i,-0.0394451324752347+2.90608857061326e-05i,0.0340541403606801-7.80038327314169e-07i,-0.0192068010856313-1.73055801501461e-05i,0.0116523161465425-1.04006540444114e-05i,0.0686828257584865-2.35565169035128e-05i,0.00459544277849109+1.00672084908218e-05i
-0.00129925604993986-2.44011571799785e-06i,0.0165192241870226-1.0042100412134e-05i,0.029316887422135-4.5310523041101e-06i,-0.0163980865467296-2.10803763107351e-05i,0.0301191851251361+7.38130723781737e-06i,0.00189357465030191-6.30421199565423e-06i,0.00846724906066514+1.57482272572424e-05i
-0.00901290728116876-2.5900607460338e-06i,-0.00464036425421525+4.95469499559292e-06i,-0.0353455337162339-1.65890865078654e-05i,-0.00942180675733112-9.52872910116919e-06i,0.0111121237202747-2.61410767353793e-06i,0.0212938614332364-4.31876195188413e-06i,-0.0172050717632253+1.70394720130847e-05i
0.0092387006458539+2.49533271914014e-07i,-0.0141595060903516-1.09927580735535e-06i,-0.0158094000741262+8.40786650373564e-07i,-0.0481677912298853-4.4854105584589e-05i,-0.0359611787296196+1.25470033277005e-05i,-0.0399913713668065-1.1203466776252e-05i,0.00369529326757404+2.60804708300672e-05i
0.00316458470557227+1.27638740356365e-06i,0.011852907570294+2.01611467058123e-06i,0.0260024683658388-7.30117366722174e-06i,-0.0315551026931994-3.36292382153612e-05i,0.0117981146621025+1.15854694241459e-05i,-0.035209326801391-1.06779552693397e-05i,-0.00221075601706329+2.85793084696239e-05i
0.0141144352842595+7.15943431765758e-07i,0.0510876638853095-1.51738383893482e-05i,-0.0308103495606919+9.12625287336948e-07i,0.0265284961131177+1.82952556159426e-05i,-0.0427572071840175+8.61374577280978e-06i,-0.0144536510166803+1.47423619448901e-05i,0.0141738637089978-1.87447909420849e-05i
-0.00781268607333184+1.47740354429907e-06i,-0.0190652072599248-4.59657769553304e-06i,-0.00117094703487017-2.92691435871134e-06i,-0.021133333319478-1.03059066689916e-05i,0.042865719802799+8.47216692180624e-06i,0.00457768970906033-6.75288248398764e-06i,-0.00348754684290861+2.10943741268907e-05i
0.0101423471008442+8.28276180534506e-07i,-0.0508128100476445-4.23519640418141e-06i,-0.0266970289922547+1.54140979810818e-06i,-0.0192358892146754+2.56377056664152e-06i,-0.0260147213639393+1.08685114882345e-06i,-0.0312886513609037+9.50764759198513e-07i,-0.0280062243603993+1.15635054099878e-08i
-0.0102434428374494+1.14912291707771e-07i,0.0346938520118547-2.62637440121431e-06i,-0.0389616722045681+3.65024811296304e-06i,-0.00458682625694168-1.99731202704515e-05i,0.0521452239707905+2.2719501769086e-06i,0.0100201151115885-3.05701385877134e-06i,0.0176999176191699+1.3127351747086e-05i
0.0078266873243888-2.44744657208199e-06i,0.00273346599113066+6.80503771609345e-06i,-0.0479123388173085-7.69044036305388e-06i,-0.0106448171907984-3.6481135956977e-05i,-0.00846010520317777+2.64149773474244e-06i,-0.00820606321836135-9.83472728190181e-06i,0.0283057266618623+1.50682411380822e-05i
-0.009006881879051+3.94569374780646e-07i,-0.000469247832435431+1.38750545513241e-05i,-0.0128019385099407+3.56600042598681e-06i,-0.0656986064849527-2.98726403687262e-05i,0.00146520890825291-6.42867601653795e-06i,0.0113629417267434-1.38687858448219e-05i,-0.042490691833184+3.2820591119046e-05i
-0.00308579627800104+5.25697948619398e-07i,0.0293244196762603+7.9257915178443e-06i,0.0294994279124408-6.97647607527288e-07i,-0.0488792508125791-4.01509136855344e-05i,0.0281323094157618+2.04038200938124e-06i,-0.00125114818022247-1.41521803618373e-05i,-0.00357690431068064+3.40584645982105e-05i
-0.00202860208197768-1.54919226140541e-07i,-0.0338754470628522+2.24670390943642e-05i,0.0147683564850193+5.17778558417257e-06i,-0.00277948852535228-1.59329806529879e-05i,0.0015152850692602-8.78445669383443e-06i,0.0119856387294421-1.35688342218852e-05i,0.011262366477156+7.5205684624861e-07i
0.0151855140339927+2.29951134603362e-06i,-0.0112524821691538-8.30065290919384e-06i,-0.00952771803410246-3.242571289556e-06i,0.0296620849878131+2.94187527215125e-05i,-0.0144529655279788-3.76217360865479e-06i,-0.0813949933839207+1.97066003888141e-05i,-0.0196363034801043-2.13108285311145e-05i
-0.0120981898871679-1.5432550907056e-06i,-0.043105187292283+1.17478993504996e-05i,0.0373329826296709-1.20998502953472e-05i,-0.0267749125030839-4.21958825795887e-05i,0.0352248846922418+1.65578865138907e-05i,0.0572778428953658-2.50894347183135e-05i,0.041549961752003+3.81056550752632e-05i
-0.0131749900482234+2.60793302600917e-06i,0.00297550189199999-1.84145604776696e-05i,0.0422500510267643+1.79361490395416e-06i,-0.0137278605780721+3.3095656193188e-05i,0.0361944184110037+5.46998131900951e-06i,0.0128760962065839+9.86112583335965e-06i,-0.0257186510109259-2.03504141583357e-06i
0.0269377718414424-7.61566807755796e-08i,-0.013259950829476-1.23819188769485e-05i,-0.00238194974702586+1.00392010205058e-05i,0.0328189184691847+5.59390412077047e-06i,-0.060620043440846+8.82024928902615e-06i,-0.0596147337499534+7.27382308119241e-06i,0.0355644551767367-3.1187362973654e-05i
0.000591858077279127+7.45071692790912e-07i,-0.00259929359965654-2.08873613197513e-05i,0.0181877161600337-1.19447864325976e-06i,0.0111548200566968+2.73120251601247e-05i,0.0153522944697586+8.48521299448021e-06i,-0.0233156794146319+1.18432807269779e-05i,-0.0178431163257437-8.63091595869798e-06i
0.00444634439089946+4.29957605302029e-07i,0.0235652229437834-6.53856614637943e-07i,-0.0195064456350645+2.05649684287529e-06i,-0.00682634744375259+9.76343075947085e-06i,-0.0294654136691792-3.25918320336835e-06i,-0.0127780101644974+3.06874231427122e-06i,-0.0236346857860729-1.06948608791278e-05i
7.53510923717707e-05+6.74066531538363e-08i,0.0143442829813878-5.0686827084145e-06i,-0.00870628173128262+6.86754903849527e-06i,0.0140391576730089-5.92958037243534e-06i,-0.0137555001610874+7.28539317577895e-06i,0.0105494894470843+2.64380438868779e-06i,0.0407371987379056-4.73782282675052e-06i
0.00941306343700484+9.34509567486848e-07i,0.00702228139858873-9.82270164508191e-06i,-0.00922501792671705+1.76895227411104e-06i,-0.000482102702680549-2.98649853236745e-05i,0.00635550819644213+1.6568414543299e-05i,-0.0334887436105476-1.71529407705298e-06i,0.044301354352976+1.46338652488848e-05i
-0.000712183738748032-1.176631733918e-06i,0.0170041503918879-2.16805648917765e-05i,-0.0144227956999449+5.4393731472785e-06i,0.0493010458608583+2.26062180858178e-05i,0.0137942562056335+6.11515027487357e-06i,0.012383383061583+1.64948774819533e-05i,0.0370954987520074-1.87692074349856e-05i
0.00100156469109842-5.16363458668403e-07i,0.0578366703535029-2.32376785408083e-05i,-0.0481114591665744-2.33726613355551e-06i,0.0072138495799145-3.37037288881947e-06i,0.0155484012867028+9.30826471856566e-06i,-0.0287448378078567+1.19232269797212e-05i,0.00188163353739474+4.70163548422775e-06i
0.00913056925293619+8.46647675967833e-07i,0.00962027029950806-1.11326987231364e-06i,0.04206550131072-1.03386166023481e-06i,0.0171503494921782-1.00711013928814e-05i,0.0067907966847808+8.91192956897819e-07i,-0.0652446019992005+5.03719775869304e-06i,0.00664078313552026+1.64197068150783e-06i
0.0178981639292124+1.65829873212364e-06i,0.0102634880302732+1.01554211031936e-05i,-0.0109578767789419+1.79558536482655e-05i,0.0414450423825713+1.55931838168985e-05i,-0.0384176704039122-1.99255864602746e-05i,-0.0904577252319453+1.37339559903471e-05i,-0.00376491488487863-4.24192714452951e-05i
-0.0176637001393609-2.66621942295746e-06i,0.0203371127277713-1.00655621489078e-05i,-0.0313302302608275-5.59951262307311e-06i,0.00874083809879429+2.08676663599785e-06i,0.0201396658328533+1.05093657507078e-05i,0.102563182711097-5.05801879614045e-06i,0.045720956517699+3.09867843129884e-06i
-0.0113359877278818+1.03600053757961e-06i,0.00116399674537578-1.84808323046466e-05i,-0.0477516931901484-4.42464412787957e-06i,-0.0398595817972432+2.18348032967299e-06i,0.0260592123353441+2.43638925333363e-06i,0.01772585733563+5.61995271916998e-06i,-0.0307534148802777+2.33407393181435e-05i
0.0103647673539487+2.22489953418904e-06i,-0.0192106154762481-7.52864569515371e-06i,0.047240170001098+1.06080934185398e-05i,0.0310513980830712+3.30641027118201e-05i,-0.00342552183560111-4.3328316924198e-06i,-0.051075193181403+1.21419527128826e-05i,-0.00525777943631629-3.08454983931138e-05i
-0.0118404709559518+7.17240441440445e-08i,-0.0388286989595721+8.85291678770362e-06i,-0.0186129630768042+7.10079053769906e-07i,-0.0156860398573253-1.00990812452042e-05i,0.0394134706852541-2.62430020885374e-06i,0.0304810280949955-9.21714145537153e-06i,0.00502050294591187+1.15848379198815e-05i
0.0143387850015079+5.87679146194457e-07i,-0.00695540395280426+2.61341276027741e-06i,0.025519041442571+4.04460293722251e-06i,0.017598017083528+2.82911888775043e-05i,-0.0564624769031408-1.49402737725484e-06i,0.00345398448434085+6.61344569186959e-06i,-0.00276335955816269-2.66097382748296e-05i
