0.00229297974629536+3.71368959066795e-07i,-0.0141093555205187+3.02462935062266e-06i,-0.0195111292132909+1.62205822367333e-06i,-0.0461534557884626-3.41617012549686e-05i,0.0407183677044452+5.12055671478588e-06i,-0.0276129719443422-1.16517221841731e-05i,-0.0129290608602636+3.07394620243404e-05i
-0.0241976506572837+1.35691594215096e-06i,0.00614303122891224+6.90642889875363e-07i,0.0634904251585663-3.27785719880478e-06i,-0.017152693206354-4.18950527556325e-05i,0.0231528808274995+1.72347919043862e-05i,-0.0213545654826766-1.04699029731686e-05i,0.0369794555634137+2.81692985332665e-05i
0.0412189194081742-1.88189634346547e-06i,0.0100972723080437-1.18338605798738e-05i,0.00604328041990344-6.12902019818253e-06i,0.0197697869335808+3.95618591967938e-05i,0.00385507878415632-3.20865721425825e-07i,0.063879464052618+9.38370337781246e-06i,-0.0212127248787621-1.26410816364186e-05i
0.00304418723169417+9.46794114213042e-07i,0.0447512702421321+3.39557298294436e-06i,-0.0356528107594407+2.85222493705317e-06i,-0.0178335075408417-2.73642088513193e-05i,0.0204353197957111+6.19205832289637e-06i,-0.0113107836435889-6.2483592416334e-06i,0.0137910833805187+1.53170608718368e-05i
-0.0220574064921809+2.03804322531708e-06i,0.0506122390093093+4.71580501086608e-06i,-0.0206202086626084+3.76108957253638e-06i,0.0132848116122943-3.0636528411298e-05i,-0.0287359975621371+6.47212197469108e-06i,-0.0452163189867994-5.21249712096633e-07i,0.0464392218717686+5.36576061724823e-07i
-0.00420832622822598+1.0323293778883e-06i,0.0539787875137053-5.29859348392452e-07i,-0.0232362449003576+6.42692687765773e-07i,0.0284143554704385+4.75428822749662e-06i,-0.0351025441697467-1.28756457921476e-06i,-0.0101162701577615+6.93185765748504e-06i,0.0200459414814734-1.63645802603625e-05i
-0.000360174895876035+9.53091742060906e-07i,-0.0423328648420263+1.3164306123568e-05i,0.0179425606709811+9.75745445621465e-07i,-0.00775680220748183-2.68277418108115e-06i,-0.0766197350595749-4.11731552985414e-06i,-0.0273877528742531-1.69192805706387e-06i,-0.00274112689002675-1.13692703414221e-05i
0.0359199874797722-5.15209581805563e-07i,-0.0389133313249062-3.86090414125209e-06i,-0.0143080521055615-2.27467444189387e-06i,-0.0255309757855692-1.90151473614935e-06i,-0.0259055966353445+7.75591096059361e-06i,0.0397880569892829-2.35661963049026e-06i,-0.00918788528207027+1.08698800341561e-05i
-0.0232982936515768+2.29450528541132e-07i,-0.0322595849481431+1.09647356896991e-06i,-0.00811043369105563-3.18178549077008e-06i,0.00136860904019188+3.33319142264263e-05i,-0.0569808559011206-9.16901674632903e-06i,0.00799887880455692+4.4555147309274e-06i,-0.0274051112480434-2.76297639728385e-05i
0.00446555851916747-1.12008764458433e-06i,0.00126721708927015-1.83859726561366e-05i,-0.045290813610284-5.35953633629118e-06i,0.0315733358953506+2.30068828441295e-05i,0.0107150842751743+4.62966655880549e-06i,0.0554630115489992+9.82538816837589e-06i,0.0234127879677886-7.15857311501372e-06i
0.00209420297586843-1.59681683894268e-07i,0.00596943405197338-2.75845322006373e-06i,0.0228645055432951+1.50038506537299e-06i,0.0208175196437378+1.96271381961214e-05i,0.0213500887434886-4.65906238322072e-06i,0.0331394037688857+1.68954645875398e-06i,-0.000375629039990287-1.06849688807901e-05i
-0.0068805759081567-3.60885923408875e-06i,-0.000373147016326299-2.49907212771704e-05i,-0.0400630093925977-1.86043560899668e-06i,-0.0208879217930915+1.16188213184449e-05i,-0.0435068834477808+1.39758590141552e-05i,0.0138576775904173+9.63112871004448e-06i,-0.00561769926454854+5.53800933074484e-07i
-0.00479537724676179+1.5672121880331e-06i,-0.00982909822309222+1.50678298528214e-05i,0.0103152923390158+1.86690616678176e-06i,0.00338281597610352+7.13439952886946e-07i,-0.00291768221711898-8.71059474673778e-06i,-0.00523164428127724-5.29701687254139e-06i,-0.00228659354028215-7.9801352105718e-06i
0.018561743684632-2.09703644200027e-06i,0.00948494767960517-3.10915056107666e-06i,0.0420657117537079-3.65059013120933e-06i,-0.00410189156159363+2.02305843281808e-05i,0.0307154569495139-7.16561051071061e-06i,0.0119312356348922+4.05202793009637e-06i,-0.0433036391476198+2.47875368393205e-06i
-0.000434448631324419+1.52953637928474e-06i,-0.0311716474390604+1.08087568391451e-05i,-0.0321218256512498-6.33559029775115e-06i,0.00206847366016213-1.29735116697164e-05i,-0.0266444293906009-2.97285506397277e-06i,-0.0276071672911409-4.91455127240506e-07i,0.00905666835444554+2.80824343244672e-06i
-0.00638165549577515+2.12965975399818e-07i,0.0362933669597449+1.59407225599411e-07i,-0.0112319842164438+3.14307213002269e-06i,-0.00863820750290509+4.32391695810971e-07i,-0.000973208228281005-4.95527624844298e-06i,-0.00193824427493412+3.31183620547918e-07i,-0.00742189962927836-2.0333173467955e-06i
0.0109238969978573-1.77224574288397e-07i,0.00416684974190978+2.41162797218584e-06i,-0.0147556631806653+7.40494738150581e-06i,0.0141959081001559+1.3842402317133e-05i,0.00744033307022793-6.61820331528211e-06i,0.017992991108745-4.10556346474846e-07i,-0.000549975229278918-1.42392543048788e-05i
0.0391489725722618-2.46335881417263e-06i,0.0011656038570181-1.62825470633144e-06i,-0.0188935512651136-1.17786242439737e-06i,0.0284640536216893+3.61147039105584e-05i,-0.0288861937763388-1.00831373179417e-05i,-0.0179353981122718+1.52045481543382e-05i,-0.0408716585679948-2.41369213796899e-05i
-0.0125550090625217-6.31462970452563e-06i,0.0192047929505293-2.65797588647731e-05i,-0.0184828179907665-6.30787748136568e-06i,0.0106350878932582+5.75452087694581e-06i,-0.0148133092534905+1.37677554616173e-05i,-0.0642096326864309+2.17691471360128e-05i,0.00217914336267818+4.51935892424358e-06i
0.0137788056876001-1.67392273081669e-06i,-0.0247625066561156+8.26935115221349e-06i,-0.0296287099348043+4.95787865273013e-06i,0.0285746893172205+3.03683801789845e-05i,-0.031535442692085-1.58394890975363e-05i,-0.0181847000068714+9.02005046126456e-06i,-0.0227056053649479-2.95353166593993e-05i
-0.0109201477175476-4.01137481147415e-06i,0.00717667939021911-5.47047906455365e-06i,0.0351310538409816+8.48326102303267e-06i,0.0122526101567779+1.57155432656403e-05i,-0.0106960225034226-3.27407492331854e-06i,-0.0184654687714756+8.47144284055871e-06i,0.00032654497302754-1.41013173403801e-05i
0.0122511680178968+1.93256376311739e-06i,0.0197459506113801+5.82611651098999e-07i,0.00447163606471367-1.18104697179381e-06i,0.0583055790057424+4.97906375085217e-05i,0.0262262918885625-2.08948447711291e-05i,0.0405559693045962+8.28922612597121e-06i,-0.0238886615359574-3.37911502088409e-05i
0.0144639572654893-3.34586737004058e-07i,0.0145881081441203-3.03386927923608e-06i,-0.0318776920356474+5.0440788710137e-06i,0.0398622606729336+4.45059411167581e-05i,-0.0284242590171869-1.42660044517541e-05i,0.0206091579561948+1.18915457510855e-05i,-0.0210038015790968-3.7702282186224e-05i
0.00818537837456313+3.84240848510277e-06i,-0.0270423801162303+1.40829931996553e-05i,0.00917432533457898+3.85786263204441e-06i,-0.0223408266720198-2.6078729122749e-05i,0.0651859693988323-4.01901262348392e-06i,0.0104654484610391-1.86731221913133e-05i,-0.0023946983020663+2.06632972816422e-05i
-0.00578137103482507+1.33368299214819e-06i,0.0224708674972021+2.88666690668758e-06i,0.00668973414081576+8.48917833660063e-07i,0.0195212510002683+1.63246737565793e-05i,-0.0514357586874813-7.53865297151666e-06i,-0.00728684786752277+7.29575058334686e-06i,-0.00383303063218831-2.36154655794074e-05i
0.0137081569859312+2.54987063133259e-06i,0.0310773083658923+5.52414027037442e-06i,0.029973373170187-2.39516818069054e-06i,0.0208002250069889+5.39605086459528e-06i,0.0216379936235477-4.85211152796858e-06i,0.0356745322795481-2.57107239531882e-06i,0.0127381911964911-4.18260175798017e-06i
-0.00715641321193991-5.33261567676323e-07i,-0.0401312739780056+3.66311836916327e-06i,0.0458021703757635-3.98624211097886e-06i,0.00714747042624111+2.36374011935898e-05i,-0.0597054265734306-9.26395663764117e-06i,-0.00823883840764592+7.50402379962871e-06i,-0.0220183338499004-1.8671711514576e-05i
0.0224035138529082-4.32091840563118e-06i,-0.0329918078222097-4.35754911113778e-06i,0.0508276151014954+9.20655944946706e-07i,0.021605701230216+3.47563719676949e-05i,0.016065435970127-9.15201554835869e-06i,-0.00388469002511413+1.09951599111255e-05i,-0.0381238565000682-1.34935437389873e-05i
-0.0238604535953395+1.76134045629415e-06i,-0.00738873411865297-1.21120610058544e-05i,-0.0273351266548265-1.10661094880276e-06i,0.0732076979782801+2.78207374548918e-05i,-0.0176902386785037+3.60594258618474e-07i,0.0240056777434657+1.0978649746055e-05i,0.0482976678430733-3.38257791094551e-05i
0.0053010254626005-5.78166867658981e-07i,-0.0285800087999817-8.89774656288064e-06i,-0.0643204640109114+1.40254683296919e-06i,0.061285358793464+3.81689385887233e-05i,-0.037252438884165-5.77299591129833e-06i,-0.000853700859342128+1.58109872719232e-05i,0.00509301773510703-3.73400046071495e-05i
0.00677059098403208-3.83701304044395e-06i,0.0305084278412232-1.86598758126274e-05i,-0.00351835555397711-7.69201623391135e-06i,0.000558177062740341+1.38813488214916e-05i,-0.0135409014606225+8.08832446170245e-06i,-0.0190799232943712+1.49476592880006e-05i,-0.0179013586237679+2.50285553265326e-06i
0.024950490245381+2.61529014481496e-06i,0.00478439133805304+7.2012217979864e-06i,0.00244331783064141+5.93112609332714e-06i,-0.0262634274050479-2.06967465207151e-05i,0.0181464631667974+4.94156585423669e-06i,0.0657986416796025-1.55652068065023e-05i,0.0167997482608828+1.58833765960876e-05i
-0.0108515000145141-3.64142523913731e-06i,0.0489553258081985-1.28716854288691e-05i,-0.0277993489206365+5.48421089081358e-06i,0.0194619337033537+2.71227727965693e-05i,-0.0272071066435085-7.87770857995287e-06i,-0.0680120418822876+1.91167048050374e-05i,-0.0349628626870518-2.42290767606247e-05i
-0.0202402004725835+5.40914269754758e-06i,0.0145018078902175+1.53694403382792e-05i,-0.0400124046710297+4.81815982596487e-06i,-0.0021621606884911-2.9243888112551e-05i,-0.0459972680147608+1.14098118565254e-06i,-0.0111931844101337-1.11346101466578e-05i,0.037636450040462-4.57602178497189e-06i
0.043779747114165+1.1508891020042e-06i,0.00142636653711686+1.30419690738667e-05i,0.0190649692125967-7.40013920930162e-06i,-0.0253195347962913-2.1360456584911e-06i,0.0701522834132637-9.22559990817707e-06i,0.0346503496114377-9.33863711409264e-06i,-0.0462101418630063+2.26761675901874e-05i
-0.00103961757907633+4.22199229914226e-06i,0.0156693735814405+1.71093012169582e-05i,-0.0217553884139895+6.42736302425552e-06i,-0.00886800835241141-1.48380740189883e-05i,-0.0155302524392772-8.29238322352985e-06i,0.0203862058876221-1.13966217400674e-05i,0.0139727322677029-3.95735185457457e-06i
0.0077570607515403-4.80400175956359e-08i,0.00277240286976894+2.00926765557371e-06i,0.0204699853444073-5.15082484780462e-07i,0.00575642161220149-2.6739716234129e-08i,0.0149848884637335-9.06587676067355e-07i,0.00896974737497902-1.53789156894143e-06i,0.00274216367133832+2.56278093712093e-06i
-0.00447300002187058+1.21740128377317e-06i,-0.00888618040734821+6.28621582950274e-06i,0.0151023962214083-3.15266641666607e-06i,-0.021544478621488-7.32668680604905e-06i,0.0225462125433164-2.53252547401006e-06i,-0.0131885376707755-7.60185390583445e-06i,-0.0241229863919996+9.81165376943301e-06i
0.0129383441005492+2.75166245743262e-06i,-0.00828760177435627+9.59728786852973e-06i,0.00721403996749759+7.13219231342085e-07i,0.00908326055603081+2.64430922164082e-05i,-0.00515925816382423-1.77626398337609e-05i,0.0276825234949758-1.23420794003246e-06i,-0.0403884178353797-1.96933007490476e-05i
