-0.0490624597187267-9.41031676628751e-05i,-0.13896729119486-0.000129559350496337i,0.0573251226046939+0.000129548716642224i,-0.0180075008086664-6.93124012273874e-05i,0.0761443069347123+0.000205510865104353i,-0.0356540703777313-1.41414318547956e-05i,0.00441041609656478+0.000198871825975205i
0.0241077900626485+3.19395221045972e-05i,0.00778743269296936-4.27136704815858e-05i,-0.0568194843955407-1.64975535423176e-05i,0.0312594302707544+0.000300156710072002i,0.0451945914451466+4.89621533496655e-07i,0.0428675688480812+0.000282815798957221i,0.00944844106745649-0.000118522842274029i
-0.0392928872465266+6.70534954624688e-06i,-0.0716907959087923-8.4337308669443e-06i,0.0357777785651213-0.00015237702192523i,-0.00965340840438421+0.000271190923753281i,-0.0360896713077879+3.98538315374669e-05i,0.0461102977164513+0.000221357192466535i,0.0189988111266844-3.51504944656483e-05i
-0.0109697720722232+0.000112316628427035i,-0.0025893435272857-0.000301897755204294i,0.0107140998063558-5.6509584814122e-05i,-0.173125221439909+0.00022266549982136i,0.0833723595399829+0.000178882460816491i,0.0273348412910813+7.67833026237988e-05i,-0.0462966506637556+0.000143111585488133i
-0.0282693083383465+0.000104574425057544i,0.0564436293836179+0.000242276283630357i,-0.0275009112497843-0.000187511017648538i,-0.0659297534987999+5.4132887326709e-05i,0.00977219005391732-0.000241438853181102i,0.121936564452043-7.43733987592339e-05i,-0.00591960747706647-9.07016733117165e-05i
-0.0101166767501617+5.31648041175805e-05i,0.00922894951700908+0.00017705705588493i,-0.0166643013251232-0.000120849848532787i,-0.0419125303380181-3.95430890468349e-05i,0.020895209348256-0.000199870011690448i,-0.0589858633704492-4.79128712052402e-05i,0.062691457864443-0.000103952746556979i
-0.0683435006369975-5.5952300634057e-05i,0.0014792631741867-0.000268368056980875i,0.126039160449717+8.58599428294648e-05i,0.0237449886058199-8.99491218407707e-05i,0.0305532984256756+0.000272465171915504i,-0.0130285398940232-2.82264079615101e-05i,0.00550908732632083+0.000207148818395999i
0.0510649580337853+3.95367221838018e-05i,0.00865128370741536-5.87413023554664e-06i,-0.122337166891063-4.23552177723214e-05i,-0.00715930606058597+0.000201435955198424i,-0.0593015401058945-8.59071947547285e-05i,-0.0100407567080242+0.000119586872684477i,0.033013824182214-0.00012613003420292i
0.0270625256607921+7.97320622105956e-05i,0.0785388006720294+0.000194258720262109i,-0.0204557931284952-0.000121425090293458i,0.0211602266934383+1.72408374583985e-05i,0.0574938044318312-0.000175616039153525i,0.0304103711774998-2.59695218571764e-05i,-0.0449543913440037-0.000116257445250792i
-0.0799481740436296-0.000123341737733902i,-0.0955688688630351+0.000218867835653075i,0.108075823457053-1.53998676961655e-05i,0.083121303860133-0.00022363785655909i,-0.0310101051758463-5.2387393715812e-05i,-0.0119807956246313-0.000102023069322489i,0.0745316141606316+7.46091303493911e-05i
-0.00455391639120954+1.86772846834494e-05i,-0.00176607623534866+0.000177899790465189i,0.0297550017884536+7.48646281633448e-07i,-0.0164747500276886-9.99830875752404e-05i,0.0385330150623647-0.000158551038081085i,-0.0313985366862498-0.000100127165221956i,0.0173153456420796-7.83097442692586e-05i
-0.00496280746731956-8.54282923158261e-05i,-0.0967735190094315+5.59860086767571e-06i,0.0427164672808203+8.29149602051607e-05i,-0.00999124549923324-0.000255640750734456i,0.0331922208592859+6.19215290348616e-05i,-0.0347593129336359-0.00016605392940197i,-0.00628476099778191+0.000178066736076672i
0.0046886497882995+2.20644111545173e-05i,0.000944497468415129-2.79473145203433e-05i,0.0315706071307322-5.98736616945709e-05i,0.0273934390442057+0.000104944434839934i,-0.0381676876559439+9.85217162606611e-06i,0.0073883990002624+9.85464389762705e-05i,0.00578928543777137-4.61308241928855e-05i
-0.0448335549354254-6.55673821143534e-05i,-0.0283922695578948-0.000181156375478438i,0.060514758210885+5.26446746250407e-05i,0.0215458219809434-5.74596710143043e-05i,0.0304941398575452+0.000238665756474149i,0.0686723983115713+3.91206367766205e-05i,0.040851038786906+0.000198388659199597i
0.0330874479625097+3.24557142464141e-06i,0.0548065817345779-6.19177841608861e-05i,0.000844689644483358+4.41186987348853e-05i,0.0913223666357679+0.000102214232120763i,-0.0618201210260783+6.08297084896678e-06i,0.0112127606229068+5.96244402442165e-05i,-0.0278455498935262-7.12257412678374e-05i
0.0027585598234584+1.99837558150071e-05i,-0.0715018536261002+0.000144153255838787i,0.0364815866654076-7.8844985808989e-05i,0.0340099663847989+0.000210634740817103i,0.0536156822200731-0.000122428653317632i,0.0352696400187354+0.000206901927250964i,-0.00765663515943348-0.000123145014043004i
-0.0530248490631572-4.03699743505021e-05i,0.0419483583619019-0.000283850843636657i,0.0397207164966198+0.000156063082211389i,0.0107987469227915-2.50545929013408e-05i,0.0336477673822034+0.00025158409965218i,0.0438840647569617+7.91832391655665e-05i,0.0681336057617906+0.000137423972686465i
-0.0953488810622189+2.40575557751848e-05i,-0.00423286379119495+9.54325384387256e-05i,0.18555042247755-8.04174465015642e-05i,-0.0143507501035859-7.14351900149153e-05i,0.0908393193301961+3.02592046808579e-06i,-0.00959828961834697+5.60893823384294e-05i,0.0732132787943378-3.27749729534819e-05i
0.111406485921806-1.34332286814675e-05i,-0.0246527168919008+0.000185953434175664i,-0.14841854743419-0.000107428761431607i,0.139618349370825+0.000250046082099135i,-0.102563535335988-0.000171922035832664i,0.00872065798735797+0.000196562032889336i,-0.0512163292209556-0.000218758809250951i
0.0223149901636185+1.12881768277536e-05i,-0.0399558501935734+0.000193890507762026i,-0.0345561126204469-0.000104086774072173i,0.0205666586654747+1.89710735549046e-06i,0.0756519338804998-0.000101588264367595i,0.0616592308725449-5.02057093241592e-05i,-0.0910664409434603+2.50486111884334e-05i
-0.0567945096168825-3.32108628164283e-05i,0.041671231102633+1.89749306588865e-05i,0.0394994524018555+6.49704067784856e-05i,0.0326582988570971-0.000228785795617733i,0.0434809775413929+1.99145020162685e-05i,-0.0337840863128598-0.000113071502978248i,0.0802799843520519+5.43181976012655e-05i
0.0353958495096432+7.3162023873599e-05i,0.0288135939210183+9.90393387767286e-05i,-0.101201679244345-0.000197390622910053i,0.0105829982927405+0.000226478078885438i,0.0218469755224559-0.000117394389527627i,-0.0127144034796395+0.000159853054759733i,-0.0047959630492565-0.000160696530118953i
-0.0291483688898902-5.48592933352801e-05i,0.0460015121055673-0.000221491413957687i,0.0694634748751922+0.000188584123572314i,-0.0253709539956429-0.000283130984651042i,-0.112532157752276+0.00013885566367167i,-0.0164148524518661-0.000369936813375011i,-0.046841966891526+0.00026818866922271i
-0.0419676462408268+5.26174439904503e-05i,0.0313498800427614+0.000204432532238049i,0.0905509826818209-2.51587238153946e-05i,-0.0184105144498126-7.61748624984878e-05i,0.131982141788857-0.000140263460577336i,0.0396120465532226-4.49748300761297e-05i,-0.00754082461128195-7.93637848354e-05i
0.0414618281487781+1.27862929495102e-05i,0.059486022468654+6.2988727448392e-05i,-0.0560700492859516+7.37565643743675e-06i,0.0418638204301218-1.81440247466208e-05i,-0.150799135922337-0.000132081312044544i,-0.0884246667660603-7.4339292293417e-05i,-0.00977918528021543-0.000167711393000647i
0.00493617654056833+6.47205891664779e-05i,0.0015205869018655+0.000113811318026123i,-0.0581569289292971-0.000148481247284429i,-0.0258236309923917+0.000178572612243184i,0.00136227747780121-0.000154039413861406i,0.10814654726089+0.000166046870791767i,0.0481482302672896-0.000133239394115117i
-0.0172877422185162-1.07470136617386e-05i,-0.0282323083923697-0.000313446587534371i,0.00273453936564695+1.3583581742765e-05i,-0.083017715044184+3.41907789916175e-05i,0.0214884099721755+0.000311503998894967i,0.0479812445276843+9.06743559214907e-05i,0.0481281420210633+0.000199564067902796i
0.00679139768155759-8.20950967527665e-05i,-0.0344997995431725-0.00062116178694352i,-0.0424392329966149+0.000188794740974993i,-0.0286597536700284+6.82514337993699e-05i,0.0240366358308395+0.000550510253483779i,0.0130772254122849+0.000111553676812043i,-0.0154510687913478+0.000354515390172136i
-0.0516542959269386-2.110678915835e-06i,-0.0645501186186013+0.000340663323310908i,0.0917911006580829-9.69011094447606e-05i,0.0480087851503594-8.75436902128793e-05i,0.00343090753555796-0.000225756806927414i,-0.0337391094165031-6.09245331798561e-05i,0.036888489355442-0.000115201807692295i
0.0705925144662178-5.63948801995654e-07i,0.0386369125058329+2.49880275361139e-05i,-0.0873385090492986+7.22586138572679e-05i,0.0210236441886944+1.16780351535271e-05i,-0.083127355779386-0.000133881534332099i,-0.0367869480414138-0.000170913948694427i,-0.109901717773248-1.45549842555187e-05i
0.0584344089028782+8.07007304207049e-05i,0.020184086655072+1.92734529672022e-06i,-0.0960697787154994-8.61106306744959e-06i,-0.115095615157915+0.000142163697876181i,0.0192794472277678-0.00011129851454079i,-0.0139117336771823-1.71517785797039e-05i,-0.073509910609168-6.82339193322417e-05i
0.0500237471650321+1.92049773420254e-05i,0.0924365805140085+0.00014267203558123i,-0.0948228760993749-6.21364716439506e-05i,0.0363690749499149-0.000130424461698202i,-0.0440430159277738-0.000159720663162436i,-0.0380357742756549-0.000142305945293688i,0.00252813393073129-8.06835718090484e-05i
