0.0039321747581787+0.000166559858670237i,0.0104269549985108-3.69055992724979e-05i,-0.0132113718707483-0.000608570255351666i,0.0237460356838699+0.000224258214715261i,-0.00771357631942764+0.000249757119426444i,0.0320153181102169+2.32514867968202e-05i,-0.0331153456241395+0.000297732661595849i
-0.0159055915860548-1.09394230787789e-05i,-0.0569664358973848+1.31698754608168e-05i,0.0328146121449794-9.2394544860252e-05i,0.0118925483200938-2.09903333092633e-05i,-0.00112963064156774+6.38227163951829e-05i,0.00758003213148165+3.14742080311304e-05i,0.0699190797320057+5.53319861948457e-05i
0.00169871311856605-3.13273042728455e-05i,0.0702283321200242-4.60363077996643e-05i,-0.0152827655549996+0.000378470386363844i,-0.0496001608474321-3.65178610586792e-05i,-0.0254917166782301-0.000148954987902399i,-0.0109610326303473-6.56251914473425e-06i,-0.0407578449183655-0.000191501234023265i
0.0177600031214262-6.77237286078971e-05i,-0.00465517491849372+8.55296217065327e-05i,-0.0382409189211723+8.80962850855187e-05i,0.0142893358893393-0.000333233805331197i,-0.000282850817821962-9.54421039904416e-07i,-0.00420789050825398-0.000208473545966859i,0.022545781562355+6.32775137757509e-05i
-0.0151976177849586-9.32180294652677e-06i,-0.0193080832666915+8.49066608164697e-06i,0.0408150320231668+3.93448323101559e-05i,-0.00893609266415569-7.81405337824236e-05i,0.01484532905776+1.85338850880703e-06i,0.00157328998439045-4.89451997949066e-05i,0.0130053488638095+3.30821077348466e-05i
-0.02835475025101+3.32448103321101e-06i,0.003368612301764-8.58055123163526e-05i,0.00776184411048647+0.000142285818997731i,-0.0270550828881309+0.000226754063981532i,0.0139520398084579-9.30077166068485e-06i,0.0187433377761238+0.000224766212833419i,0.038530569562267-0.000150144916430107i
0.0393425017332887-3.10430748965631e-05i,0.00717144629075099-6.52397939592475e-05i,-0.068647919871663+1.2018763431104e-05i,-0.013565768939988-0.000344133548801753i,-0.0128814436099566+3.21683702887713e-05i,-0.0584663663161419-0.000225611130902866i,-0.0132661525537917+0.000111861751667435i
-0.00166567847610482-5.52304273681197e-05i,0.0300394788913921+3.64273593936879e-07i,-0.0223039781360392+0.000296893861628842i,-0.0207590640027474+0.000122404642281083i,-0.0076497156011271-8.17109244534781e-05i,0.0235710028788429+0.00021933174104977i,-0.013078936612832-0.000234995287138218i
0.0239138690986367-5.25968097502194e-05i,-0.0280400764327172+7.14175352388023e-05i,-0.0362629053617245+7.03392639872281e-05i,0.024775842728133-3.4111575387022e-05i,-0.00686133324578859-1.08592394626356e-05i,0.015614697724789+6.04507216928043e-05i,-0.013917560587029-5.76760077085735e-05i
-0.0236158074748157+3.56399954466221e-05i,-0.0781071182151158-7.85378377517816e-06i,0.0499381111062646-0.000186090817615361i,-0.0277933532088071+0.000126628574543749i,0.0422932152943321+6.42031742146923e-05i,0.0238760613217075+6.36885959931364e-06i,0.0587389338572536+0.000116315832966969i
