-0.0186389339691688+1.7497567592054e-05i,0.0295546913510206+7.39009677198661e-06i,-0.00295483246679784+0.00019594959063309i,-0.0804046423342493-0.000202042020181485i,0.00693609401548732-1.75231223791892e-05i,0.0632431610255445-0.000149595801065848i,-0.0197019163263448-5.14200340564426e-08i
0.00254664132151244-2.51028461743955e-05i,0.0149671211242257-0.000128393394939292i,-0.0244598749111266+0.000382177852298146i,-0.0320743188259315-0.000221179614466957i,0.0132678827009308-3.70341015830973e-05i,-0.0572492712641177-8.3034965918375e-05i,0.0422740113494875-9.82328821088966e-05i
-0.04460214757053+3.73567153380216e-05i,-0.0457181512127014-2.61972790165083e-05i,0.130262855184052-0.000310542752057474i,0.0258395344498861+8.62197656024159e-05i,0.0629712971962175+9.0625131580671e-05i,-0.0157366695892352-3.85695450562063e-05i,0.0551401014772866+0.000156993123213729i
0.0326030047354522+1.56474098374408e-05i,0.0362164470732045-8.14307026360952e-05i,-0.111940899318257+6.72487523191758e-05i,-0.0298322192601128+0.000129519843486657i,-0.0576236497317852-3.1462250170772e-05i,-0.00656794782658375+0.000124868143666919i,-6.43845945014249e-05-0.000129229155430948i
0.0177678082752966+3.34712222624735e-05i,0.0856454270015757+1.7556491375231e-05i,-0.0750119459751409+0.000112060905363181i,0.002691642032265-4.66416548704137e-06i,-0.00394399047535899-5.51140243379381e-05i,0.0218325421295434+7.25313850513456e-06i,-0.0691731652715647-6.64055680515564e-05i
-0.0489817024749244-9.64576803347279e-05i,-0.105803380477072+0.000113467917529833i,0.153903696184607+0.00010560194819944i,0.0623700688990188-0.000277710165759985i,0.0376816092839596+9.63415488687699e-06i,-0.0135372299009244-0.000140005694903884i,0.107468981394874+0.000118572472270093i
-0.00918468050936273-1.7057262066687e-05i,0.024164472573072+1.39216068465763e-06i,-0.00200888818966536+0.000233601782709083i,-0.012414366403944-0.000125142290278293i,0.00494610154142961-6.22142305342202e-05i,-0.00745880944337183-7.91064996437387e-05i,0.0045747639850878-6.74351830323936e-05i
-0.0109116472325618-5.2172899022402e-05i,-0.0396325562908226+7.87927111273612e-05i,0.00594852314423072-7.17506346190068e-05i,0.00820156751888067-0.000171413204976524i,0.0121803599482903-1.31118968672967e-05i,-0.00573220136860832-0.000125934831237459i,0.0133782704063318+0.000112728550201826i
0.00531735731539545+5.73607355418694e-05i,0.0172549366829767-7.67069190594143e-05i,-0.021142520969675-6.68277318871745e-05i,0.0213300277216718+0.000226413794343683i,-0.0420352849301527+1.03511577658063e-05i,0.00732771075054664+0.00015777481915115i,0.0048025139845188-4.75327753095213e-05i
-0.0187635373727596+3.77963506546766e-05i,-0.0284771049185138+2.05938051949649e-05i,0.0409114718475936-0.000313520305310419i,0.0118316070054534+0.000189147456130647i,0.0340506939200334+9.52236545421825e-05i,0.0402295512139775+8.22980061550781e-05i,0.0430882829106483+0.000129906721025036i
0.0214015908160228+1.25938987214022e-05i,0.051822907108188+3.55770954852865e-05i,-0.0266565947577852-7.50785377761109e-05i,0.0556132418359632+0.000161510342537143i,-0.0607372080727571-5.01934832378449e-05i,0.0117221727466777+7.93989881931374e-05i,-0.0228538351233233-9.23668082988137e-05i
-0.00627109875140086+6.81878184664445e-05i,0.000184880402903928-8.88648903898167e-06i,-0.0106010013473316-2.83430468224981e-05i,0.0193909188064181+0.000416278101584274i,0.0106687040788431-4.97409403401197e-05i,0.0419289939123915+0.000314474500820957i,-0.00566397714470756-0.000147211380032757i
-0.0254729321806545+3.84818976363368e-05i,-0.00567973138528352+1.99190396542401e-06i,0.0724453362304627-0.000252768650458535i,-0.00360593484296031+0.000131896264761105i,0.0551759638891026+4.98761287937011e-05i,0.0223205646954066+4.86333655965697e-05i,0.0702851622980356+6.11525214187311e-05i
-0.0493026674059698+3.52824691948956e-05i,-0.0282814607969522-9.30588630095551e-05i,0.13804420595328+0.00016827520753747i,0.0165521803950162+3.73452881935441e-05i,0.0949858907864895+4.45963697112258e-05i,-0.00991173939653404+7.63718654179295e-05i,0.0999899401122089-1.21991197534828e-05i
0.0798848490956184-5.15975102293245e-05i,0.0391267364937454+9.37497818172955e-05i,-0.167287090215186+4.14463552726105e-05i,0.105716687575889+0.00021485527382038i,-0.113608437475605-6.62544784372354e-05i,0.00638315023890758+0.000263689676694386i,-0.0848890654801986-0.000189827860743574i
0.0216281215005807-3.26435547453924e-05i,-0.0236584216171529+0.000149019015184469i,-0.0524277935133622-6.47253299237138e-05i,0.0326466208546585-4.1071105893194e-05i,0.0206806075320636-2.25883720487654e-05i,0.0333762511613569-1.31921191075277e-05i,-0.085074446598212+7.09175171523442e-05i
-0.0243737891563219-2.97969896834881e-05i,-0.00753183935403929+9.56082863472907e-06i,0.0602024626246245+0.000100177698459125i,0.0218170435455083-0.000234728491523214i,0.0514774497845703+1.65830142694892e-05i,-0.0260350281024161-0.000146081882762913i,0.0630728732894266+6.39020316908912e-05i
0.0399057783516786-3.31745905705048e-06i,0.00051910847588672-7.9976064192651e-05i,-0.0771462910856071+0.000113474349902692i,0.0227211075313106+5.63758433590545e-05i,0.0137394862556267+5.86493737692687e-05i,-0.0111939678572332+0.000118734759203298i,-0.0159657162172306-4.48801140989669e-05i
-0.0421086541001089-2.64282810374578e-05i,-0.00474178373631156+6.56420946355305e-05i,0.118372351553849-0.000144525138386449i,-0.0500820675903453-0.000394864190944287i,-0.0522476974384834-4.94095928138965e-05i,-0.0361466951363779-0.000455759270133923i,-0.00717676107303849+0.000200758047421293i
-0.0284909959748767-7.70067186127866e-06i,0.0140026472104247+6.34175371226384e-05i,0.06946356657546+0.000186187979823536i,-0.00834512818993675-9.45211081755022e-05i,0.0863492040587504-5.0423959567769e-05i,0.0334731170126348-4.69120493171041e-05i,0.000304186093274487-4.0310539558686e-05i
0.0180492440935259-6.19810755544076e-05i,0.0324830462075546-2.69900165677029e-05i,-0.0250424578716816+0.000283315249376629i,0.0237818623554276-0.000282779590122763i,-0.0963746553311356-3.91669962594981e-05i,-0.056187113868133-0.000159205350019656i,-0.012859917997322-9.72898837709513e-05i
0.0204580260098367+2.77695978119487e-05i,0.0309470841563534-7.58341972948877e-05i,-0.090218605535593+9.76556625568234e-05i,-0.0332843200210139+0.000195086104478115i,-0.0137260139683008-5.32884367078776e-05i,0.0398165646494175+0.0002098152183224i,0.011752050306443-0.000143615745767505i
-0.00447452124185466+0.000126308298502496i,-7.71843861786832e-05-0.000134896512065049i,-0.0319889423782763-0.000393061211627243i,-0.0474915841863642+0.000336737810108532i,0.0130884239162035+0.000161176630182691i,0.0351237199847052+0.000170606417123815i,0.0239059144719996+0.000108948304616177i
0.009780505156266+9.71467171531168e-05i,-0.0348844490650364-4.85369280368542e-05i,-0.0223211612564444-0.000749197656362284i,-0.00206210584048086+0.000422787688432387i,0.0218113892582944+0.000169466010358943i,0.00894489085116053+0.000167320828718713i,-0.0259799782049621+0.000202961931569863i
-0.0311901354939118-4.81278921055245e-05i,-0.0698815643382399+6.18976836792769e-05i,0.101097098341676+0.000306482877943385i,0.0457213850521477-0.000193002483624535i,0.0342830888153894-3.84746138774096e-05i,-0.0196465452426098-9.24106113388841e-05i,0.0582947676473335-1.83573973630046e-06i
0.0263391854511934-9.88734862213143e-05i,0.0253077984425126+0.000121033862437086i,-0.0324924068875282+9.31155807644593e-05i,-0.0121032483522657-0.000297863648837635i,-0.0718545183423827-0.000148294588606666i,-0.0444139934615401-0.000276416646497471i,-0.0893950984172992-2.66230288099616e-06i
0.0223064075030328+7.62938485435926e-06i,0.0399780132932677-5.21065303683241e-05i,-0.0723637698548654+0.000143015100477405i,-0.0871095756467691-2.19782694977652e-05i,-0.00569572716551197-5.98765001869504e-05i,-0.0138210894386337-7.29711727794758e-05i,-0.0809631205995004-6.01110347273806e-05i
