0.00921324156151578-4.1662752050197e-05i,0.00514727277898206+1.45095897689434e-05i,-0.0349726300950868+0.000112486919453587i,-0.0072177052981817-0.000169874665772253i,-0.0205490784236931-0.0001551695939641i,-0.0669827379146442-0.000187838734138541i,-0.0399020846562731+2.09541992034888e-06i
-0.0017795452113189-2.73251352769226e-05i,-0.0188433444316707+0.000133466206304901i,0.0169809765633818+5.45738856322636e-05i,0.0369862727607651-5.06871877679998e-05i,0.00815671632986089+2.21945010313333e-05i,0.0202310299476485+5.22316304951759e-05i,-0.0171094929906513-6.69578920535192e-05i
0.00982790705747369-6.88855240657881e-05i,0.00581586732305517+4.04359143841206e-05i,-0.0439929446969635+0.000249175671804168i,-0.00125422853295528-0.00069647382365039i,-0.0283307484203412-0.000194562244219961i,-0.0575367936001334-0.000551915479153401i,0.0656013320746365+7.8085183359302e-05i
-0.01683916930592-3.17799222621105e-05i,-0.00651142181726128+8.83775271997935e-05i,-0.0193976409604061+4.81719398143029e-05i,-0.0301150661924212+1.83601282515344e-05i,-0.0497691683956334-8.45322739300652e-05i,-0.0149118959673671+7.1274552985854e-06i,-0.0240907565631889-3.94866094209559e-05i
-0.009543172330771+0.000114564074982336i,-0.0495142298299034-0.000123572515434273i,0.0372664846920904-0.000611991873513198i,0.0227497961556734+0.000326910288628474i,0.0760306733791258+0.00039167822831577i,0.0664514722713147+0.000251790170867982i,0.0938628743975391+0.000213796092282699i
-0.011801031402256+0.000189074737691822i,0.0186982384504043-0.000179521425370314i,0.00934919700311506-0.000516861973048905i,0.00782827904394947+0.000543827309598044i,-0.0162910162204576+0.000365388523294304i,0.0637594167824748+0.000264478128193118i,-0.0185021020643889+0.000167751766424789i
-0.0224384048322764+1.07677163408059e-05i,0.046421013312032-3.03419927790491e-06i,0.00165036027901198+0.000230692367682003i,-0.0234775144802943+0.000103494426219086i,-0.0436833162844336-3.42229712435807e-05i,0.0189061176999269+2.13040949139615e-05i,-0.123830866954049-5.15609316279416e-05i
-0.0133815604758095+0.000142371628128782i,-0.00491823430085314-1.87211162112758e-05i,0.0245721016491663-0.000469257138481361i,0.0134135410436014+0.000180581029341158i,-0.00779578830762238+0.0003443334964968i,0.0320239101515568+7.03929523209808e-05i,-0.0708854188531321+0.000238719449950841i
0.0230379937303021+1.63549282711649e-05i,0.032774166444644-6.87629080443462e-05i,-0.0867796358301045-0.000234626725638706i,-0.0056272305484159+0.000232063072023592i,-0.0109247708640509+0.00012628191721732i,0.046303291321207+0.000198055316306197i,-0.0249591352398828-2.76394601729279e-05i
0.00594577991377547-9.41690668913097e-05i,-0.0100646307748322-6.2474398196231e-05i,-0.0280920651891013+0.000211305176582819i,-0.0147530771597186-7.58648617083509e-05i,0.0395478200552928-0.000189122978458635i,-0.00334721829676113+0.00016676058821809i,0.104736905563564-0.000180108442846769i
