0.0155603451049627-3.05788528362882e-05i,-0.00386964801866406+4.41937997514746e-05i,0.0257688967772423+8.55796015789865e-05i,-0.0117533944848067-0.000171047086632759i,-0.0352390037245464-4.94184391320334e-05i,0.00418768219942759-0.000150795332137768i,0.00748293595672285+2.52091079935854e-05i
0.0995038649001061-5.63708316448059e-05i,0.0985275984851599+8.95539147937549e-05i,-0.101181548433535+0.000210239330190985i,-0.0351813465640818-0.000214412391810789i,-0.0728582824359402-8.35607824684285e-05i,0.0340300295169845-9.93047803186529e-05i,-0.0482746504270644-6.28379466340836e-05i
-0.038789076433672-8.37918842151876e-05i,-0.0226976253314022+6.33884623127701e-05i,0.0736137525722105+8.04044927406892e-05i,0.000466998188792699-0.00030420449877726i,-0.00416943645581352-3.96247948288367e-05i,-0.0190316486154672-0.000281651554785452i,0.0237278344368692+0.000119081056988639i
0.0413870349280142-8.19630758920791e-05i,0.0464995875715568+5.14655000536971e-05i,-0.0571295328898412+8.75619142359486e-05i,-0.00283819620319755-0.000271767219882533i,0.00671609589519064-2.92883721579503e-05i,-0.010734760378713-0.000212448357263514i,-0.0326541501414859+8.81818150262705e-05i
0.0313683322323217-1.98740860466858e-05i,-0.0127123588561273+0.000149372801634361i,-0.0419675649024966+0.000171975204211073i,0.113075080480864-0.000302879107480154i,-0.0415222452850557-6.07133182171087e-05i,-0.00189837099485407-0.000110544821387455i,0.0202347477295161-2.19471592309569e-05i
0.00167223028126949+6.19249535595513e-05i,-0.0260714352557287-9.01615021245479e-05i,-0.00598914086759892-0.000189690135830172i,0.067311346984079+0.000184963431777738i,0.0118645200293282+7.50944005026456e-05i,-0.0636788095701271+0.000110797727641119i,0.0103331898322181+5.4554810170964e-05i
0.0201799614784016+6.18761829555798e-05i,-0.0103993664738558-2.85112693249017e-05i,-2.71344338055319e-05-0.000226152467956508i,0.0505007804296797+0.000161873567248876i,-0.00303443519071645+8.04689404737759e-05i,0.061524445490537+7.85715957844793e-05i,-0.0411792854151483+7.47887246926433e-05i
0.0561179466500329-6.11548750179201e-05i,0.00193925100178492+8.76517501901858e-05i,-0.110293973235712+0.000198027766564489i,-0.0403374186431788-0.00020388617677546i,-0.0354393680327336-6.19333105473319e-05i,0.0167907167914325-6.56099297755092e-05i,-0.0408239742267623-5.51163746220732e-05i
-0.0589287348992201-4.87922953428485e-06i,-0.0156663200610961+1.28706264085002e-06i,0.103921195915445-6.40829046922915e-05i,0.0401913044695397-2.24068446288849e-05i,0.0527621298738456+1.93824904883688e-05i,0.000904183895532603-6.50082847723648e-05i,0.00280389560300103+7.00626982104678e-05i
-0.0540738067300286+1.46975437347224e-05i,-0.067756520318316-6.1079879371594e-05i,0.0540370441363654-5.90810491068845e-05i,0.00846740723306389+0.00010254997753743i,0.00288991526737831+2.80685623860564e-05i,-0.0320104709266915+3.84651485018509e-05i,0.0653709524583447+1.58990871546884e-05i
0.0831913147287205+7.20298008165498e-06i,0.0603162611693128-4.81893356195455e-05i,-0.119750702697467-3.97462257778967e-05i,-0.0826155962346188+0.000120248014785469i,-0.0162291574760872+1.96455573040249e-05i,0.0153789090432595+5.96642702760393e-05i,-0.0815683246002563-1.45079372353193e-05i
-0.00590709354430089+4.07703295524187e-05i,-0.0197342256867662-3.81002034721302e-05i,-0.00155015894077994-0.000161346546337424i,0.0272615180130373+0.000102152322858467i,-0.00127803587562251+6.08790038906023e-05i,0.0200504611346349+4.92943488710697e-05i,-0.0115499054304641+6.99714899234859e-05i
-0.0174721759263025+1.14312672293514e-05i,0.0236382340074754-4.45808275971225e-06i,-0.0100137626051147+2.54100951028175e-05i,0.0028028733990482+0.000100616989787015i,-0.00927919805741204-3.73944463233325e-06i,0.00669999652954647+9.20433195010828e-05i,-0.0151998923306917-8.37839805321212e-05i
-0.025914255985678-3.65658536518446e-05i,-0.00738850785509891+1.64941442143798e-05i,0.0212302050716305+5.44931124253454e-05i,-0.0129135618585017-0.000116072936462945i,0.0368113334840123-1.01868547456159e-05i,-0.0121182355340556-9.85567983266232e-05i,0.0114302487833227+3.08620865184325e-05i
0.00615254959022247-5.91943979825165e-05i,0.00463952399620328+5.25786129406697e-05i,-0.00329535839800802+0.000215858305454479i,-0.037148432217905-0.000140112213542599i,-0.0130837407004608-8.38150783804059e-05i,-0.041991163489346-5.63554585931995e-05i,-0.0216345591171012-9.74664941877145e-05i
-0.0415316725265655-3.08467062824986e-05i,-0.0319655351315855-1.41040004507094e-05i,0.0426544904675632+1.75528246274371e-05i,-0.0397158200767468-6.85170753291088e-05i,0.0441211965902651+2.56327941117993e-06i,-0.0126089885855531-6.78423026953461e-05i,0.0383958539156444+4.39949933859399e-05i
-0.0346174199808095-5.66915924434788e-05i,-0.00957545666437185+2.33906148715641e-05i,0.012318524713683+1.02623482651279e-05i,-0.0181043099280727-0.000233824959648473i,-0.00542695058042374-3.34518839574223e-06i,-0.0340497957347669-0.000248247824871532i,0.016960430860415+0.000145164457296988i
0.0195395714086611-5.9753152903049e-05i,-0.0193869114069029+8.69506941475959e-05i,-0.0175172896742872+0.000166862675867523i,-0.0241430257076863-0.000211628619462128i,-0.0212181403290245-5.98830163958139e-05i,-0.0123673689629438-0.000125414484532392i,-0.0444069343560107-1.72805151430798e-05i
0.0206550729810671-3.99648695868595e-05i,-0.0319327259105693+7.01438613503216e-06i,-0.0852352607409482-3.17633065303049e-05i,-0.0283381045329202-0.00013261340308574i,-0.0380196986121851+1.6798749022592e-05i,0.000875733133508041-0.000142542634263649i,-0.0598868137558584+0.000117256597289692i
