0.0200253807850141+2.173966111708e-06i,0.0523268803624434+7.07468775315231e-06i,-0.0180128663546007-3.61782318773762e-06i,-0.0573130640352195-3.4446957576666e-05i,-0.0427819666429922-7.30421123118063e-06i,-0.0113452503904587-3.87678335913608e-05i,0.0095574866147986+2.56467745564284e-05i
-0.00267507238878355+2.8290220930623e-06i,-0.0327726447714295+2.49324615303221e-05i,-0.0329047191856542+2.35189806113373e-05i,-0.018561617220402-5.30302227693553e-05i,-0.00999590106342897-1.54517802008595e-05i,-0.0401175643082763-3.15421846200414e-05i,-0.0504909431286767+2.52815466922718e-06i
-0.0392635745679884+2.53807873783373e-06i,-0.0379211970792733+1.51000701856859e-07i,-0.116521947907551-1.41283322981113e-05i,-0.0325746613983777-2.67731644226343e-05i,-0.0315355216809345+1.71601214477588e-06i,-0.0132982490392902-2.98740785878821e-05i,-0.0578888112836543+2.91087481006316e-05i
0.0509891425990302+5.27164610177966e-06i,0.0505280972185927-1.06467842383925e-05i,0.101961456063077-1.63957668102878e-05i,-0.0341354019045289+1.11595173684417e-05i,0.0594736476144231+2.80158049671382e-06i,0.00406750992513943-8.41387145420315e-06i,0.0667977990254307+1.24417715188123e-05i
-0.0168472881342366+6.81410837011408e-06i,0.000133521936789995-1.49178439734273e-05i,0.042234435290874-1.42385556687425e-06i,0.000146216131146153+3.00270765135838e-05i,-0.0404427210015474+3.27869787978045e-06i,-0.0474361164763351+2.78768117375398e-05i,0.0688081747884806-1.52074666992245e-05i
-0.0311019513422196-1.3917537817866e-06i,-0.0596166399330235-1.13640915048663e-05i,-9.75887034587461e-05-5.28292933688003e-06i,-0.0365052591028075+3.66542086966733e-05i,-0.00160121956418041+8.67518579354096e-06i,0.0111990315413817+2.78639240396011e-05i,-0.0601276971334523-1.0176828685289e-05i
0.00556147245368803-4.04558107755716e-06i,-0.0249050686416798-1.70008359195656e-05i,0.049259791003418-3.40192121306879e-05i,0.0319458800477126+1.70164879592693e-05i,-0.00937518672882864+1.38873108681864e-05i,0.0107149153578233-1.24472689205129e-06i,0.0103463435659552+2.22639772300043e-05i
-0.0240662795266977+7.01287105695788e-06i,-0.0240979066470454+5.38718305444653e-06i,-0.0542655567935291+2.91089402785069e-05i,-0.000653559059139183+2.1009359959679e-05i,0.0573842693104905-2.38750905507063e-06i,-0.0212616742974743+3.90571124843134e-05i,0.0149753504802863-4.65290342583215e-05i
0.0139938885080854+1.65354292770001e-06i,-0.0350963407982081-9.77834310101036e-06i,-0.0532229513449291-1.76445490349538e-05i,-0.0176144608519456+1.43544071777804e-05i,-0.0816095496009716+7.08830428789967e-06i,-0.024898843552379+4.1657967941073e-06i,-0.00973422026285749+1.3598451147055e-05i
0.00963337588786936-3.30321040856632e-06i,-0.00975755651308768-2.2211240296088e-05i,0.0137505597788287-3.80524068724465e-05i,0.0156949781389749+4.70892995429045e-05i,0.0829919603598272+2.1034025684467e-05i,0.0641984634693394+2.39609593890317e-05i,0.0042906431671303+1.33915430646643e-05i
0.0198572818879416+1.74073832270263e-06i,0.000394976820734693+8.06669713752234e-08i,0.0641421044408641-7.01589790236962e-06i,0.00861414517830249-1.79566074755555e-05i,0.0243625325190928-3.76051428056042e-06i,-0.0925329157626304-2.07493201832228e-05i,0.0175603164903175+1.91472476786617e-05i
0.000388017682437502-2.02307513965932e-06i,0.0137738425976069+3.38526951910419e-05i,0.00784503993203588+4.46197305541112e-05i,0.0499797592109777-5.70622680681901e-05i,0.00741522935205344-2.51142352815262e-05i,-0.0245791987419451-2.60787073750688e-05i,-0.022021636332222-1.60779321607938e-05i
