0.0162537396797687-6.54295142390628e-05i,-0.0651843909691407-0.000136028952956206i,-0.0424642276653991-0.000135293345567035i,-0.00374785842404065+0.000530130461769222i,-0.0418317828466507+3.04056569977801e-05i,0.00510829124820182+0.000469802519604404i,-0.0206433654282678-8.06827496910272e-05i
-0.00103053993401737-0.000105687089726641i,0.0487044106684877-0.000556002628598732i,0.00179088316190948-6.34490437362515e-05i,-0.117399648846797+0.000408761286733182i,0.0266298862763783+8.52195234905796e-05i,-0.0213381879139822+0.000109739137564672i,-0.0127551276877701+0.00047388333660326i
-0.00495176543873224+6.48543940232821e-05i,0.0565732961142404-0.00024715683801324i,0.000892271939680733+0.000129871526804173i,-0.0677112734142031-0.000306903369550774i,-0.0264149485354676+0.000164158654160795i,0.0494274860363183-0.000390730344959323i,0.00395486740598498+0.000129365360361459i
-0.00133344156201307+0.000162261105013981i,0.00268402058936391+0.000157353016514434i,-0.0255500445402815+0.000201866658479816i,-0.0203864500877377-0.000318452531160201i,0.0124636125218151-9.35528082724577e-05i,-0.0697725979210918-0.000150618336611499i,0.0453072444776621-0.000246100805685062i
0.0392145729542779-8.05063954746734e-05i,0.0045145326058032-0.000250031819872373i,-0.044421135606975-0.000328564457996952i,0.0399437717541373+0.000339089764026342i,-0.0303910840406683-2.47800048479571e-05i,-0.06621395739364-0.000178469659235661i,-0.0902864613539805+0.000285702176205082i
-0.0278537873219795+6.8928847793471e-05i,-0.0153710880245047+9.57348550648106e-05i,0.0130300971093517+0.000204667479034848i,-0.0444360535996496-0.000152177074433063i,0.00622374368217174-4.42949335745279e-06i,0.0184002336500777+0.000194402288039019i,0.107932572789543-0.000175075258699535i
-0.029637094447577+6.5973542279599e-05i,0.0681733851395106+6.67628392667578e-05i,0.0574714147330798+0.000132492938280498i,0.0262931280616267-0.000186846483932148i,0.0463886314125323+0.00011644813468764i,0.0427185413760622+3.45307983426721e-05i,0.0251799123342743-0.000162816236428325i
0.0573162303588993+6.90047391098696e-06i,-0.0832619905449329+0.000173569649361727i,-0.0929600439032532-0.000175499105798122i,0.0631589776310178+5.0978821819495e-05i,-0.0714740208238496-0.000182476000259458i,-0.067465658888019-0.000193327423043042i,-0.0761497355101161-7.17425425775906e-05i
0.00391675161263395+1.71137560679112e-05i,0.0258273652732532+4.72753057889997e-05i,-0.00863955067434482+0.000139122010956549i,0.0115193959572782-0.000173910389786711i,0.00403697921804785-1.87212135045224e-05i,-0.00955395407706643-0.000131728439408328i,-0.00944950186817206-0.000127685644957154i
0.0173903792110569+7.3075862811049e-06i,-0.0433166950997471+0.000211319703986302i,-0.0400265527776281-0.000105488341883404i,0.0124945512612349-8.86296300966121e-05i,-0.000386997764902029-0.000219933091917297i,-0.0248383066508396-0.000176934861766836i,-0.0243844877364833+0.000150242650820134i
