-0.00112804176006816+8.01426215774647e-05i,0.0239976974797451-0.000104862954363762i,-0.0101432657585425+0.000410094622533395i,0.0167624096847555-5.44485626393765e-05i,0.0148677108979878+9.44924831545104e-05i,0.00317472703328263-0.000100436890695169i,-0.0113480425604956-1.68351482700933e-05i
-0.0100452913188425-0.000105119465788581i,-0.0699911259854759-0.000211759397165282i,-0.0310704174967431-0.000639095230340027i,0.0366339313733866-2.45570004321863e-05i,0.0389085021750566+0.000300767533733647i,-0.026067341846055-0.000265581869795354i,0.049191873887369+0.000206198547184287i
0.00552733482885848+0.00010700984784907i,0.0683082140519318-9.19487636924965e-05i,-0.00164321414727726+0.000444419450482169i,-0.0385391067743401-1.4657730976737e-05i,-0.029556971938155-4.72955292903056e-05i,0.0151231820704264+0.000253440677264012i,-0.0261211221671396-9.92904692318861e-05i
0.00774396144645194-4.19792155835082e-05i,0.014113548143046+0.00024170268244201i,-0.00702785471712403+0.000118739649473433i,-0.0785716945285147+0.000112499960368889i,0.0312242192881928-0.000498940406981891i,0.0111094662796131+4.12980402653818e-05i,-0.012872023981582-0.000270365435196042i
-0.0185694979405012-8.94366456332383e-06i,-0.030431926947079-0.000336206207571432i,-0.0386159056463896-0.000175860106595655i,0.0900687136283833-2.50091931354869e-05i,-0.0223267354257419+0.000378920833006443i,-0.0252805479928475-0.000461338416671956i,0.0577914097570636+0.00039593772946771i
0.00174508674479693-5.14113363371844e-06i,0.000681510149726479-0.000121312458193698i,-0.0148770818175014+0.000196989675326876i,-0.0153605043297764-9.04264789864505e-05i,-0.0128931098465067+9.82345794224451e-05i,0.0151199955161587-0.000169303102092459i,-0.0165514261962286+0.000280743517823445i
-0.00697827737170411+2.92859737182909e-05i,-0.0192178350091969-0.000194835244602606i,-0.0197651942273904+3.41438808967633e-05i,0.00519987486837419-0.000203639149295291i,-0.03722768101601+0.000449195281076582i,0.0187936852378021-7.79928294136596e-05i,-0.0134561331852348+0.000333740101623466i
-0.0013215601307692-2.1609411503307e-05i,0.00488644422811683+8.70823302432922e-05i,-0.0163436140886418-0.000141449316186835i,-0.0115868272571966+0.000185440776665744i,5.24944704536722e-05-0.000273525208855471i,0.00611030837045504+0.000178422560244507i,0.0377443290690006-0.000250423299342948i
-0.00197665390244133-5.21618557103558e-05i,-0.0356019826344569-0.000147635801157371i,-0.00847805056730416-0.00052109905164117i,-0.00423881743256478+0.000117666122062724i,0.0332554752965516+1.69806569066447e-05i,-0.0302798498144311-0.000103978536288908i,0.0398461223450567-1.76988036293878e-06i
-0.00155598385521469-3.98529504236728e-05i,0.0353334095879622+0.000233799186312796i,-0.019902784215494-3.71861210906497e-05i,-0.0218722071722377+0.00020816074866404i,-0.0175996337494708-0.000385098832140565i,0.0206633408379679+0.000236215066640737i,0.0321902878649714-0.0003369811896143i
