0.014502298524356-4.76423460633608e-06i,-0.00737894455969932+0.000109465785643859i,-0.00118284120430849-9.76302533367218e-05i,-0.0459914575572942+5.9331903075941e-05i,0.0401674598249499+0.00023106064152515i,-0.0295613339501939+0.000282221443673651i,0.0251390417898121-0.000171632892168093i
0.0155939392279484-3.06172648401372e-05i,-0.00719575175864545+7.54771507741079e-05i,0.00133110247340629-7.17015033923199e-05i,0.0521641438868231+0.000158175443860296i,0.0546326404748746+2.23850048437611e-05i,-0.0202411215244852+0.000102971089160717i,-0.059620686881498-9.23229456085559e-05i
-0.0155293879240005+4.04486844662078e-05i,0.0454246510397142-1.91375796105511e-05i,0.00819151080966268+4.80300174153232e-05i,-0.00341302851163626-0.000244594004210063i,0.0111537400896969+9.55458325197549e-05i,-0.0335733374387908+2.66739710574434e-05i,0.0595353906102584-3.43407279033189e-05i
-0.00730354187909339+2.95693127245342e-06i,0.0122661377638987+0.00015270455278571i,-0.0143995411184543-0.000149542621755683i,0.00480148153199062+2.55815214721589e-05i,-0.0368932866018373+0.000137670281532256i,-0.00901330933541228+0.00012188893336135i,-0.0784106341027867-8.76876250516333e-05i
-0.000757664538672338-2.88424653228457e-05i,-0.0297057701669773-4.16583447244025e-05i,-0.0607581304041704+4.06159267503795e-05i,0.000186602817177111-0.00016416707098074i,-0.0162951958373968-0.00017509324747195i,-0.0555653916060728-0.000233285237909906i,-0.00639620224466517+8.55543711883937e-05i
-0.0201126739060628+2.25106081544583e-05i,0.0517706855903178+1.86577056141776e-05i,0.0394961203688212+4.75544191571469e-05i,0.0401839279629804+3.8575361020222e-05i,0.0302483107027482+5.58907574619771e-05i,-0.0377443502237132-4.08020465411402e-06i,-0.0308827893314786-6.49253211117977e-06i
0.00366541603844422+1.27130338922393e-05i,0.000581230504915435-0.000149027618118475i,-0.0774338141999587+0.000152679507262311i,-0.00454757470768258-0.000272961120070565i,0.0164744413521725-0.00012465416359426i,-0.0711432018282233-0.000170482417904973i,0.0710018617371311+2.26457140840496e-05i
-0.0142049104506206-2.7241470572923e-05i,-0.0202580816340394+7.62699192198941e-05i,-0.0298131792830743+8.63135419796632e-05i,-0.0891436600769845-3.95936202038027e-05i,-0.0828608126347562-7.65321343467327e-05i,-0.0179835540289811-0.0001056043235168i,0.0346970216185537+3.953953936201e-05i
0.00984316090619789-1.03439987920733e-05i,-0.00863501117459918+0.000206144755536226i,0.0539836382767345-0.000327381186082699i,0.0233763661115089+1.09211910633521e-06i,0.0660570504504627+0.000443853228991112i,0.0948708928058867+0.000432586323839067i,0.0564169160313218-0.00022035466757719i
0.00810226538999359+5.57167349442603e-06i,0.00530344303646453+0.000215671192406354i,0.0133706687179404-0.000323260082181629i,0.0230155654090984-0.000180585640910474i,-0.0082013320461949+0.000306449322984824i,0.129162552934112+7.13665458896574e-05i,-0.0311533424957891-4.71690795674913e-05i
