0.0289836838836377-1.89881033279084e-05i,-0.031118664024615+4.25384413854198e-05i,-0.0143101207689687+1.94914856341592e-05i,-0.0225954555041529-0.000147432367938307i,0.000617401304577244-4.64547403440787e-06i,-0.0635051408538194-0.000135878206966381i,0.00723171130161661+6.91356219316776e-05i
-0.0125864900733153+2.02587305012143e-05i,-0.00644437557281355+1.55743272468637e-05i,-0.0171374133404305+4.13144765774349e-05i,-0.0335260203422424-2.54615020649023e-06i,-0.0302950873806513-4.06620736723944e-05i,-0.0087562013784518-2.11186580772171e-05i,0.0151581448984958-1.27756409676634e-05i
-0.0611976409683777+6.13195329165933e-05i,0.00781382337233475+1.14519569103609e-05i,-0.0361340911244922+4.54953963453526e-06i,0.0315961091677601+7.88275314113557e-05i,-0.0421060656199207-3.63028399644491e-05i,0.0413903180266055+0.000152618662123784i,0.0854778231590879-0.000145898679554465i
0.0410763882129356-2.04504311786235e-05i,-0.013794791921338-3.22960475896921e-05i,-0.0250821916596397-8.34086376669653e-06i,-0.13004790212379-0.000221065581791957i,-0.00591508065676891+6.85646071691287e-05i,-0.0474845404400912-0.000178179005396774i,0.0576405494215045+0.000182022828035659i
-0.0225452246038988+8.66575999902273e-05i,-0.026656263338411+7.53425658616962e-05i,-0.0374749280653353+8.888898411809e-05i,0.00531169042830848-8.74783647677131e-05i,-0.00744872778814707-6.75239093585669e-05i,0.0565577093472603+8.90938459470181e-05i,0.0803682635928864-0.000177430299079158i
0.0523325183665358+3.37662615552583e-05i,-0.0773769321661406-4.77691517697203e-06i,-0.0158486263989178+8.01090898212012e-05i,-0.0841481972089249-4.91048403572461e-05i,-3.77285353296071e-05-5.41575950291492e-06i,-0.0594835402114988+6.99845372556193e-07i,-0.0250746433597514-6.08773966754764e-05i
-0.0324566871901883-7.806307158425e-05i,-0.0827479147833221-6.19940637687822e-05i,-0.0485038157029616-1.84694396772296e-05i,-0.011667954134231+0.000200841390713147i,-0.0224707401337578-1.53619097127851e-05i,0.0544865372649565+5.78391031038534e-05i,-0.0177763241418404+8.87071759815513e-05i
-0.0292294875416965+0.000198413020598251i,-0.00625910689298783+0.000156760979700131i,-0.0584062872572852+0.000225221436021406i,0.0180855442822032-0.000216944983437971i,0.0176430280833146-0.000195034172120981i,0.0482757292124662+6.96921098602111e-05i,0.0497516421528804-0.000370209042712758i
0.00732675128224862-3.42236684401147e-05i,-0.053044205894547+0.000156357688778111i,0.0641309986371072+1.36649193272642e-05i,0.0734190477508723-0.000151691530337734i,-0.0933153775135434-0.000138323004864666i,0.015258681487116-0.000281758496666235i,-0.0876909327008924+3.38796644218133e-05i
0.0106384218547253-1.81041503627641e-05i,-0.0133558083553739-7.06087279578934e-06i,-0.0709712661780253+2.01756308328843e-05i,0.0276023989782555+8.77954685072168e-05i,0.0857503139078888+3.18518906207799e-05i,0.0191240885754603+0.000150226863851428i,0.0250378740169467-2.61574731707713e-05i
-0.0362099542501176-7.83001426743709e-05i,-0.0537345507447387-7.22180931903378e-05i,-0.0634511619467689-5.43820363501506e-05i,0.0307390998697687+0.00025842895239484i,0.0208316609435305+2.11368846852513e-05i,-0.0378476497112721+0.000105627652054484i,-0.0217847020613115+6.53879583843725e-05i
0.00377893054986857+3.22527754836397e-05i,-0.0163092802403714-3.15159865614152e-05i,-0.0286863662840714+4.26496005165181e-06i,0.0371782270864525+0.000119015801786552i,0.0685064052598813+2.8142470934482e-05i,0.0521371736643851+0.000239976994329551i,0.0303687826575606-0.00011747480541093i
-0.0356966874478271+1.17352130130285e-05i,-0.0496542724502496-5.25462046088914e-05i,-0.00894363714152184-7.7886701518754e-05i,-0.00141648605171743+0.000226864881412879i,-0.0808701697530298+3.1670657168881e-05i,0.073100424447091+0.000209026912580027i,0.00975813590614741-6.43268123738345e-05i
