-3.40815116244329-0.00369374890421368i,0.25987312318262+0.0633525364836051i,0.350905566540424+0.0421121306261578i,0.102261180293944-0.0112194647161561i,-0.309780270206076-0.0344945762337895i,-0.00434525812973222+0.0101650615385094i,0.0285452800618273-0.0112456904815982i
-0.00716458464388957-0.00119765167043962i,0.0264408734058774+0.0141227435072809i,0.00965866032787258-0.0321251651751384i,0.0532428951224101+0.0100642178511052i,0.0527065110560484+0.00353603125091455i,0.030523511096202-0.00215577739187204i,0.0408791353614462+0.00881737767757261i
-0.0535860483672513-0.00022898792135362i,0.00505391552524904+0.0116905391532723i,-0.0105120652047913-0.00544910421240592i,-0.011745728445855-0.00465099607280022i,0.0179186903882778-0.00321014670739667i,0.0319365430759788+0.00254447149463817i,-0.0306304558070937+0.00290370623502333i
0.0157795976192678+0.00162893438286612i,0.0372000264087255+0.00089054436803657i,-0.00270985191645366+0.032316810844947i,0.0256072904296406-0.0198228398525937i,-0.00124956669425564-0.00114770311616568i,0.00298316010597493-0.0124997228900139i,0.00527495393056051-0.0218125258327226i
0.0262364207891648+0.00117906795903161i,0.00145683116250687+0.000914373168738771i,0.0137571696564472+0.0188015379759303i,0.0204656807398356-0.0244494039936538i,-0.0258440478523393+0.0054675628224388i,-0.00812121020729482-0.00138772016863361i,0.0108242121139057-0.00859717246230404i
-0.0338261085300847+0.00166653768074091i,0.0108026712966634+0.00996142976766046i,-0.00967644027642242+0.00867723466596995i,0.0381141584974206+0.000481351664179072i,-0.0219372238662604-0.0125067060601288i,-0.0137079105824153-0.0123301345656037i,-0.0273523423455309-0.016693946853044i
-0.00634587482727608-0.000724432264316848i,-0.017191136495403-0.00295867338052803i,0.0010221226984623-0.00842402577447184i,-0.000831446063327317-0.00107188297218233i,0.0197382871575776+0.00809592772659465i,0.016661945135723+0.0031872561120826i,0.000856824081773425+0.00727738213605007i
0.0191536728994623-0.00108463709395641i,0.0319413814425569+0.000552841367103211i,0.00463543252852595+0.00639524083555682i,-0.0121547065180303+0.00301487839825005i,-0.0130373847598486+0.0075536588674561i,-0.00351802622029205-0.00317945627047492i,0.0480997009729494-0.00842188246565949i
-0.0253173739180436+0.00127732537161026i,-0.0161809541268048-0.00795131278596672i,-0.000662888738005936+0.0117067223807462i,-0.0303360807072454-0.0109568704814772i,0.0524940102658355-0.000635612927088953i,0.0220647555657793-0.00156890615426726i,-0.0159344193698563+0.00294297661573164i
-0.00132770238749423-0.000923448985695185i,-0.00848011923480361+0.00392051943132863i,0.020642381444215+0.000911616447431228i,-0.0151998212447253+0.00715097230765112i,-0.0399627080582804+0.00699681317563157i,-0.0157133514952115+0.00083134745220932i,-0.0059161562306779-0.00873569150830868i
0.0111914854869888-0.000328162703208731i,0.0034335731708799-0.00853649493903543i,0.0115598459698353+0.00933807740354356i,0.0134899745639836-0.00608732520568371i,0.00618580341145981+0.0082469144411041i,0.00766924520514752+0.00227644849047995i,0.0110642016840658-0.000909832910924033i
0.00756871491524774-0.000978193303613697i,0.0268624745867785-0.0287398777514703i,-0.00307205293564741+0.00868385262711283i,0.0222704817267796+0.0123958415643632i,0.0550149966592565+0.00167515422105595i,0.0320135353653578+0.00155036202502421i,0.0254849690274229+0.00856849144954442i
-0.0139070569864666+0.002816529089087i,-0.0360867243945614-0.0232332918285361i,-0.0270443721139561+0.0387645380262479i,0.00668673487528241-0.0214019927339325i,-0.0244508753466997+0.00237769624072843i,-0.0258506168950961-0.00973186037726491i,-0.0370123223495779-0.0127318838240099i
-0.0165858489233993-0.000676430157821927i,-0.0106648483048807-0.0274748530685748i,-0.00618384668822622-0.0029502478965028i,0.00220366064893308+0.0148496845853286i,0.0510059826964513+0.00534770954184297i,0.0520368249312556+0.00190150112220528i,0.0108058792798326+0.0126708670917813i
0.0081700837390199-0.00113881536895366i,-0.0180164819549014-0.014716441987218i,-0.00276174861406055+0.00658002991824165i,-0.0162002722551136+0.0199649062830974i,-0.0336516084663574+0.00894487176100481i,-0.00327464074696051-0.00157338139868252i,-0.0123148104357759-0.00708487191711354i
0.0348083808399578-0.000584664460348675i,0.018096463460425-0.00416988529227118i,0.0214996833759937+0.0118118921092361i,0.000165061379034009-0.00419118619467115i,-0.0190314180850169+0.00787135163291088i,0.0191208529898057+0.00131122654620783i,0.0352599178565269-0.0057877044262956i
0.0039986047486912-0.00152109933651902i,0.0191562480291793-0.0112089983583597i,0.0135138125694107+0.0045055583697166i,0.0176873106173766+0.00899724111820349i,0.00275781459251162+0.00395011866080566i,0.0290633009849547+0.00377814914447813i,0.010767468587963+0.00292563064155301i
0.013137503668764-0.00199886915870488i,0.0099999521393391+0.0234752042670562i,-0.00935922615365651-0.0294091908894483i,-0.0188414657921+0.00414314560198446i,-0.00592198708180876+0.00820877602521474i,-0.0101767594826352+0.000146641600850835i,0.0435909732318319+0.00557527135661688i
-0.00538241046215961-0.00102253417700961i,0.00918544168527493-0.0123605589399226i,0.000583229367896034+0.00236558293052568i,-0.0101997984079991+0.0151345929567605i,0.00933297253705076-0.00996977252575001i,0.0192112885357669+0.00895867589715225i,-0.0298600068960284+0.00745746998208018i
0.0492158813666423-0.00169000053046526i,0.0431431248435821+0.0141027576772957i,-0.00816140678420273+0.00277784767286267i,0.00497139008848994-0.0073241481505303i,-0.0148137857634728+0.0114541994447478i,-0.0053918984190825+0.00049705125326934i,0.0258071417684214-0.00898488656188954i
-0.0212172098920851+6.82434410850408e-05i,0.000798766334735834+0.00574831866373775i,-0.0101684712443818-0.00477053890959015i,-0.0246562659559277+0.00043584317144546i,0.0159810906031875-0.00229350181729756i,0.0306831148330431+0.00142082348541032i,-0.0178374544233112+0.00196869464249086i
0.0167261838298726+0.00115878586591318i,-0.0191974809899395-0.0314111621494265i,0.0120143741579138+0.009496540952713i,0.0285031004408203-0.00405706758923271i,0.0170642632473734+0.00397235748082055i,0.0215653023872866+0.00024933924333604i,0.0392787392999082+0.01165927574578i
0.0158055161565171+0.00300217592565905i,-0.0149944873834517-0.0014792549297872i,0.000699140231500878+0.0424477151838187i,-0.00275298371893222-0.0302322279011188i,-0.0226905104144697-0.00460962269613452i,-0.00098303220790096-0.00803704523747477i,-0.0518230958631758-0.0220883036383151i
-0.0113338724050622-0.000386483222879472i,0.0238087540051621-0.00103098739935235i,-0.0407704550005538-0.0117058676794446i,0.00864384952796183+0.00819526930578421i,0.0441017705015931-0.0101391559004997i,0.0564900407135247-0.00132514093882529i,-0.00335307110479344+0.0105267372354877i
0.000624635107698267+0.00249583305593272i,-0.0110500229748609-0.0264852164892951i,0.0194985394513327+0.0366217770263604i,0.0170104967523712-0.00360907041267139i,-0.00623551806404516-0.00772048199002592i,-0.0245087742678064-0.00629497803754914i,-0.0189035392447286-0.0125822420681779i
0.0249911503649622-0.0013651983883057i,0.0199616375346477+0.0155490217016891i,0.0341374603785188-0.027032740791338i,0.0468823474546117+0.00148084972857606i,0.0242829589048944+0.00336505484169606i,0.00622665527484299+0.00635884270894493i,0.0390853842669872+0.0102097849112275i
-0.021317985041927-0.000826212253195847i,-0.0126078038239806-0.0250558356626387i,-0.0260277048494749+0.0286786545219675i,-0.026802645817661+0.00284195883546886i,-0.0209352606217619+0.00723168891036833i,-0.00954239452975114+7.86668364933206e-06i,-0.0280313959467413-0.00684278517219614i
-0.0193491630663804-0.00213310379194564i,-0.0176605527180515+0.0201046399512581i,-0.0192558493290369-0.0405371973425213i,-0.0045282911773668+0.0246985041443779i,-0.0112426833687192-0.00216166933049683i,0.0193966815010069+0.00781107284189801i,-0.0285882814713272+0.0123328642902505i
0.028195730516144-8.2933395586278e-05i,0.0313851054369828-0.00873575637823706i,0.0405301185798306-0.00441075351605127i,0.02442486643733-0.00499058650337431i,0.0353315865778868+0.00330893929467078i,-0.000772837119923673+0.00499199446941542i,0.0791390827952958+0.0118480626078283i
-0.00245671231374165-0.00216753409865917i,0.00441329562284305+0.0175270243513279i,0.00875552411749913-0.0217670428704345i,-0.00634599116873099+0.009472124638158i,-0.00100404479720171+0.00765697713686237i,0.0116838269390796+0.00435277950519522i,0.00210862472736014+0.00278835437733611i
0.0266022888063324-0.00180722570202896i,0.010712289818395+0.0221316785399207i,-0.00709841219226748-0.0125524040000217i,-0.00331966668705276-0.000458802901369727i,-0.034041219231307+0.0136126815979731i,-0.00663437329177244-0.0035732314870676i,0.0183035323092623-0.00816879088507869i
-0.0138524026797251+0.000299730863310661i,-0.0108211604496769+0.00896205701486651i,-0.002002933612049-0.00157890741328903i,0.00188260715069368-0.0160333578710288i,-0.0113358699224472+0.00303664145879765i,-0.0151291325037266+0.000333252009414858i,0.0108982457788325+0.00180884902519821i
