0.00859653060205095-0.000763429803004572i,-0.020015026825342-0.00541572616026652i,-0.0151530844733541+0.0251911187387156i,-0.0347960796791819-0.0181539744756145i,-0.0371913240763506+0.0100604874406629i,0.020907415223392-0.00583670943368475i,-0.0128652668117019-0.00671613515215708i
-0.00665005358862374-0.000393899031049757i,0.0433855132669014-0.000347770381007603i,0.00237942086697219+0.0281951832326456i,0.0635953251076946-0.00307536753423077i,0.019255066129062+0.00753838967010334i,-0.0167792704288071-0.00303306279164474i,-0.0406123008173364-0.0417551422142024i
0.000419227002898797-0.000566342852101802i,0.00773619517208692+0.0239767049520471i,0.0139212993316731-0.0246654040050558i,-0.0127854461318366-0.00757200331193339i,-0.00462805461703477-0.00243184135077001i,0.024027189366697-0.000622396609731004i,0.0315752078774832+0.00790575528096491i
0.0095071804579062+0.000958499040733538i,0.00845649030483934-0.00864821893938889i,-0.0129221731643123+0.0231864607105738i,-0.0619812138548003-0.0108182121827187i,-0.0248631554807647+0.0100058230935127i,-0.0321015523029579-0.00847646527406312i,0.0306233525429513-0.00344164609659814i
-0.00425613778792298-0.00196100527624914i,0.016932648976326-0.000884972711829144i,0.00639019628223123-0.00672027772211365i,0.053918368186254-0.00667678224695691i,0.0308113188855887+0.00724680334762523i,0.000585446151581786+0.00082486909171128i,0.0126990184789113-0.00561272328061281i
-0.0032365295096453-0.000460630164762699i,-0.00712305960070965+0.00106460880219415i,0.0067340355066227-0.00618826030598406i,-0.0012615154151809+0.00736022722974922i,-0.0114123069366005-0.00345812239838633i,0.00748926052418639-0.000875596542052711i,0.0020383650715287+0.00514777555689906i
0.0085627254516109-0.000920776623643439i,-0.0201143294706148-0.0173180682642032i,2.94077824519481e-05+0.0125068220475124i,0.00904500216139775-0.00122219468953595i,-0.0301709096372342+0.00548414033824088i,-0.00221401755708405-0.0013611667073698i,0.00545553103590465+0.00447152956156121i
0.0116583314626023+0.00114027902957395i,0.0115218460974094-0.0323426509824447i,-0.000347765215841036+0.0375012105256443i,0.0152516158178239+0.00320212653523482i,-0.00404263021289514+0.007341569249531i,-0.0294735003383643-0.00115301694095215i,0.00247878575886282-0.00579156746137855i
-0.0165288138244534-0.00226988069002351i,0.0105329911767435-0.0341850903010097i,-0.0339710114360954+0.0420001204269597i,0.00766234811261337-0.0154665707518208i,0.0689292174794509+0.0211929515998939i,0.0111981090640259-0.00809114452556038i,-0.0257681166802915-0.0195816381168629i
0.00556739969891845-0.000614309904736774i,0.0256469212840005-0.0125114270482839i,0.0293211591694322+0.0146857359219366i,0.015161121027863-0.00350075790774895i,-0.00489481858182456+0.00284962057302602i,0.027318811074888-0.0023795689402169i,0.0433408640992599+0.000339491594933113i
-0.0066141446480474-0.00147509496956914i,-0.00750633004842954-0.0144103004266256i,-0.0229310056240646+0.00796159282775009i,-0.0342833524484848+0.00519133797069913i,-0.000442629870340279+0.00903703869179592i,0.0438414869390036-0.0100247970139896i,0.00627057288929161+0.00108217152787624i
