0.000270712920363018-0.000552366845835955i,0.000803511801886948+0.00618058722404002i,0.000737481644597756-0.00519104913883785i,0.00301464080273088+0.000546845058585655i,0.00240677132576258-0.00636398973296382i,-9.02672748696425e-05+0.00387222481694395i,0.00331860874330303-0.00271956039984908i
-0.000667848048757635+0.000425558503156062i,0.00985488381278497+0.0114283488917897i,0.00491540425363887-0.016626219328194i,7.51860001124667e-05+0.00404620125225756i,0.0254768946928985+0.0150144253162544i,0.0213443653452809+0.00629209147873941i,0.0116064387141177+0.00383142624273366i
0.011043606120968+0.00245273077618007i,0.0248689230820658+0.0127212346728659i,0.00982933591641267-0.017644703416444i,0.00512482235440252+0.00674821380051372i,0.0333814349728757+0.0245735741803745i,0.00977018985317919+0.00215615155574921i,0.0143710980068657+0.00879444707020009i
-0.0254054565858611-0.0040661642528015i,-0.0082101979114313-0.0160438747276065i,0.00271991489104603+0.027147928393339i,-0.0105983862907687-0.00745684623216732i,-0.0310263947400782-0.0150471043670217i,-0.0234687145256132-0.019506490731147i,-0.0059619627775193-0.0123319799398469i
0.000699482754453143-0.000829570128339166i,-0.0061871892751225+0.00122963539047139i,0.00265063095234627+0.00288490478342606i,-0.00942174693780957-0.00628707469712945i,-0.0222792703338776-0.0188473186290319i,-0.00471267601310545-0.00238813376934232i,-0.00562717688694199+0.00920277651783311i
0.00142914746860075+0.000564581614051707i,0.0125151434351428+0.00167834491804569i,0.00901657655543184-0.00856346426368252i,0.00246650508881471+0.00630473760410327i,0.0208852631831234+0.0217205079655265i,0.0135932438072029-0.000300665919450087i,0.010285334754423+0.0105041069084307i
-0.00162272007458642-0.000576058255989695i,-0.00550154905657685-0.00364869514618269i,0.000388773680822155+0.00816775308420344i,-0.0135154467545206-0.00761580304078588i,-0.0123331020306851-0.007496182569318i,-0.00678189064930918-0.000126445189392666i,-0.0110596574172305+0.00677497539087955i
0.00229454911903364+0.00108392832431137i,0.00162838302711927-0.0065039129361158i,-0.00186456572347121-0.000561099869286282i,0.0181807234501628+0.00962724308416163i,0.00348502111139423+0.0111586024056768i,0.00178890937381036-0.00575797201316429i,0.00898883272164475-0.00542662562565753i
0.000439624172919728+0.000245806219056567i,0.00650031483265492+0.0109866529228674i,0.000941487305243657-0.0200821733793294i,0.0012886736291103+0.00197628943811481i,0.0135333969294102+0.00770370094646375i,0.014316655606474+0.00529364937603203i,0.00561956416968604+0.0196608258414329i
-0.0015447113727464-1.13401671109155e-05i,-0.00443964943138611-0.0194099532217296i,-0.00151528971302114+0.0202409440428004i,0.00796176653933622+0.00153476452422775i,-0.00996098720431012+0.0102806847814709i,-0.0108087251980773-0.0130512373629285i,-0.000175302774068325-0.0073292014206509i
-0.006900825797955-0.000963713116029712i,-0.00773264438046847+0.003405253787398i,-0.00407048067184692-0.000807732931649755i,-0.0221877464010246-0.0076314228932793i,5.78699982560051e-06-0.00923840216649507i,0.00516252584775814+0.00195239294855158i,-0.00847623935236486-0.011221169397149i
-0.00171398542831936-0.000141766405031298i,-0.00392147583192858+0.00931520825871331i,-0.00481439343107072-0.010656884632667i,-0.00798410046942517+0.000162562158642507i,0.00536016039807325-0.00904373263722905i,0.00975824210464048+0.00668180760902889i,-0.0037298250231869-0.00967144537916353i
0.00145951033336355-8.52549091575933e-05i,-0.00353259839372362+0.00476062895549481i,0.00176815552387517+0.00109145018705971i,-0.00387402181643179-0.00312952977357366i,-0.0124532160983654-0.0151302290627294i,-0.00183088990203333+0.00356065176293882i,-0.00357551597699765+0.000306487308084711i
0.00691010093887476+0.0013848777551236i,0.0178589422686453+0.0068455227136087i,0.0123525790698919-0.00489479214039644i,0.0166376798029208+0.00924385867878247i,0.017725746057059+0.0112349946274964i,0.00280166724660733+0.00398928424033764i,0.0190100656582467-0.000474699285449607i
-0.00188919739144172-0.000240895751834782i,-0.0153250165588577-0.015275604540551i,-0.00926117586411304+0.0130921587798743i,0.0049105959041193-0.00257903597736421i,-0.0261412069409399-0.00813212423749887i,-0.00991296737754164-0.00840607382889999i,-0.00863229742513729+0.00141510501938678i
-0.00282363561784275-0.000256405609749221i,-0.0201725922899997-0.000493415821275905i,-0.0157113768581897+0.00230930418789219i,-0.00447468966766237-0.00917312945455551i,-0.0266056836749627-0.0224100384271329i,-0.00487205006742088+0.00663469622902619i,-0.0208422109371051+0.0054426576978537i
-0.00505349289797949-0.000803244488677614i,-0.00766360933775946-0.0160812026237218i,-0.00419921008235723+0.0129680729008221i,-0.0171724095119578-0.00612542925016311i,-0.00565723088959805+0.00475800715310692i,-0.0107859540502638-0.0111255840588436i,-0.0094726614228709+3.0175988747134e-05i
-0.00339640382370757-0.000744761638703354i,-0.0152966823443712+0.00423735095691902i,-0.0128512902061759-0.00268309837711798i,-0.00529015610022837-0.00588920860070657i,-0.0216395881063016-0.0261470930912719i,-0.00609855948896894+0.00442132418643748i,-0.0153610398271677-0.00478142021894249i
-0.00226207442098712-0.000214131113732882i,-0.00485857413855298+0.0186399536704609i,-0.00688231061906287-0.0226426057009661i,-0.00185805125655423-0.00180753374842677i,0.00504201154052611-0.0103960212510665i,0.0214662006192155+0.0110540326075484i,0.00128853768016566+0.000137659099061552i
0.00404138901417294+0.000767850714224844i,0.000761902436778376-0.00647753474399178i,0.000180690319451132+0.0100195637351545i,0.0132862051629983+0.00186943404617928i,-0.00879988669664485+0.000896048493603362i,-0.0103046655588572-0.00276041013464526i,0.00149896521977605-0.00174883887373046i
0.0202527219198314+0.00223473585363935i,0.016648065243016+0.0156486483448515i,0.00500381634020572-0.0176587011370864i,0.0110281999698832+0.0113831843848266i,0.0371707065052823+0.0138684131866035i,0.0139207016172321+0.0124758222489474i,0.0179956176850088-0.0146473326349361i
