0.00250800381153088+0.00545347101020261i,0.0198502751457284+0.0100999938723909i,-0.00510865512257129-0.00209987893455485i,0.025098082238396+0.015716025370922i,-0.0107818192599708-0.00233368677627533i,-0.00669632819381092+0.0328459941230692i,0.00819904207787547+0.0226423640070054i
-0.0134668425223591-0.00107482651411273i,-0.00451039163563973-0.0106153866244695i,-0.0207962265874249-0.016563722201274i,0.0199796934724675+0.00939098938803605i,0.0475465288016158+0.0134430795934509i,-0.00419653076361773+0.00165791237613993i,0.0181863700451833+0.00914127241934521i
0.0106858447881652+0.00364395570151613i,0.0275791504086617+0.0135091688656166i,0.0251565361878016-0.00924450332454564i,-0.00504934622344273-0.00489087678416881i,0.00722246624419304-0.00899935815581941i,-0.0210872183253439+0.00625063587505048i,0.00940290752283506+0.0133647546590126i
0.00968327773315277-0.000306696585430833i,0.00250587008109017-0.00528121905281092i,0.0110081509596475+0.00371562000723766i,0.0157514136080668-0.00269989360467326i,-0.0126672073352854-0.00659649038796922i,-0.0123608281047415-0.00585145420027281i,-0.00723468970502571+0.00208234616143774i
-0.0029871299346878+0.0049902363979501i,0.00721490833533464+0.0126528109211639i,0.0224965460962332-0.0124111128816465i,0.000129692783952174+0.0145537863100909i,0.0154614940732906-0.00700950312923019i,0.0235415129386543+0.0189003488113202i,0.0397796838222767+0.0231041540783046i
-0.0052130696433182-0.0016848788967015i,-0.0140924470358037-0.0158441482611456i,-0.0122125351000033+0.00898670205450097i,0.00831149665320452+0.000913731468941852i,0.0100548944914519+0.00612409986075673i,-0.0157865085038944-0.000144295925870402i,-0.0103250760104554-0.0108311705283253i
0.00912219032491188-0.000159655742981377i,0.00400695536599164+0.000906263688926167i,0.0113608967766743-0.00174024724109406i,0.0324036399394615-0.000637801133891678i,-0.0207761881006228-0.00849376062063598i,0.00651757716028767-0.00188556495739198i,-0.0276281631866157+0.00719031813335909i
-0.0100787162160963+0.000151236913273781i,-0.00409047260522026+0.000392103931971194i,0.000555534472908773-0.00310907490651239i,-0.0291401091285958+0.00107440429195117i,0.0194776576475097-0.0039736666943691i,0.00176926535401124+0.0110460994440113i,0.0124143629712461+0.00496177361930356i
0.000766847574622373-0.00136946784820022i,0.00213379755195024+0.000134797587958133i,0.01161492924245+0.00643651018974404i,0.000186857163134039-0.00441993281035046i,0.00277423062544477+0.00230713168826326i,0.00341567896641593-0.0124666049006419i,0.00712164731872489-0.00577122977174407i
0.00459057455129163-0.000696019732809646i,0.0186756386169054+0.00711563304948819i,0.00311373064533018+7.01646355472461e-05i,-0.0019898584810993-0.00867637134876206i,-0.000186937197250936-0.00108281513286874i,-0.0109373114804117-0.00389495789912799i,-0.0111130857344494-0.00360084960764886i
0.000800357353538747+0.00168343916680372i,0.0118122418255748+0.0154455068657525i,-0.00839691798636043-0.0236122957743523i,-0.00300749459181179-0.00146407898400484i,-0.00954345080354962-0.00558284591598034i,-0.0104010904925496+0.0101729791655347i,-0.0094573705912595+0.0216481982749332i
-0.00397523993794041-0.000118673095725602i,-0.0397544042538637-0.00306569031745104i,0.011489890122399-0.0268018879081752i,-0.0122186250840893+0.00988089561766663i,-0.00132597294617584-0.013793490499936i,0.0349611816420354-0.0036401858226454i,0.0246496963444666+0.0194563988927144i
