0.00105600403576383+0.00125169870760261i,0.0233202223282226+0.0147613071460982i,-0.00282941515659328+0.0104930600404811i,0.0147935655999115+0.00695352725658179i,0.00590562079038385+0.0106947956604139i,-0.0267389110738855+0.00194873767172761i,0.0128419812121352+0.00532315783730794i
-0.00244696346717961-0.000498454156617755i,-0.0118028536095597-0.00373115864758633i,0.00204677419165775+0.0119196629644046i,-0.0139729272793056+0.00324745512142648i,-0.00642429234822824+0.0020087361685228i,0.0279293884012625+0.00417374629852091i,-0.00673900180944543-0.0111854594554981i
-0.00683983547997394-0.000888225112067811i,0.000269993132541159-0.00332447137073621i,-0.00613641981282738-0.0203880591672786i,-0.00395004907161547-0.00688944604871684i,0.0231343840560587-0.00526775728369491i,0.00438916609345459+0.00378721780469342i,-0.00237446173263462+0.0121782724615886i
-0.00115460651651157-0.000353821091058668i,0.0118252495308383-0.000804895296688011i,-0.00253786778052016-0.0177705660920313i,0.00220492005518109-0.00989486088156745i,0.014541155079302-0.00632747343408992i,-0.00750499787374933-0.00220728076830847i,-0.00457897336556386+0.00739085453308254i
0.00141218401088875-0.00039545559139957i,-0.0128095871675423-0.00700835152806929i,-0.00476910878372206-0.013341579426887i,-0.00703971831263457-0.00776659524441982i,-0.00512736247360835-0.0027418107706534i,-0.00382292967100209-0.00825172580280382i,0.00447623186318908-0.000398633831704537i
0.00730348743689513+0.00142718272419373i,0.0210653094272172+0.013523399859988i,0.013087976482566+0.0149291453769966i,0.0143174480958621+0.00503323140391379i,-0.0202315224976403+0.00115668256766845i,-0.00785114941750548+9.9594064075839e-05i,-0.0133906972880964-0.0128823492189034i
-0.00230590903310044-0.000938453089473992i,-0.0212508428551416-0.0102798389339399i,-0.00452064274464603-0.00472634043984689i,-0.0268167456980843-0.00820281025615623i,-0.00135032813558404+0.00225463500296773i,0.0187326256841962-0.00698826433136973i,0.0118370496997539-0.00809353351781261i
-0.00315608162696862-0.00086688269863215i,-0.0260605390506082-0.0111434559455723i,-0.00658374076343635-0.0202361498123575i,-0.0269240338007931-0.0199878853154111i,0.00646618336348766-0.00572501361871867i,-0.00306185504159573-0.0135861101624283i,0.0212466948126668+0.0096699399953157i
-0.00511154500145634-0.000626734907223013i,-0.0205791745720139-0.0105935896604836i,-0.00376483139675426+0.00212856637848517i,-0.00117452784679022+0.0134077047669989i,0.0135229688182001+0.00124930417021589i,0.022590603013531+0.00783303464658265i,0.00665569357306022+0.00828937612612518i
-0.00347877640099339-0.00165855660293877i,-0.0247630600645989-0.0225461335066011i,-0.00740716364025939-0.0255285564903891i,-0.0108550564155388-0.0178960264743349i,0.00872096713668961-0.00873782683701901i,-0.00341852130398759-0.0138505056842439i,0.0101893373273487+0.00493213183916179i
