-0.00340714054870053-0.00644728922493341i,-0.025829803379753-0.0584949745689384i,-0.0497420848804809+0.0512084519389764i,0.0407985519389557+0.00115736755163197i,-0.0108354910911907+0.0231905951447282i,0.0772716056326618-0.00722690218829227i,-0.0707799543666742-0.0272086585990147i
0.00802632925541932-0.00234880079376196i,0.00423841507774984-0.0605251178512975i,0.0531178028679266+0.0770910524228768i,0.0712024201035944-0.00101662496773961i,-0.0211502265198079+0.0107710432391675i,0.0236330549223549-0.0027879840069781i,0.0012030418220019-0.0241779762098358i
-0.00262170252881496-0.00242390888084778i,0.0313620044639643-0.017812995224985i,-0.0448302963708512+0.0300596328149452i,-0.000177322459388157-0.0150145214334527i,0.028787188644153+0.0167905123150392i,-0.0124865520746243-0.00640172270856923i,-0.0468008302710266-0.0245750862710235i
0.0206724763660806+0.00303013402522979i,-0.0388869351677951+0.0292383846002248i,0.0132872402051823-0.0261113800373973i,-0.0157976056216277+0.00888982526856967i,-0.0478539481492184-0.016455708275234i,-0.0454478752300385+0.00309036170850152i,-0.0248247299959084+0.0132500402793867i
-0.0152524509017242-0.00164007524703415i,0.000899236646804757-0.0584979060311759i,0.00978373673987124+0.0559767389603364i,0.0412751419678224+0.00491810449644184i,0.0459064090837133+0.00680523570490867i,0.00969482192037818+1.1531156854633e-05i,0.00563388681338217-5.94105662823519e-05i
-0.0136090101140754+0.0030204253853351i,-0.0136794064954037+0.0321270442940295i,0.0433735088160393-0.0468592855670425i,0.080121273069805+0.0315583327428253i,0.0146444474601155-0.0277901819954751i,0.000353771820766858+8.17141058888551e-05i,-0.0301331653805105+0.02362066270152i
0.0289597655153822+0.0026565810410545i,-0.0201545869330833+0.0145279863500383i,0.00774843799847163-0.0145669954296597i,-0.0694963778148473-0.00607609221073568i,-0.0595787725057228-0.00683130610651538i,-0.0599485781330497+0.00675745301771046i,0.0427537487092747+0.00946750457796233i
0.00301273457756541+0.00162002401663823i,-0.0205534081379784+0.0295801218193903i,0.00811786618196587-0.0448090332728805i,0.0523087867859785+0.0175146710119248i,-0.0383009644793016-0.0109235117783545i,-0.00835534702164758+0.0016305720808432i,0.00183166632725759+0.0193957269915489i
0.00213952977130869+0.000873529127527856i,-0.0297950201906639+0.00854154166432884i,-0.0347570891211869-0.00678897494947156i,-0.0410581754750477-0.00077748424862386i,-0.00937580526384519+0.00186549530998374i,0.0191138151362989+0.000210431809660335i,-0.0105849552038881+0.00535290378017456i
-0.00600708492578602+0.000682950515255619i,0.0104294109419102+0.00390377647964653i,0.0143007940972895-0.00702963761409292i,-0.00606599742427564-0.00357012475737809i,0.0222984181513007-0.000235282846741761i,-0.0292076349884631+0.00174902033687987i,0.0183912403819252+0.00193383821802774i
0.0138789418791269+0.00135346112001i,0.00328860877020296-0.00237965660174064i,0.0572844265510924+0.0215623016446523i,-0.00993339044105505+0.0001486859560818i,-0.0365502239739716-0.0128762831783869i,-0.0201472880637881+0.00316390052338617i,0.0195463947714041-0.00267235467888455i
-0.00623789453261813+0.00272514572873783i,0.0367955203826154+0.0511119690399922i,0.047184294987883-0.0628902941972529i,0.0105425942983839+0.0031334017196084i,-0.000154308023260016-0.0150816774574449i,-0.0317893969556759+0.0059626171981252i,0.0711861585522341+0.0205306682284975i
0.00298721186020453+0.00384481628785826i,0.000809600198150165+0.0392629544677419i,0.0362996692402386-0.0156380958425772i,-0.0342050568701171+0.00411938914469263i,-0.0371176776929222-0.02048099702349i,0.0260121383638799+0.00516135718614665i,0.0375910570873488+0.0120131062427399i
0.0167702189174563+0.00064421935929996i,0.0153896092256774+0.00221154840674461i,0.0420200809201548+0.0202238108712614i,0.0369467990904582-0.00320602000356432i,-0.0580773135720357-0.00203223228779486i,-0.0414510172067437-0.00127545264684286i,-0.00316627869915003-0.0167919023434438i
0.0221839997431817+0.000946351642149272i,0.0328794030631883+0.0403869415506406i,-0.0341366190370492-0.00283096553578723i,-0.0448803641159396-0.0232897974196489i,-0.0434030276410061+0.00747975871196252i,-0.058933401221289-0.00677599624245004i,-0.0592094328734617-0.0366472022360596i
-0.0305348601437024+0.00265297399334839i,0.062237940705283+0.0349384190261559i,0.0429006180123921-0.0370410370842727i,-0.0850736004148769-0.00632207221185437i,0.0964267254452026-0.0196621417697169i,0.0225488905081269+0.00573089293002991i,0.0979987363094085+0.0278913876667569i
-0.00496797989585193+0.00271783943903857i,-0.0145489115083216+0.0515985292138276i,0.0552839554875176-0.0441815722288871i,-0.0498477347705491+0.00949705017159564i,-0.00991781988331967-0.0312383310708796i,0.0756345763875963+0.00379216924684743i,0.0224922796315576+0.025746822363576i
0.0143133687094635+0.00207257785324762i,0.0131587794563765+0.0438201514036846i,0.0130679857059059-0.0399707054410365i,0.0270762966602809+0.00404020003449857i,-0.0248959394401018-0.0117124946707999i,-0.0714051387204473-0.00042796103003964i,-0.0292652267097779-0.00182235549763937i
-0.0103801094693359+0.00114124419163767i,0.0290296601302509+0.0255993261069655i,0.00864306519991369-0.00215238931547164i,-0.029471951317772-0.00368008699903311i,0.0454381924413926-0.0146846588365613i,0.0214159363905018-0.00170865336750002i,-0.0318517494151298-0.00429175276819762i
0.00880168718991781-0.003871323714011i,-0.0614977638963079-0.0641376828796754i,-0.0402060310301348-0.00909827263104788i,0.0747900255266106+0.0124809589234775i,-0.0123089698337658+0.0306496723041455i,-0.0457913196370601+0.000785804273590329i,0.0104941028215117+0.00884603622831343i
0.00787112248607375+0.0026964851838316i,-0.00987147428568893+0.0539921722186773i,0.0242393699494062-0.0346706843195313i,0.0210301596665751+0.0149773798539393i,-0.0728237719378714-0.0206217048988635i,0.00703018472968419-0.00274598343628522i,-0.0387340232736463+0.000101133752880052i
-0.0122416252892527-0.000998215024656763i,-0.0141555280421855-0.0322681775615057i,-0.0452530384453756-0.0238658635536524i,0.044966645276577+0.009493988641826i,0.0554335793875466+0.0189128448473237i,-0.0529434323663981+0.00241128132629733i,0.0263704250718221+0.0190918588356486i
-0.00638870531359145-0.00232655794234685i,0.0528842328841884-0.0418663445299864i,0.0544051849366555+0.0825333282878133i,-0.00356852206477895-0.0224055320878029i,0.0205636132478764+0.00944864196753162i,0.0271802859152523-0.00358174168304439i,0.0217684348032764-0.0330915207440002i
0.00637410304522198-0.00194050703653575i,0.00629391029817666-0.0320385381770524i,0.0259252692469015+0.0541480260291439i,0.0155565972974552-0.00595394585749642i,-0.0258198413688405+0.00446185203392713i,0.0261963766692121-0.000843525384214516i,0.00830133821157357-0.0130496257498219i
0.000321103699670929-0.000461814335348565i,-0.0108684812546646+0.00206397764210069i,0.0145482766368022-0.000163939327288991i,-0.0325139673027101+0.00091901678646823i,0.000807026413948879-0.00992550823994476i,0.045848841317564+0.00272609894235985i,0.00551547872842714+0.00687562302771258i
0.0156134771163257+0.00225669241683418i,-0.0383671146980366+0.015211341812225i,-0.00295956516117559-0.0249439069953286i,-0.0478327333236938+0.00697019353506587i,-0.0317613521463721-0.0100628265224569i,-0.0375619701541695+0.00490494197114151i,0.00497033882904941+0.0159615634099381i
-0.0160202470710935-0.00399916500470698i,-0.0427773285732417-0.0385920290676916i,-0.0389537308675356-0.031590154545387i,0.0597851893648446+0.0181870718000956i,0.0375519954105672+0.0180652741325448i,0.0272760196827316+0.000279805607684602i,0.00858314966773858+0.022105176614259i
