-2.03945132622572-0.0364705357278596i,-0.137149998627461+0.0219512507148459i,-0.120660055444016-0.0401951088264938i,-0.134179975637523+0.0153804525300982i,-0.0498218862533636-0.00979120775732305i,-0.0457279395136869-0.0108067318529739i,-0.0387439047131024+0.0232837587519571i
-0.00915636966687788-0.000472316152975662i,-0.0298150258716557-0.00534693304697157i,-0.00851336530289761+0.00573973772516717i,-0.0644664876177718+0.00717093355516381i,-0.00704938480486542-0.00603106964641406i,0.0037995512033925-0.000649988475466301i,-0.00808504786178428+0.00612776004798446i
-0.00211158443607162-0.00108155433074275i,0.0089362604182575+0.00146009843766916i,0.00334708076942598+0.00990075122686027i,0.00242955402019959-0.00729095926353103i,0.00260606458566556+0.00611240187967824i,-0.00815389296953603-0.00431799304876889i,0.0023648351435121-0.0079253595908619i
0.00973081441159199-0.00134643717736061i,0.0231011665284575+0.0180219606719417i,0.00129371834442249-0.0106298207673261i,-0.0051187011623782-0.00119592103804491i,0.0268622663804796-0.00328457489175034i,0.0045187258119614-0.000928319209298966i,-0.0090269128386523-0.00633173977888183i
0.0112340282548738+0.00112729505613164i,-0.0122941959630695+0.024104913393479i,-0.00940685229068753-0.0410928822148674i,-0.0191303527481974+0.00120874042475501i,0.0160334034886546-0.00667639822552374i,0.0332221448032793+0.00391745779863065i,-0.00457233601841059+0.0136428235887162i
-0.0158334431620907-0.00149037637780503i,-0.0269372521411974+0.0337499355281839i,0.0303668008312462-0.042400756974818i,-0.0130267564908986+0.0158266550803963i,-0.0673978004214746-0.0260891067618472i,-0.00598651688016815+0.00743592874311074i,0.0253653727565933+0.0265146255345513i
-0.00491099445192334-0.00125138896347857i,-0.034125759574388+0.00611798103564774i,-0.0373173602692447-0.0185469833571077i,-0.0155835136940843+0.00635651925173452i,0.0241473993985201-0.000248557449270086i,-0.0186097790374361-0.000181192246599947i,-0.0428915234576654+0.000244026652167703i
-0.00868398230834443-0.00250450072649464i,0.00148247824998124+0.0167293524512514i,0.0238143475312377-0.00741081158290453i,0.0297037129083466-0.00260510140888583i,-0.00830155433711318-0.00849878228044336i,-0.0385205823015491+0.00343203967623822i,-0.0102945124280537-0.00329838689781164i
0.0187734379412428-0.00266527704504511i,0.048747205851231+0.0438766556995445i,0.00554858489823209-0.0389620588751273i,0.0337454144630308-0.00306456661074405i,0.0533353977933133-0.0071979058120283i,-0.0205749305798979+0.000535151277101378i,-0.013039918470818-0.00409314199074587i
0.0114630248125265+2.1673871652352e-05i,0.0215152790048062+0.0295225803503157i,-0.023935322779187-0.0376891302502581i,-0.0280122352410595-0.0137265281173331i,0.0377895151453394+0.0051826830749957i,-0.00419671034993466-0.00352873914514348i,0.0096157451193078+0.00193529930422726i
0.00571809258015354-0.00221969433647731i,0.0382073203183933+0.00869369855729999i,0.00754616410768082+0.0320323542341508i,0.0108087492866568-0.00315847240217748i,0.0213998195124925-0.00069470430117497i,0.0217346503981995-0.00402778578857128i,-0.0579962654345819-0.0390812617533287i
-0.00372073637162657+0.0012945297384443i,-0.00503059017962357-0.0046466595282777i,-0.0293195189923249-0.00571482283412139i,-0.0143824624752556-0.0178816349982319i,-0.0052271324291137+0.0188390102133911i,-0.0241624892375704-0.00711448082793274i,0.0241041747070328+0.000331541425602593i
0.0188366872876725+0.000372693061870426i,0.0359146193232815-0.0066645089282118i,0.0272876688753623+0.0101491479903786i,0.0616663801575642-0.00200860965381435i,0.0224355571973938+0.00457380054604028i,-0.00713134090896062+0.00308580286296494i,0.00697246330701871-0.00680918274822249i
-0.0142597312698702+0.000824513326649414i,-0.0557557328119162-0.0315348684823487i,-0.0390406673036722-0.00748649021061347i,0.0244651614631443+0.0116118609481539i,-0.017237131206912+0.0104331305089938i,-0.0379820260462739+0.00044977544017136i,-0.00791890951482298+0.0152261696659671i
0.00687060635888752-0.00196227595388297i,-0.00773359205573813+0.0218852739726736i,-0.00812267008663199-0.0408416858706068i,0.068649735744384+0.0214078966540577i,0.00639423589524735-0.0115315035566623i,0.00769966505545723+0.00582339935092174i,-0.0405393843361629+0.000544957878434353i
