-0.0104121624163793-0.000759652927155417i,0.0349243109078937+0.00489570174428905i,0.0245553924128278-0.000870660133166185i,0.0389454414261499+0.00963105065139533i,0.0426103501114441+0.00623966012030712i,0.0129904591306439-0.000113994293435962i,0.028618428348033-0.00316385567272993i
0.0105628901457643+0.00291798650158749i,0.0120713460942862-0.00556655333128648i,0.00942172389181092+0.0223966416505824i,0.0112987299096579-0.00408520243504177i,-0.0208733882499578+0.00659650343902309i,-0.00425009762900159-0.00799922897206224i,-0.00152994875463355-0.00808430278880102i
0.0076066949915183-8.36679983717412e-05i,-0.0186674495769014-0.011284184002449i,-0.00550265713448884+0.0219192758747426i,-0.000469492177233794-0.014534804636271i,-0.0308635982376351+0.0041571142710012i,0.00373660059657641-0.007054588577577i,-0.0114806501420755+0.000190106587076731i
-0.00105422957306552+0.00330799788870795i,0.0190177823323698+0.0226665934437339i,0.0156493719465504-0.014862286311872i,0.0425771312889205+0.0134264996567758i,0.00692772770555791-0.000656584370416238i,0.014751391947212+0.00512119123184333i,0.0297202428713334-0.0106866658405697i
-0.00519164409989098-0.000754371270762751i,-0.00723219378944554-0.0118702842703513i,0.00917890085195987+0.0116101371645835i,-0.00628225065075315-0.00141651602555144i,0.0192990121304854-0.00161988519183987i,-0.0120828474726753+0.00840295794783627i,-0.00506963006350339-0.00430235360823264i
0.00628773501300905-0.000662560434513739i,0.00340908280559207-0.011722149829971i,-0.00467076063975406+0.00431434862782015i,-0.0146768051487468-0.00598199601039382i,-0.0468982958667619-0.00339277721771849i,-0.0116736794529158-0.0108053017219023i,-0.0069955319768932+0.0158005203922465i
-0.0071848212197685+0.000236229126519617i,0.0143351344070819+0.0107364697375952i,0.0203264411704476+0.00221362424295251i,-0.00742342071405526-0.0104289498615968i,0.0424921677697589-0.0019079262166465i,-0.00571997854406573+0.0101219150614105i,0.023976104575408-0.00270350607608993i
0.000826333653653906-0.000701975565591077i,0.00892440218571773-0.00546659903496418i,0.0169019344710011+0.00565598953979947i,-0.0148249943364634+0.00316012314318967i,0.00706876952200738+0.00024137384426657i,-0.00203972663825259-0.00522165027171149i,0.00391793107456829-0.00476391119609178i
0.00427121330516741-0.000488167212459695i,0.00227978607586748-0.00647250865277987i,0.00187634434836443+0.0102770579478654i,-0.000364082892211596-0.00671977456136452i,-0.0161498721646149-0.000563653539950099i,-0.00850960752798126-0.00210838583760853i,-0.00848113894739974+0.00368432798246879i
0.00102243152198405+0.000451466738089692i,0.00938039482737062-0.00681386685351082i,-0.01304510110662-0.012160851602971i,0.0137838024882024+0.0107080859928825i,-0.0252776442060522-0.00108472526727534i,-0.0181949316904603-0.00453180452844645i,0.00862905153075932+0.0171245300153471i
-0.00372870998582884-0.000537687039147316i,-0.0234082667215068-0.0113960726457574i,-0.0149398833776538-0.00749911644098668i,0.0138593811630178-0.000878036145900513i,0.0389782961077027+0.00923538904495885i,0.026248565948611-0.00438714730051827i,0.02373151454191+0.0045778342236645i
-0.00513220189492558-0.00106956922935876i,0.00561268150559267-0.0239344388010504i,0.0128076042989268+0.00291090008376497i,0.0213278591285766+0.00787613728212093i,0.0223556542057973-0.00220093776171291i,-0.0134445019335006+0.00903213572252416i,0.0130349342352654+0.0151912619584271i
-0.00275782662242914-0.001331843997228i,-0.021837386041593-0.0305851670062941i,-0.000477493401106267+0.000317895930376405i,-0.0205429274275064+0.0162951889854467i,0.00971011840946178+0.0040682018990454i,0.00799054575675441-0.0056147510467423i,-0.00624426600673808-0.00109096421553923i
0.012197476028857-0.00108211070256629i,0.00258738370812353-0.0258837856567046i,0.00330515241596443+0.0237027586434246i,-0.00692218546495855-0.00559918148930221i,-0.0426399977590873+0.00178250627978358i,-0.00232115569720636-0.0150161724638703i,-0.0135985352187836+0.0133315986601812i
0.00608725268310286-0.000352938203598504i,0.0220366612269459-0.00892925052122848i,0.00193895189773715-0.00151454456019611i,0.0239899171665033+0.0151014113737226i,-0.0210750402244745+0.00338825172053394i,-0.00187627287142677-0.0119183493771762i,0.00308428911267517+0.00861813766183813i
0.00250680340164192-0.00172467613000404i,0.0120194190110349+0.0129808189870139i,-0.00052454164757199-0.0110196314250153i,-0.0364353135595528-0.0217415573270735i,-0.0251327944644959-0.0139362757033659i,-0.00315900164322238+0.00354026812529338i,-0.020354661005731+0.0217085644750707i
-0.00091542452450915+4.01169498529444e-05i,0.0140912473505343-0.00593378810011274i,-0.00175813494428469+0.000534070013942677i,0.00685633340666266+0.0222727118692664i,0.0211129482359223+0.0112682910392616i,0.00591374529387097-0.0131486761691729i,0.000752775820123943-0.00995549091198954i
0.0106023481642684+0.000441286180017642i,-0.00771400131252665-0.0109987468254593i,-0.0211500672245847+0.0229429627849951i,-0.0264885511668329-0.00418623776161676i,-0.0454629306003486+0.0120265881197111i,-0.00655302580275981-0.0242690440939289i,-0.0260512207512358-0.00874890263361236i
-0.00733246000268719-0.000755758836945608i,0.00298561169226678-0.00477906661941603i,0.00538601798596799-0.00316426542759451i,0.0193593418554344+0.00947306261623088i,0.0227038156699998+0.00759646415871507i,0.023028903399269-0.00589296417161895i,0.0232137517077224+0.00139894889033212i
0.00163127054840211-0.00212406657529989i,-0.0344150210208652-0.0262443200167375i,-0.0241113573196406+2.45381414926875e-05i,0.0222316412869702-0.0103791578067719i,-0.0351705394146418-0.00492126803055084i,-0.00522788020591101+0.00683157281819461i,-0.00995174542861664+0.0307251586277282i
0.00757754623729813+0.000685350042886784i,-0.00927086947492537-0.00829437709925768i,0.0176929407510063+0.0276219655868786i,0.00459334736759424-0.0134976664413093i,0.0316011159387661+0.0145349475280348i,0.0441542890307378-0.0124991342338344i,0.0247612894502976-0.0129340310108013i
7.81357401024177e-05+0.000227779237172266i,0.0300415619508506-0.00317325712760383i,-0.0010240892861136-0.0172242770504177i,0.0327273694904557+0.014958436558324i,0.0172885499876758+0.00530869276085384i,0.0222381712224559-0.00678206276077861i,0.0221497634980427+0.0188110880824347i
0.00343737521006635+0.0017256810194002i,-0.0115325332812033-0.00521885140722893i,0.00622665605992837+0.00272783581048268i,0.0129940575870707+0.00567884507279i,0.00210591361758192-0.000464968768162703i,-0.00410230985631965+0.00381479978413846i,0.0150747688735132-0.00613891877021695i
0.00655317222562535+0.00240789839122035i,-0.00107021190135202+0.0208574707659393i,-0.0135958869411822+0.00290083513591744i,0.00478047298956121-0.0019999894924456i,-0.0622191272610553-0.00707772057440027i,-0.0429194722846888+0.00793700819808123i,-0.0327975439949816-0.0123292890394166i
-0.00460976078007889-0.00302909972040628i,0.0130224802702859-0.0133429915503593i,-0.00444416943260824-0.0163856778448424i,0.00131208629694145+0.00750032805097952i,0.0378133535697956+0.00718777564885176i,0.0245555780882959-0.0152633042493333i,0.0243348236399664+0.0179777322841857i
-0.00781536133262484+0.00020805096922972i,0.0114510332069937+0.0205173309603759i,0.00482328259034218-0.0170868098211808i,0.00487743990093098+0.0204662313495235i,0.0372336311742522+0.00298078398543186i,0.0173167913064227+0.000898085978971471i,0.0130444460417024-0.0165883123726892i
