-0.0126390745366736-0.000159648009671355i,-0.000301910592961377-0.00801939767007247i,-0.00439906658926608-0.000703346411884696i,0.00787806190386274+0.0123717640401399i,-0.000525081943065738-0.0025011477038573i,0.0193442226650415-0.00094344375007155i,-0.0157057560850559+0.000535770682852993i
0.0261825679306378+0.000213331732523891i,-0.0154531110453365+0.00162724412890183i,-0.0379132123416574-0.00566991444765857i,0.00359555981521704-0.00205933118461054i,0.00832343353561699+0.0129191889478621i,8.23786572287997e-05-0.00889221723995231i,-0.0183882546139937-0.00920148460103582i
-0.00990826679758351+0.00101217892769046i,-0.0161441059137599-0.0291846118552054i,-0.0284729533026569+0.0362175323816273i,0.0187241433759752-0.00597231846600761i,-0.0146227929129606+0.00903018774396489i,0.00721808684250864-0.00504979659057953i,-0.0360824473757815-0.0124883323567513i
0.00919757177850368+0.00608273134544634i,-0.0130786298766489-0.0254417428057991i,-0.0214504691386347+0.0256067492890765i,0.0259861929944758-0.00743818900066149i,0.0273636790169686+0.000420472948267707i,-0.0365239606450182-0.00449584699767923i,-0.0375484128480182-0.0119305342942668i
0.027808170554822-0.00111481492715861i,-0.0221322116990269-0.000488116001785137i,-0.0287932162499826-0.00891958899149904i,-0.0412690125937903-0.0017798572963732i,0.0199935075269211+0.00610423605205085i,0.0139398731915612-0.00251391750657222i,-0.000871036079096874+0.00683122150183183i
0.0335620867440603-0.0049574852882935i,-0.0341117307110323-0.0370240669647503i,-0.0116325481854261-0.0139082549074651i,0.00801630789242452+0.0244306646598405i,0.0387080972150101+0.00363601454280916i,0.0571448238332836+0.00624485365045149i,0.0116706206818658+0.0363579215299478i
-0.0423120817584659+0.00282254201179418i,-0.0080665375851045-0.00553985678703031i,-0.00743519645440799+0.0228044773861621i,0.0859034484801718-0.00761080796764369i,-0.062378897266422+0.0108358840646009i,-0.0282162290817328-0.00540803074926566i,-0.04107927833783-0.0271607732398312i
0.00664334083954065+0.00319273719811354i,0.0128265305398941-0.0317563177779666i,-0.0202159571341805+0.0428660736646907i,0.0180682279793942-0.0072051870422437i,-0.0167938022331228+0.0149930444539605i,-0.0652186312818609-0.0102958943739737i,0.000634871127082044-0.0284727436955992i
0.0219549792445816-0.00189039653603691i,-0.018707562960633-0.0275108961880154i,-0.0148029432290188+0.0125715101985068i,-0.0212574215855012+0.00249874404603825i,0.000562769201863284+0.00935316530324889i,0.0456695488680784-0.00147447422811072i,0.0189591887809294+0.00755335624434952i
-0.0118339652706774+0.000445691503253049i,-0.0162163944086964-0.0117522795841872i,0.00190832066471305-0.00142470427878086i,0.0214440008097056+0.000845831235283858i,-0.0339947349669477+0.00936926911158356i,-0.0182864891597589-0.000564813168391606i,0.0304335508666023+0.0013656599496334i
0.00427172018316494-0.00499443792491839i,0.0472896710883745+0.0349059016917644i,0.0267528058700656-0.000170691601289359i,-0.0531665108427985-0.000250648715038567i,0.0135912912298406-0.0108238124072277i,0.0518703388919928+0.00089331733597728i,-0.00900891275067829-0.0038691062757018i
0.0121129505155195+0.000568575533523921i,-0.0143185983479829-0.0440738982542807i,-0.0411252162804506+0.0276594043149872i,-0.0305265521687417-0.0114202446088662i,0.0530126345822334+0.0176770140920854i,-0.0104488075600216-0.00492067040230808i,0.0243298568578267+0.00381105845460157i
-0.030408465988423-0.000741621311238463i,0.0288675339455249+0.0276038463979476i,0.0362101367785276+0.00989666274327052i,-0.0123672810190432-0.0131581958734768i,-0.0123705232116324-0.0108060473767171i,0.0461155089186322+0.00212260978231463i,-0.0163646088037887-0.00837882527472442i
0.00344647290044332-0.00165779960808646i,-0.0238361632034053+0.0299898352166758i,-0.00935456636682223-0.0364728424913671i,-0.0076962495873709+0.00876836990587942i,-0.043791857577661-0.000917035943404524i,-0.0466896578461139+0.00154096476709292i,-0.0164748521973326+0.00177547197571868i
0.0167809009005224+0.000816235224114255i,0.000929324503499874+0.0212500520511742i,-0.0154172909900313-0.0288484277784895i,-0.0159610199398225+0.0112481163996613i,-0.00702128741235064-0.0088596651386647i,-0.0397294249452305+0.000760447449786096i,-0.0109067464921731+0.000304238083783403i
0.00880821338771324+9.77613662344267e-05i,0.00977917862229456+0.00526204414762686i,-0.000861998975031486+0.00153012935512192i,0.0113951937846043+0.0022178938389054i,-0.0141939219676811+0.00363003012844419i,-0.0328796188467071-0.00450274773942391i,0.00325039653466571-0.013205109026991i
0.0194303153017481+0.00110666838545973i,0.00798322979230758-0.00963456142285239i,-0.00700372081200565+0.0053424968665082i,0.019864299267473+0.00341273372223787i,0.0384829296798043+0.00267643960186217i,0.0499354405500589-0.00442549265167105i,-0.00949654020080132-0.0058256730051513i
-0.0334944932048169-0.00364684267715914i,0.048461584268636+0.0264631880516347i,0.0313292714489063+0.0181587109482414i,-0.0338139076870934-0.0167890807175499i,-0.013794600131149-0.00107104339990183i,-0.00225562894498668-0.000131897351045046i,0.0183179708400014-0.0129925451668191i
-0.0289745403907001-0.00122613754368862i,0.0397700601338783+0.0417039700316334i,0.0250446935626489-0.0101924909356968i,-0.0378160781145218-0.0224890813681393i,0.00450390046424108-0.00437731852648069i,-0.0586433251509835+0.00357019396971214i,0.0397765802694764-0.00192306376390072i
