-1.98622646541535-0.0407367850954243i,-0.246523238445882+0.0142675778940397i,-0.225181240280203-0.0266086875154984i,-0.212474148100852+0.0332391260424369i,-0.163924630106819+0.00421486144042237i,-0.108222945044579-0.00633095033572317i,-0.16028641405132+0.0146845687270811i
0.00292348576577694-8.30455891235829e-05i,0.014300778367929-0.000715805522078433i,0.0178338882222992+0.00102889939782154i,-0.00119316079967582+0.00286289196444617i,0.00507401851341107-0.00365438509884429i,0.0222088526578353+0.0034347814530993i,0.0106672444758134+0.0129303117211035i
-0.01109442584308+0.00014185130397535i,0.0222247132031981+0.00619185538785317i,0.0225626242858599+0.0105416843370009i,-0.00367369106554371-0.0258378908219765i,-0.0397517179666732+0.00365542464651691i,-0.0265027034020066-0.00288063120527003i,0.0440728987046393+0.00487570341078612i
0.000960084720424413+0.000975500537562647i,0.00465648284670041+0.00245414193738855i,0.0156744694688201-0.0174741211125252i,-0.00980322049011963-0.002593890025809i,-0.0165989555448872-0.010038889496862i,-0.0116152800517535+0.00441274485894697i,0.0295131512998079+0.0236093010241203i
-0.0141645291195402+0.000784074323051708i,-0.0285695652682709-0.032761821853863i,-0.0325569495671497+0.0270485933437215i,-0.0124200468486869-0.0131986482006809i,-0.0399287438299885+0.00985708958590515i,-0.00973478309643439-0.00374481102985833i,-0.0174292015661325+0.00704127199555158i
0.0138107833790846+0.00342395779481798i,-0.0291458507342087-0.0384594121426962i,-0.0108734954162511+0.0120448944549074i,-0.036885370451471+0.0031560209901774i,0.0259595256810621+0.00211303033870384i,0.0391039168791473-0.000913034110667783i,-0.0111871575849633+0.0178563785050256i
-0.011098837206477+0.000833173493709169i,-0.0619809576383403-0.0222548668227235i,-0.0554826304870949-0.00560343949727173i,-0.0383939101298328+0.000428905463041725i,-0.0389890051185521+0.00165799672526683i,-0.0298603546411288-0.000330402831493157i,-0.0267038048034905+0.0110835159125591i
0.0133165886560127+0.0016498492588349i,0.00151160053400858+0.0165735099407338i,0.0177646874450558-0.0365345286736508i,-0.0205668726640666+0.00928541793788458i,0.0332808778944433-0.0191654982541924i,-0.000220023958240939+0.0105883495108816i,0.0147118887107977+0.0216838804418771i
0.00864735570097722-0.000266183589678738i,0.0258621028488333+0.0079595984479346i,0.015077308200907-0.0254637346178065i,0.0220559674255889+0.0195506628614267i,0.0381029495059644-0.0117410846388093i,-0.0098561177417926+0.00698988017273871i,0.0112962060181966+0.00242209842398965i
-0.00168313290416881+0.00277860883039995i,-0.0345812393816171-0.011940629440284i,-0.00668580623353492-0.0096142303658059i,-0.064450828699636-0.00470661495224439i,-0.0169686389714534-0.00793383304898007i,0.00331314390827337+0.000920102465186824i,0.00572300197643368+0.0370692547399301i
-0.00481963091979436-0.000918450564552764i,-0.00030820273691857-0.0068848465417648i,-0.0172847517129586+0.00713625339935113i,0.0148453568534828+0.00492053107827416i,-0.00859168171829874+0.00513113231830679i,-0.00888514219150937-0.00296806391086091i,-0.0122097000767263-0.00536735587397751i
0.0103302055067765+3.53809344957785e-05i,-0.0094653597491285+0.0115114191105911i,0.0112082288569615-0.0157281184721516i,0.0495507826701874+0.00806067591594912i,0.0368393885592408-0.00720953439655316i,0.0186785202131546+0.0142303930358176i,-0.0188451986972032-0.00708233627049979i
-0.0078656696925619-0.000513186188024681i,-0.0169782822863534-0.00691221349221812i,-0.0174033228547064+0.00029972911069995i,-0.0251644335419562+0.011652267666807i,-0.0443850877518374-0.00310459225050499i,0.00490204645041937-0.0048096444180337i,-0.0193742008468355+0.00856858367466186i
-0.00065961764568915-0.000645289395495143i,-0.000121762239488757+0.00685882997860727i,-0.0144811689985483-0.000914583183884505i,0.00982137005506625-0.00856252114325123i,0.000838107332728568+0.0038541891115914i,-0.00591038033783231+0.00123780814150491i,-0.00022000169347351-1.06780961689528e-05i
0.00750710464856576-0.000888290483191884i,0.0128347507943045+0.0131173867953179i,-0.000868862253339916-0.00958568818681132i,-0.00588610771887681+0.00354657772023703i,0.0241481984797081-0.00169669822016829i,0.00455277835934472+0.000588490213414131i,1.76536391094458e-05-0.00641576795583539i
0.00716975497461861+0.00121542755303087i,-0.0118917098724849+0.0195490560881324i,0.0069720397207809-0.0140063412316045i,-0.0142131912697918-0.00921127432428275i,0.0132297424723332-0.00689617796951389i,0.02803861547696+0.00481457876599438i,-0.0154133003526948-0.00276849632647162i
-0.012534208015145-0.000239458132602201i,0.00483880591118978+0.0272434502097696i,0.0265792932827807-0.0324477601247669i,-0.0147627650481347+0.0116124123685657i,-0.0561777348017783-0.0237092743357593i,-0.00628341254238602+0.00794116162023045i,0.00466898623046128+0.0167911681953036i
-0.00343652048182768-0.000350086729018523i,-0.0174352473727712+0.0180004448530417i,-0.0297854356646403-0.0103395358844056i,-0.0171400592608482-0.00384855757324219i,-0.011539150061329-0.00128673959554377i,-0.00598960440021611-0.00136872635759067i,-0.0346152173462176-0.00887735981473565i
-0.00782120503326117-0.00121857147991988i,0.0186011045121743+0.0263234789085305i,0.013144502240732-0.0066012561657231i,0.0313525967357612-0.0162033315824469i,-0.0001186365013501-0.00687761746898158i,-0.0214887338214507+0.00871586411900631i,0.00187429390702279-0.00129634558703504i
0.0153495773750674-0.00074693433224548i,0.0245558270332635+0.0338063939566898i,0.00413700608240508-0.0315855934641239i,0.0243029626201296+0.00154851896095143i,0.0642663018718443-0.00665558679105377i,-0.0126197758828193+0.00831232685406234i,-0.0012504149181934-0.0136047881749821i
