-0.0128926760881472-0.00198655432591093i,0.0323611316658406-0.025942852972116i,0.018770198549434+0.0407037771422685i,0.0296956028354123-0.00743120290189662i,0.000459168479855371+0.0196344892450639i,0.0111946996927631-0.00690012941099672i,0.0260808961795608-0.00433205352257999i
-0.000180834044757685-0.00295265696121518i,0.0109344600440248-0.0219271732419843i,0.0256127886803617+0.0330887752285222i,0.0229380556283603-0.0110658634158058i,-0.0185201599274103+0.0120178000560663i,0.0147997618525065+0.00087326294999363i,0.0207362635643932+0.00232065996336546i
-0.000803174313865186-0.00096232593764248i,-0.00735067049187452-0.0123323922687617i,0.0044765036620251+0.0179536379769184i,-0.00954506888919378-4.30893095984186e-05i,0.0169617355208078+0.00577489251601614i,0.0197174542873309-0.00060692346837407i,-0.00577115395819014+0.00380315735538876i
0.0168717045025479+0.000879686285756088i,-0.0278646729939131+0.00558972853570214i,-0.0126804425049855-0.0109642533600241i,-0.0260318244137025-0.00374036343416667i,-0.0257475011362761-0.0116169609977344i,-0.0296932750794695+0.00205171163864064i,-0.0117816909954482+0.017413862365873i
-0.00713498602959984-0.00104975272088995i,-0.0235997696687409-0.0184822463079825i,-0.0193010690435557-0.0155693345439363i,0.0212204117947051+0.012841985380635i,0.0474156672684224+0.00327762894852861i,0.00371204537055721+0.011486105869836i,-0.0134446510874725+0.0128099612562599i
-0.00884605341396646-0.00122654967453431i,-0.0154319976009958-0.0421465104629988i,-0.00553684447100656+0.0163102121351845i,0.0286309840909116+0.0252501209006593i,0.0280927722729722+0.0175400641192081i,0.0549358419346432+0.00019439173641771i,-0.0134214748358919-0.0122735101672552i
-0.0105107781328442+0.00113408101507305i,0.0349613623021158+0.0191643803834249i,-0.00754616390171666+0.000739306271108444i,-0.00187084905610233-0.0109839573199686i,0.0395108486754151+0.008591898096379i,-0.0155031385399191-0.00330429366145516i,-0.00132781478349174-0.0232064475863918i
-0.0122774892190333-0.00346456045534494i,0.00217063948993147-0.0325195479834784i,0.00859056600840796+0.0276422559607456i,-0.008057055124989-0.00415762497230132i,0.0171387528083589+0.0226622846346614i,0.0562037165723134-0.00157614461855828i,0.0144302469790489+0.000697103773959533i
3.98720376286201e-05-0.00130386128167219i,-0.00201655248756392-0.030354153341343i,0.0430670432320034+0.0313326861442633i,0.0326805526055518+0.0190248249029209i,-0.0433668706270416-0.00722688991791523i,0.0388385265586811+0.00880928934481239i,0.00494745450347944+0.00596373536670958i
0.0051405154276015-0.00012709416965982i,-0.0245826570692101-0.017363377779628i,-0.0296020080936234-0.0134236811186248i,-0.0236400943105988+0.00859247967724656i,0.0275098729200945+0.00161810652477774i,-0.0190276443763806+0.00381401533954268i,-0.00968515607787122+0.0104049404015209i
0.0235360274570701+0.000273684300141408i,-0.00834729636418247-0.0244186755263129i,-0.00787879386624414+0.0275930093278918i,-0.0130344762049365-0.0178642526019954i,-0.0611601927644534+0.00765597906489784i,-0.0376992145028736-0.00907438008863641i,0.0140752242669038+0.00959766328684305i
0.000587475317623141-0.000829650082215421i,-0.0166336462160612+0.00845199204687861i,-0.00081375533819177-0.0153449153210693i,-0.0425434857851971+0.00588277300922493i,0.0171782719587534-0.00953316516377419i,0.012335162506421+0.00568321425892186i,-0.0115598059472244+0.015581046992055i
