0.00832147388533804+2.13884999040902e-05i,-0.00362520492325986+0.0113904637908603i,-0.00769217784966483-0.0185882006953815i,0.0269064137453239+0.00627977941792658i,-0.00502167686807474-0.0015439083006346i,0.0338135226891647-0.00115535824758634i,-0.0203903134968182+0.00131208928766368i
-0.0175970246441855+0.00452727127694382i,0.0341585595553915+0.0274677496853417i,0.0309764311303516-0.0167329233810343i,0.0347231676174814+0.00284558609386142i,0.0348085568494357-0.00541533342623365i,0.0192073049118547+0.00469361701682256i,0.0110175761283477+0.0122973711246588i
0.0500886218641681-0.000740787619982477i,0.0390179373025592+0.00799961629062413i,0.0394343492222205+0.0175322443444019i,0.024007194544976-0.00600100513365478i,0.0213372216951261-0.00958635098916412i,-0.0415231720904359-0.000596828739837506i,-0.0104481943495639-0.0118176113786253i
-0.0563668386712251+0.000268350843895942i,0.0311260645650831+0.0229548524271836i,0.0445282559080907+0.00201237677791153i,0.0176573013695311-0.00293924154559041i,-0.00605625889563389-0.0101640374446085i,0.0265239402583346-0.000564309372956319i,0.00199627526953434-0.00674455043076642i
0.0298069102456942-0.00390394844260849i,-0.00419821878641901-0.0228228013515308i,-0.00921177959359519+0.0285815094620521i,0.0222820131939688-0.0080026623490404i,-0.0349210791908926+0.00550121396556549i,0.0142235489217669-0.00400205301424877i,-0.0205187542681484-0.0236991409233063i
0.0253689961506805-0.00121138058834968i,-0.00381552947555522-0.00209144809567984i,-0.00951595638667794+0.0124179844611246i,-0.0321921473567278-0.00480114735401136i,-0.0251405570176413-0.00161119885239336i,0.0063938321360881-0.000728723265856883i,-0.0113615243238608-0.00826625630099581i
-0.0389834372462297-0.00391867518205026i,0.0263885644714128-0.00508135507297288i,0.000728919242326204+0.0276519333332846i,0.0313517190227417-0.0105211445441691i,0.0129880990838787-0.00316216562009564i,-0.0166443245920651-0.00694266019740804i,-0.0557943110150555-0.0297122986422641i
-0.00190650106345274+0.00155470448578224i,0.0130414330312986+0.023379490488942i,0.00177370639446376-0.0267514399330187i,-0.00376773189192242-0.000923750743659261i,-0.0078840487770062+0.00372923457601476i,0.0178430629720727+0.00231610384288336i,0.0355873692781524+0.0075570321917222i
0.0267855986525292+0.000497469443530746i,-0.00446717173025699-0.00892212553231956i,-0.00493339086504097+0.0196446912949428i,-0.0384319025400294-0.0100553742196026i,-0.0146691056437198+0.00377432988380258i,-0.0264754182432648+0.000829085690618191i,0.014133748643902-0.00446967053113849i
-0.0172478263387278+0.000956426977891508i,0.0169325743519879-0.00303907976347076i,-0.00714573542886148-0.0168749000567342i,0.0649122599343312+0.00794308255613651i,0.0107727763414379+0.0107030471979532i,0.0123042837730238+0.00111633084506945i,0.017623883906238-7.87583805984715e-05i
-0.0191795778010609+0.00216518231646462i,-0.00982114567769582+0.00993605947579796i,-0.0124410118879349-0.00828958794613515i,9.19966158383382e-05+0.000893491374106015i,-0.018613162878752+0.00224124380248398i,-0.00743769131764372+0.00218849615644006i,-0.00954803507331172+0.00631716280690791i
0.0203473331400662+0.000975161891703359i,-0.0110064974165128-0.0110738720790835i,-0.000383449375966631+0.0076885015288009i,0.00660765395214066+0.00264887226739587i,-0.0202946226344508+0.00442252494265229i,-0.000300973420121336+0.00134060801582213i,0.00895757618370263+0.00204586143151073i
0.0540969614181541-0.000252927871021142i,0.0163494447111935-0.0242098606201996i,0.0226553490851927+0.0300577138491838i,0.0294919496070035-0.00423501998052058i,0.0209847465770237+0.00354107595201199i,-0.00297923854438919+0.00106443966902551i,0.0138648329139257-0.00478463726797548i
-0.0469518664259348-0.00254565760400321i,0.0110326173786203-0.0168413912588623i,-0.0308997176486447+0.015073800417964i,-0.0102904105552446-0.00480809939211975i,0.0398265140469028+0.00446567641484827i,0.0123935277433487-0.00317550337946176i,-0.0270221381308757-0.0143122384124439i
0.0100532625741135+0.00128074503128293i,0.0318011535683864+0.0013283011848096i,0.0197936260431947+0.000401590805796263i,0.0229072583847451-0.0049773349888603i,0.0042005029373867+0.00588364048666194i,0.026868420573936+0.00226493378032761i,0.0471397405847707-0.000223438193214965i
-0.0175718327503485+0.00313535641355211i,-0.00182674620087087+0.00401704609079282i,-0.0281864719436031+0.0022380670922804i,-0.0280254023978922-0.00946613224394546i,-0.00425124458792331+0.011695295172376i,0.0246710174357005+0.000554432644335485i,0.00477951698180606+0.00402933064989221i
0.0451225905532071+0.000717075642401126i,-0.0230061954355654-0.0216017343422335i,0.00405280775396549+0.0315290834590352i,-0.0200345763706208-0.00333854339089819i,-0.0459372896647017+0.00277785951481072i,0.0166712551423316+0.000675926095010017i,0.00226611807137587-0.00366128127338409i
