-2.39244338157913-0.00658958273446666i,-0.195804847742203-0.0304192576787718i,-0.25489903095493-0.0212586518199699i,-0.073028808961887+0.0443082917718123i,0.158783419696836+0.0232538913089417i,-0.345417278665802+0.0262812066592999i,-0.297175591419526+0.0127800629148262i
0.0505236627891266+0.00126205217196287i,-0.0288908173154744+0.00113017183782912i,-0.0326442135706481-0.000501358584693436i,-0.0421088559237872+0.0193686972317385i,-0.0290705682985507-0.00530898764884966i,-0.00731080996692988+0.00761423045205868i,-0.0402081768877818-0.0127516958786246i
0.00698822832607728+0.001635839842849i,-0.0342149737124841+0.0161529022464549i,-0.0199561709007423-0.0492118409274335i,0.0271794989339864+0.0126198548391677i,-0.0274216395855915-0.00327235572362617i,0.0285418844066159+0.0056689915309357i,0.0695402896143706+0.0249917645273233i
0.0419292912491762-0.00126521972758617i,0.0153068121091478-0.0232201345827575i,-0.0594164707901984+0.0110376826749709i,-0.0401357221567133+0.0138647444758252i,-0.0253071007774426+0.0112254827862503i,-0.00730781571044851+0.00059131714831081i,-0.0363557769349662-0.0073557755823329i
0.00575717945039493+0.00314145327702929i,0.0095051939518358+0.00663929167240116i,0.0159964401169309+0.00532531344468765i,0.010248931693163-0.00193385203674735i,-0.000404496953061993-0.025302571635066i,-0.0194990513810494-0.0071864515051915i,-0.0448543886850665+0.00551111944329422i
0.00649076141620369+0.000759439164904293i,0.0317591482730614-0.000457519999046481i,-0.0159440187828715+0.0160195723851784i,-0.0394655369241214+0.00466615757894352i,-0.0214436565119848+0.00297871750009403i,-0.0180009086969279-0.00450359687790522i,-0.0193374060614384-0.0185610098188994i
-0.0217458256606015-0.000475755672034201i,0.0048795657351732-0.00387025951434035i,0.0429234373693455+0.0225233912636057i,0.0434076821072088-0.0107267285245638i,0.00548949506243404-0.00953815336427517i,-0.0231146045795845+0.00516809744584063i,-0.0260274202108065-0.00635925809386112i
0.0132078624717655-0.000972101767122833i,0.0111161680753467+0.0265073674688399i,-0.0527988308933555-0.011531713232378i,-0.0352563992632117-0.0238611840358067i,-0.0164478422958358+0.00747618088857783i,-0.00188866883664483-0.00131238302777661i,-0.000585345554566719+0.00306420258490948i
-0.00338662167703576-0.00107214880696407i,0.0128944050212097+0.0104029999590035i,-0.00168710763823308-0.01385924801296i,-0.00229134135830731+0.00319813853050778i,0.00165587986591822+0.0110185994918242i,0.023121242723571+0.00029330136397262i,0.00821120985853378-0.00477306012105762i
-0.0258751369157838+0.0015181610581376i,0.0039287419426817+0.0114478334312789i,-0.000798395177111816-0.0177774067027318i,0.0163017105882472+0.00254826757101305i,0.0144189358386108-0.0127359347670896i,-0.00128036033118939+0.00585317870015659i,0.0401719423753421+0.0134679135988131i
0.0364155222521199-0.00158640917643931i,-0.122354362543033-0.0439354175802926i,0.00248367673838628+0.0229457240385345i,0.00117663596155274+0.011564303942235i,0.00416197111050234+0.000282434196592858i,0.0129601312959927+0.0106339630845834i,-0.0177134940985163+0.00162712838249931i
-0.0307995643482384-0.000105256964801327i,0.0161028740674848-0.00797044953557679i,0.0297356540103669+0.0205250683198562i,0.0565326300558607+0.0027338643176276i,-0.00742551031361075-0.00913111574923265i,-0.0110559687464471+0.0101818842002395i,0.0023350464202861-0.0094784674112086i
-0.0283966063176795-0.0028133386873762i,0.0364817034245132-0.00773781271962853i,-0.0193454342201565+0.00113498032896517i,0.0218483342606818-0.0195359589664565i,0.0340025530487596+0.016888251394932i,-0.029343673019109-0.0110627054827051i,0.000731504565702388+0.0103042104478576i
0.0297267779554065-0.00359687548863836i,-0.0165505853179953-0.0316826876956737i,0.00927172913111502+0.060697304046584i,-0.00544870150850427-0.0152554902092273i,-0.0224143739337769+0.00289022856870757i,-0.0268679401459264+0.0124473521563935i,-0.0559071129889134-0.022388786851784i
-0.0235361262936274+6.74077600550022e-05i,0.000122100640782123-0.000544660000894146i,0.0312231239620317-0.00703028950926492i,0.0022202439221072-0.00747404425916077i,0.0836901047163094-0.0137253563245725i,0.0302353690858042+0.00915960125592778i,0.00593579763032085+0.018208909808257i
0.0119000296526971+0.00119397283029819i,-0.012121301111577+0.0112475809876676i,-0.00559732920762339-0.00938849178820801i,-0.0515245727842978+0.00299413165008223i,-0.0182287582282675+0.0091162179650549i,0.030399512630399-0.00455151871087185i,0.0483782978232581-0.00459988113258824i
0.0410067495152209+0.00134281154535374i,-0.0580016973307563+0.00311453833912875i,-0.0117830931703875-5.78527113336133e-06i,-0.0819092359998787+0.00236623918289241i,-0.0420184361658115-0.00289428848347207i,0.0195589472015054+0.00279172997377397i,0.0225097157072965-0.000939974861983549i
0.0271501658640537-0.0017523622757965i,-0.0111101569013981+0.00790600834369538i,-0.0308850958222855+0.0215094436038582i,-0.0387664852825021-0.0487248257774495i,-0.00958066874232806-0.000892142100575863i,-0.0235021784041422-0.00150223822452111i,-0.0335334979488606+0.00742307281859056i
0.0249372120305618-0.00169056423101045i,-0.0701818312243486-0.0182680809764243i,0.0154429440344639+0.0365711144054185i,-0.0265241702573816-0.0291593476060589i,0.0135022280187538-0.00423856691858065i,0.00566852321870064+0.0101161732118136i,-0.0199994797381933-0.000328094468024962i
0.0395439588890901+0.00135905040248356i,-0.00110811812549852+0.0216312597796854i,-0.0443128426611301-0.0271695546510006i,0.00128290815685562+0.0208450919578901i,-0.0888823926515106-0.00624657575202808i,-0.0119906654892489+0.00948204190898017i,-0.0127920473449347-0.00593050036209481i
-0.0105929362327851+0.00297951818200233i,0.00328462730281817+0.0300279506461267i,-0.0193430645483369-0.049033043726272i,-0.0171979503646269+0.00830964857770817i,-0.00318785115019073-0.00293976729343474i,0.0206838818278986-0.00180629038861369i,0.0460539462198262+0.01814158436799i
0.00356781827787138+0.000540494408549851i,0.0228077998268182+0.00210086399917342i,-0.0158117036174958-0.0136211563046143i,-0.0276438970813637+0.00358816230701733i,0.0425798181799416-0.00546113540277241i,0.00784383200780054+0.00167970083303758i,-0.00758891630251869+0.0127327140619815i
-0.0100466296797657-0.000106092796965743i,0.0161390292649368+0.0135048295854904i,0.00995365148476281+0.00713887331566476i,-0.00818368791531329+5.70818915886417e-05i,-0.0133339664748631+0.00349633853805118i,0.0163178513458696+0.00556846640791352i,0.0300132378687782-0.017842832258479i
-0.00284214520122136+0.00349402886245533i,-0.0263629375404467+0.0105662142312734i,0.0102293773724048-0.0195608735244669i,-0.00390093650246919+0.0352993542182231i,-0.0530145669124369-0.00720232687888878i,-0.00163333654477884+0.0021203722836658i,0.0357732883076954-0.0108661243092357i
-0.037939797919737+0.00272056616552663i,0.0369771191292411-0.00316730290904993i,0.067701086192024+0.0155552743680199i,0.00813467083189007-0.00484672094808193i,0.0129926907480255-0.0176594984691805i,-0.02892556714075-0.0131264447911365i,-0.0116692580890481+0.00298387242921082i
-0.0341407554431551-0.00185698137831988i,0.00271059907220899+0.00209768547500864i,0.00803775033362335-0.00201990823873524i,0.0284304768323417-0.0180990443445375i,0.00335193917948632+0.00561240393564163i,0.00501978237970633+0.00939197826410956i,0.0401054090106772+0.00773977714387656i
-0.0128568584875643+0.000250547451565379i,0.0400447265788394+0.000468660902144919i,-0.00635261477172394-0.00156980337402006i,0.00199775628055777+0.00244464296701513i,-0.0116236387040587-0.00112614785553741i,-0.00747369648827109+0.00263862636656716i,-0.0104905183245906-0.00062444127112328i
-0.00825923697325372-0.0015663298267416i,-0.0384322560694062-0.0325242905452407i,0.00899390354026107-0.0319764619690548i,0.0464474284169417+0.0237134873199013i,0.0442285729002498+0.0086046491147116i,0.0327136721765726-0.0033756740982624i,0.0290348164604721+0.0321765493836099i
0.00258825578739016-0.0039935834813288i,-0.026667552547822-0.0313221847931117i,-0.0223036528836304+0.00206788929208264i,-0.000755401521345622-0.0108922567842456i,0.0616173722221886+0.011484764623378i,0.00558711623870089+0.000100316877481439i,-0.00787254070360071+0.0242004127138827i
0.0115354469539054-0.00138394812172142i,-0.02613179877534+0.00575534264865232i,-0.0176037667360923+0.0103933839809463i,0.0251923297535176-0.0169775983352186i,-0.0430803876326867-0.00428670821580053i,-0.0289789698065298+0.00906905641643185i,-0.0336822344405599-0.00356090742600506i
-0.0119917576788963-0.00216932026030367i,0.0413850388422249+0.0307256981748385i,-0.0240604775539309-0.0313715794137447i,0.0239922295863965-0.0177229957842167i,0.00187510718720782+0.0074523734235645i,0.0207563916259516+0.00347934447722431i,0.0198733779926042+0.0131117360626722i
0.00558136373919882-0.000403878961611162i,-0.0106574228055965-0.0135555314756219i,-0.0159470730278621-0.0065203084160395i,0.0268445206765623+0.00769963061588807i,-0.0295371838988102+0.00229903193288083i,-0.0188599838627325+0.000475495225295829i,-0.0117084542161155+0.00659279771513935i
-0.0238010284207246+0.00228870532647023i,0.0553132559211705+0.00291864575374823i,0.027894914441885+0.0052357205288256i,-0.0223632495621014+0.0147661527824608i,0.0070611396797628-0.00435337764172332i,-0.0232189922184205-0.012841600184981i,-0.00939391070102161-0.0111891219393051i
0.0353535802660624-0.00210422290531027i,-0.0264768372655829+0.00139317989209535i,-0.00944605486605585+0.0157802099810359i,0.0247413376169352-0.0147366238121844i,-0.0362835412693876+0.00444339130073789i,0.00973969559283833+0.00314368531524724i,-0.00451976790832956-0.00717757721986387i
-0.0143707773622227-0.000632460961566363i,-0.00142537453481957+0.0139834059683363i,-0.000398147186253995+0.00726004875340298i,0.0177261829704971-0.0182729026258956i,-0.0266437368506793+0.00756203274489348i,-0.00669186497453521-0.0024439152339136i,0.0329588873090821-0.00745043457227081i
0.0161120423158631+0.00394080723932098i,0.0397628507301444+0.0157690375299247i,0.0165122729410163+0.00747721280741704i,-0.0433036422064539+0.0147697167270757i,-0.0879940459284492-0.00302920818566203i,-0.0138127288074852-0.0128201883359023i,0.00679830779439151-0.0242337343469296i
0.0169198165998221-0.00268815733023641i,0.0057161566146304-0.0072682459535833i,-0.065851999454933-0.0426456822633185i,0.0158230053481302+0.00731433560943814i,0.0214715178167052+0.0143265538957477i,0.00952106558488632+0.00347133316614202i,-0.0105222101889016+0.0277540532553813i
0.0248884707973516-0.000676244220387513i,-0.0211250148301533-0.00802367040141039i,-0.0164853778501858+0.00936703603874849i,0.0226456953684371+0.00582980689682276i,-0.0524286936899409-0.00312365517270386i,-0.01625218977805+0.00812164206366582i,-0.00956573698208986-0.00579718722572581i
-0.048764302579544+0.000208258465041822i,0.036947815455236-0.0162803445101065i,0.0419398338362605-0.0297160180465526i,0.069603862699753+0.0442554712628297i,0.0325004909161934+0.0041147912676809i,0.0348550171118498-0.00340641812522308i,0.0618467659821967+0.0107539358632817i
-0.00785767033796325-0.000130706498128334i,-0.0362638835541049+0.00276195526940502i,0.00517117220567715-0.00673293846976153i,0.0267861008990925+0.00989091569805354i,-0.00724362464400383-0.00457361821149094i,0.00699550275155371+0.016952939728026i,0.0192124918267645-0.00438150169194479i
0.00204345226992184-0.00202101780264953i,0.0125980563330228+0.00498838885348483i,-0.019653657477084-0.00547139316642955i,0.000632835576531114-0.0215457921825387i,-0.0190237265378206+0.0144416135882921i,0.00261946047860965-0.00526896444196866i,0.00640779835618168+0.0072667340639659i
0.0430867253837617+0.00109914484776209i,-0.0481891628237231-0.00992576961105333i,-0.000784617465192789+0.0158513733367114i,0.00205648477083019+0.00280823167941679i,-0.0371658954387927-0.0140061087178585i,-0.0235916408031084-0.0031074937717624i,-0.0565308872398897-0.00206539423105897i
0.0356278105056939-0.000137871767573547i,0.01056553163717+0.0209885218869131i,-0.0365572869987425-0.018013964276125i,0.0241393579682541-0.0101611182904285i,0.009181436826432-0.0225811121885324i,-0.0212843178223055+0.0133350318696939i,-0.0630843714759401+0.0134539144814191i
0.0224457924786412+0.00267947260161548i,-0.0114285748618072+0.0131306061793871i,0.0150304807114335+0.00766712471501567i,0.0210704858717448+0.00646623170617594i,-0.103113412697168-0.00989461035621412i,-0.0399434369762281-0.00177407491616848i,-0.025254544622591-0.0188395317654554i
0.0226514537307928+0.00108528397542023i,-0.033591409723294+0.0117374100639508i,-0.0123304646013215-0.000829090734712814i,-0.0599640131424363-0.0020832028539764i,-0.0131847053621625-0.00450321968172485i,0.00256433596188984-0.0016389064785115i,0.00608992122497635-0.00183933480618712i
0.0322305053831162+0.00248285630776144i,-0.0284763563106077-0.00814199211386855i,-0.0044082549990787-0.00512081160063529i,-0.0437383912336376+0.0190897739388931i,-0.0270751104069269-0.0137576578243154i,-0.0142523925272966-0.000466297933525647i,-0.0296656063947608+0.00504605351800566i
0.0386688734524446+0.000785888938145307i,-0.0501915153260481-0.0242335635670015i,0.00868396501952477+0.0459500771365531i,-0.0639939716266971-0.00448083592397323i,0.000937064902880199-0.00241979169340439i,-0.0144698828764216-0.00975320886613404i,-0.0487544981493049-0.0162197842642546i
-0.0115760091789975+0.00184799476502099i,-0.0112941379155257+0.000388099498865872i,0.0203614768987646-0.0271205711818981i,-0.00238404674765642+0.0252577018236367i,-0.0179445259372401-0.0040974641810743i,-0.00654294353265922-0.00296206824494365i,0.0123551838406202+0.00847493217836079i
0.00454654062072879+0.00233743786127124i,-0.032202266502007-0.0261031240488278i,0.0187524055960699+0.000130643775176783i,-0.0305345454338126+0.0386337651833552i,0.00884857804827778-0.00500576530100246i,0.00188494187073999-0.00285100901137113i,-0.00354488509109448-0.00420477681020813i
-0.00689098176298856-0.00326047813148874i,-0.0308332627684906-0.0258844017610953i,-0.00998608108174266-0.0223873713788i,0.0228676515669784+0.0144005834255987i,0.0530005142602788+0.0113878661847922i,0.0506345232382513+0.012433732528974i,0.0442041870397344+0.0232000617240629i
-0.00430402204923565-0.00159506388867139i,-0.0356413195770725-0.0327044983329768i,0.0239132101818287-0.0013156449706277i,0.0809504935941143+0.0211440445409038i,0.0142691804083102+0.00547141882178661i,0.0114459658856585+0.00014488761632659i,-0.00844610341662349+0.00767237392260425i
-0.00658494358113376-0.000217395866325948i,0.0462790533016374+0.0266675668828069i,-0.0404298047189806-0.0201038635569513i,0.087479638507425-0.00985127968466889i,-0.0313455978896893-0.00945780601543139i,-0.0352186126780651+0.00380317856416647i,-0.0308915544549782+0.00810159904076113i
-0.00322260255807895-0.000763888925405696i,0.00680794129307244+0.0145284460996782i,-0.0150315217932124-0.0239601103239401i,0.0347099794545366-0.00694929170064962i,-0.0179429447383525+0.0043120831227021i,0.00045527991062466+0.000111550426404934i,-0.00696170871191847+0.00928738795331118i
0.0122358982055777+0.00205305413027939i,0.0308691206934456+0.0127105532816108i,0.00979945300141879+0.0228229229770777i,-0.0493959500114266-0.00261767830541474i,0.0137287250231216-0.0172518172867115i,-0.0329389202361554-0.00221061479265207i,-0.0657688472663343-0.0197546791409803i
-0.0106940129756926-0.00077626610695002i,0.014895465963846+0.00835072493363954i,-0.00800311392836734+0.00474067430821038i,0.0127006616930348-0.0079438604309866i,-0.0278174960664309+0.00234797705996941i,-0.0167252120623001+0.00456713564601282i,-0.0134067280851487-0.0108686158274033i
-0.00283731978697052+0.000837390513877513i,0.0327684446149997+0.0393285238503704i,0.028792054691783-0.00486604981496687i,-0.00780672738440408-0.0227189608251703i,0.0135309959871158-0.0202056828786372i,-0.0076993783630072+0.00782034406022395i,-0.0306240572449675-0.00377114459842639i
0.00703598823054135+0.00184671265693667i,-0.0191023797585284+0.00331430771757196i,-0.0301145252300372+0.00219371480272043i,-0.0503996168440409-0.00562050409626424i,-0.0127736913912083-0.00627780436553863i,-0.0272773627224141+0.00251906503108293i,-0.000411830238756559+0.00285093511070636i
0.00135727120690996-0.000726941700687025i,-0.00570278868026813-0.0188507607516216i,-0.0200750148840203+0.0259046802855008i,-0.0684834060356092-0.00971753073422774i,0.0793202254441787-0.0126482775946387i,-0.0232401931175536+0.00704286058367478i,-0.0571525930245531+0.00342475467306487i
0.0368998559970982+0.00170465422204176i,-0.0230251563969835+0.00092272665020289i,-0.0226903070215282+0.00347044866950502i,-0.0587914438880076+0.00731538682422614i,-0.0343406293334873-0.00709044733589934i,-0.00722837404015214+0.0026620499066054i,-0.0115811861723308-0.00547423219839982i
0.0109411211323856+3.86681847418629e-05i,-0.0362398791058981+0.00503040416626186i,0.0169587366510272+0.00905262694220962i,-0.0543823785669198-0.00329327109096255i,0.0101531637154801+0.00597563619964838i,0.0242638261905978-0.00375457042933601i,0.00586123398411824-0.0114011166305017i
0.0149402038816664+0.000162076266989433i,-0.0158294659312041+0.0145636609669612i,-0.0259992024779727-0.00515783177098033i,-0.0289951554529878+0.00756877494611693i,0.00285150006269812+0.0080571102926143i,0.0183993735607182+0.0017244487055446i,0.00746251678241445-0.0146819735958736i
0.0184639635225054-0.00162521131676331i,0.0219424491076664+0.00242989598966409i,-0.0673719161962401+0.00227345535991956i,0.0525809897003889+0.00180448138977595i,-0.0647316482526995+0.0054585856129234i,-0.0269397074172282+0.0085028839246063i,-0.00550966653659572-0.00706086888014123i
0.0185395482607006-0.000724745050415803i,-0.0107176583198765+0.00122314059019357i,-0.0355031187403258-0.0240831529735922i,0.00581513503048546+0.000136503602490427i,-0.0108411727496937-0.00358551801968138i,0.0102778839715701+0.0101991802733541i,-0.0026583173016457+0.020354589007471i
-0.0468570100867833-0.000754089496810819i,0.0393488550003237+0.00668886968647443i,0.0443425243272322+0.0246194597717485i,0.085408385187047-0.0211818887765141i,-0.0391652592824486+0.00157557928351398i,-0.0405634076423479-0.00150705423780428i,0.0291063288815562-0.0129247631967109i
0.0242616866532003-0.00124443507569713i,0.00432539689567066-0.00172396571956029i,-0.044220041675439-0.00558429695891734i,-0.0115031051029072+0.0125134576051521i,-0.0260376057594392+0.0265844520167212i,0.0309683790387739-0.00891097963798257i,0.0279782464493366-0.0125665268901044i
0.00985427182528639-0.000122891966894583i,-0.000945866997050675+0.00482060703019295i,-0.0468071180602171-0.0288445244044189i,-0.00578524859094247+0.00469817074916715i,0.00627248416477803+0.0136782388834018i,0.00595441787239501-0.0155905584090372i,0.00356690531114151+0.0144089834972661i
0.0204862103057161-0.00181416537322824i,-0.0302975694159182-0.012047657452474i,0.0204965591870363+0.0366628596691867i,-0.0258562681042065-0.0216429181976641i,-0.0549575499056005+0.00743427226890051i,-0.0153502214888056-0.00217236018303361i,-0.0175382886309242-0.0132476733699116i
0.016955959826457-0.000814206015362425i,-0.0444683277816448+0.0031942741530271i,-0.0376459184229712-0.030399127617765i,0.0783266922659231+0.00287709831060155i,-0.0828672096208026+0.00497505892622688i,-0.0203879422728398+0.00302472353404373i,0.00160725287172211+0.0157956836065456i
-0.00509843607473184+0.00323937548743187i,-0.00222213507173916-0.00797730627127701i,0.0545924427835523+0.0117588437064215i,0.0285815401409711+0.0139783774543847i,-0.0127972279822658-0.0293578024585568i,-0.0172839961003277+0.0053075335962721i,-0.0125684944668712+0.000850244625948927i
0.00840466550448547+0.000686579198929293i,-0.0365859607765153-0.0182539830109262i,-0.00347727426004039-0.0127410967194578i,0.0452305322528644+0.0281880040177984i,-0.0267333255443118-0.00271941191072054i,-0.00826265365251382-0.00223886717740221i,-0.000955945084292352+0.0078693070116517i
-0.0022954745838328-0.000213960712551668i,-0.00691718359890766+0.0248877930665335i,0.00278468276949786+0.0192915708823535i,-0.00139160977683163-0.0405564927184087i,-0.0196024684314449-0.00756543056824949i,-0.0169869531885453+0.00607389972374288i,-0.0124318753797629-0.00754449380144502i
-0.0145500316268663-0.00335430280046325i,0.029410678143225+0.00424369754658591i,-0.0173073048101891-0.0149116449022432i,0.078324753422996-0.00702432464396676i,0.0368380498338447+0.00926878604783543i,0.0267667648423458+0.00975167457791857i,0.0201087225775187+0.00941322568649146i
0.0221809097295107+0.0027093390235906i,-0.0201813070605641-0.00920682689359711i,-0.0119885224136462+0.00528358984286827i,-0.104120294916561+0.00463139353819816i,-0.00151391282560266-0.013693339153445i,-0.0117526655930349-0.00088239180917738i,-0.030011681582645+0.00605613873284583i
-0.0118954972116557-0.000636141193221407i,-0.0374496967120917-0.0160928958747427i,-0.0113373570524588-0.0204555542553391i,-0.0146780679897436+0.025481046976712i,0.0222464401913262+0.0125466232272401i,0.0369525761054977+0.000266426845366504i,0.0566765769867515+0.00914541597909022i
-0.00559256774162856-0.000587139999554113i,-0.0384953978426648-0.0142396776171291i,0.0576504481377759+0.0379520123891449i,0.014397052088787-0.00972084487819423i,-0.0231266040007621-0.00700108093899077i,-0.020321413451682+0.00442175222546398i,-0.0184860380127626-0.0157285063128251i
