-0.00215800545967226+0.000255903925416925i,0.000771913961585527+0.00191504581562455i,-0.000301929173222719-0.000407428853903768i,0.00028148237628974+0.000484501800994696i,0.000312445321487941-0.000756675467767024i,0.00140023321049686+0.00232111733707058i,-0.00126452984696638-6.41165878275876e-05i
0.00319814921899862+0.000111493140642974i,0.00249557213833226+0.00334766544329177i,0.00174160109477228-0.0046430904235964i,0.0018284747798825+0.00254816950720626i,0.00766132292187037+0.00503999800530693i,0.0051072557634101+0.0022755809020805i,0.00571467181160047-0.000595846830688571i
0.0227779310369104+0.0015207227101693i,-0.00595586246415258-0.00709085191984946i,-0.00322726563891128+0.00697474413700404i,-0.00435266788382777-0.00428100768406864i,-0.0116517775341638-0.007726404217941i,-0.00635584844872762-0.00532675977332315i,-0.00777130790474119-0.000494220062192653i
0.000652353995181641-0.000625191696589903i,-0.00125802310379979-0.000950036591752061i,-0.00103764670046688+0.00114144878838512i,-0.00130935520248394-0.000825724903432931i,-0.00210795578057272-0.00265624783788388i,-0.000176199358612581-0.000588595644714631i,-0.00160888620856097-0.000687867564579656i
3.89909354642295e-05-0.000413933944296234i,0.00500543952723076+0.00562565199584148i,0.00288979853735204-0.00594947643536228i,0.00378584040982164+0.00369541477833684i,0.0105692116605562+0.00649987302977413i,0.00524890596120571+0.0032301149099974i,0.00813936897722423-0.000225704073747969i
0.000295084992937825-0.000378211622736092i,0.00114892811326372+0.000715252261497639i,0.000850983379865249-0.00115192069665876i,0.000884322242468963+0.000682882999198661i,0.00238565649359757+0.00164581110181454i,0.000409446502830877-0.000251248110701598i,0.00260044883121811-4.31716342652576e-05i
-0.00297165768639015-0.00100358453685922i,0.00416356170848336+0.00458951512752477i,0.00070866555121473-0.00285386380980436i,0.00439686300256596+0.00309398916756122i,0.00645070792827699+0.00260673440980062i,0.00224326448343906+0.00378781639014028i,0.0044874234652557-2.74815105485222e-05i
-0.00125515511569593-0.00163475456611309i,-0.00417477931675605-0.00483443852395668i,-0.00417041359095144+0.00675337408374639i,-0.00268597682630073-0.00318775635856947i,-0.0102195848301268-0.00882622032132326i,-0.00561869645892872-0.00294586366637043i,-0.00747376754557852-0.00102447262938746i
-0.0118259395603256-0.00109990998009019i,0.0036848713494025+0.00301905178863927i,0.00132223816118571-0.00154250399330152i,0.0041545131223567+0.00224874583175447i,0.00450569139213825+0.0029443046979682i,2.55869157161008e-05+0.00226977514183444i,0.00346727561114665+0.000811256203804904i
0.000326791391512029-0.000112609192027437i,-0.00306086464884171-0.00441550828814854i,-0.000996220772631232+0.00408498264688479i,-0.00287825601411775-0.00284584478630098i,-0.0067384581838447-0.0034632071880407i,-0.0044899338776087-0.00395503909442866i,-0.00402596025221624+0.00014207359446513i
0.00263302116523868+0.00059442774026944i,-0.00312986866335445-0.00369261797796646i,-0.000662124706645467+0.0021040719934395i,-0.00282293006330705-0.00204674648131736i,-0.00442518834795867-0.00155366873239278i,-0.00206060226596482-0.0030557615678475i,-0.00265278426511653+8.26970294412778e-06i
-0.00433698515781776-0.00177493219768724i,0.00167470043381381+0.001210605324103i,-0.000180384945027964+0.000780424038186509i,0.00198078479241545+0.000815122612063653i,0.00060495860147142-0.00149584037481224i,-0.000811690098452516+0.000815051230290878i,0.000689176316794475-0.000312126763004776i
4.94944171843441e-06+0.000327786250451187i,0.00105085935578826+0.00116297650636936i,0.000573561296494113-0.00131884216768714i,0.00116118683743868+0.000885548354425617i,0.00220391745868115+0.00188751006237486i,0.000935684829949818+0.00111042872503034i,0.00149435430972505+0.000289249718662431i
0.00240001553315857+0.000707175091404131i,-0.00448763486522512-0.00455318210655058i,-0.00179940495314839+0.00362078920625422i,-0.00365525354977768-0.00298337421242036i,-0.00747675305523439-0.00410975842961586i,-0.00284933297445399-0.00298525994813803i,-0.00574055983540374+0.000149038377193174i
-0.00289091729361146-0.00026182785312891i,0.00321601614939145+0.00334668715261232i,0.00112938464521047-0.00186576595987682i,0.00279857700770841+0.00201304865369791i,0.0041148426021777+0.0018993202798898i,0.00135830401732306+0.00290226996419204i,0.00273727106201704+0.000612271330750815i
-0.000504001225133423+4.91411041054502e-05i,0.000272960399856815+0.000546770282377289i,0.000140966487451524-0.000261585879459655i,0.000370588845741361+0.000191805959685119i,0.000401906463726283+0.000111996884500582i,0.000265733882428505+0.000299036443222917i,0.000212156249088977-8.86372843418992e-05i
0.00103157728983228+0.00050048470025471i,-0.00206803541541168-0.0024243698464841i,-0.000537334414849935+0.00168708107708869i,-0.00224995439254789-0.00170190489000673i,-0.00356122640320468-0.00136726957235332i,-0.00175125940023841-0.00205442782041831i,-0.00241612333082729+0.000131177940682092i
-9.06954619674385e-05-0.000100768011966492i,-0.00214271913449584-0.00235968815989795i,-0.00139560526629887+0.00268658590372752i,-0.00190718779808131-0.00185384305150271i,-0.00483654695391648-0.00345308283526289i,-0.0025570194476809-0.00174645958632012i,-0.00365802736827832+0.000112080366183706i
-0.00179109768521486-1.48052428681209e-06i,0.00489765513836808+0.00555949037425889i,0.00329581865011673-0.0056465186941295i,0.00421589103330017+0.0037900606572805i,0.00950320692587688+0.00596552761937324i,0.0049553863248718+0.00398504155104777i,0.0068342291856124+0.000966818285895591i
-0.00212312067164018+0.000520611742124919i,0.00169690902324186+0.00142003300117736i,0.000923644027553239-0.000771116307528302i,0.00180471540531434+0.000814546351716338i,0.00156087768939721+0.00184755743994463i,-0.000449210571263823+0.00121919473308618i,0.000973402548866708+0.00117096888093683i
0.00174132356843516+0.000800620750683016i,0.00122035206234538+0.00160219557239627i,0.0016532438257924-0.00301851464787996i,0.000837920119567602+0.00118252923773041i,0.00427368261006982+0.00389381925244057i,0.00242197080267048+0.00084922907256547i,0.00328356615021421+0.00047726409589788i
