0.00124265743949614+0.000290262232982983i,0.0390296152949775+0.0201082990786526i,0.00862553143209437-0.0216450420417199i,0.0122750052453309-0.00708957764020786i,-0.0251721266709954-0.0187459982540718i,0.0108045880355959+0.000881115855748823i,-0.0256429231072972+0.0399595656800672i
0.0231607586232571+0.00397624344781135i,-0.025371303876195-0.00697163841351844i,-0.0194758587527764-0.038121630713045i,-0.0134852914687886+0.00888746544798272i,0.0462520089214639+0.0110657699074857i,0.0331294869988184-0.00367582475235671i,0.0291387384654953-0.00235151016681996i
-0.00439598288781977-0.00377271744090756i,0.0101447433229587+0.0215038317367035i,0.00989549668204967+0.0262825842404051i,0.0311998317795661+0.0094764213578516i,-0.025122731118595-0.0119696514751007i,-0.029982903940408+0.0292339663887872i,0.00016376818711442-0.00585622899300804i
0.00200491127757636-0.00154984000013311i,0.0137428182275343+0.019683622802664i,-0.00483327190742918-0.00438938322111839i,0.00227665913377933+0.00990001600790901i,0.00751527888983475+0.00349531218498134i,-0.0110686797340145+0.0100541474438077i,-0.00524640907300406-0.0073733906743182i
0.000254816764234744+0.00321051406854347i,-0.00587022631970699-0.022910970809848i,-0.0106993940448418+0.00105718795935891i,-0.00749353405277756-0.0132005795797686i,0.00829001756642427+0.00558801247373079i,-0.00056967082488338-0.00889143865109103i,-0.0203303373682861+0.00219362181786122i
0.00277173806048989+0.00220001365181384i,0.0075323646658861-0.029028855608595i,0.00698534200716785-0.00801018466507892i,0.0341013516443542+0.00619492887772827i,0.0323160908499514+0.012199564340275i,0.0122994763464786-0.0198798403212425i,0.0178108167608347+0.0110747997552975i
0.00499621812190372+0.00213697578194696i,0.0132794975133889-0.00499665718783496i,-0.00911735182197619-0.00674205813745652i,-0.00256283846403035-0.00704237671412246i,0.0132154574877079-0.00149051030389967i,-0.00655306942010255+0.0106140025549221i,-0.0221107793336287+0.010279034148299i
-0.00191033379327117+0.00140146769627876i,0.0133328537803976-0.0206602512786914i,0.00416944779766441+0.0103121843186077i,0.0125767711431908-0.013656460819783i,-0.00630025531056539-0.00482662202639728i,-0.0102741304340559-0.00119781811247719i,-0.0266670042222552+0.0149844309423856i
-0.00130898132497518+0.000369121032656472i,0.0140628817546975-0.00138735614810618i,-0.00419112368733139-0.00632805142136374i,0.0303612613003285-0.00204684469862047i,-0.00756194746951237-0.00688935247608826i,-0.0047452282257489+0.0089000776182395i,-0.0138052716553562+0.0219298580134101i
0.00233557841362367-0.000366838087868651i,-0.00749178148413169+0.00593342393236425i,-0.014771203070866-0.0135867527618794i,-0.0134582222784047+0.0111614450299515i,0.00404247237474272+0.0104730005830786i,0.0045010032411367-0.00488235669454853i,-0.000413744076377899-0.00961740037692133i
-0.00325457184663221-0.000703960315213755i,-0.0148683403763332-0.00485452623883179i,-0.0237001189225204-0.00473962284850305i,0.0146083367615522+0.0105454078600581i,-0.0180036651637714+0.00531243627396557i,-0.0170237404278129+0.00397807422342361i,-0.0154311837854158-0.00271734757878917i
-0.00122255814527681-0.00226007596336641i,0.0139858043379075+0.00818970469399063i,0.0091030787644741+0.00773778426144143i,0.0178509436706388+0.0120101323346093i,-0.0129272399036012-0.00197181663012364i,-0.0196581281706442+0.00336122296774295i,0.00174466896099242+0.00133732372905403i
-0.00241005848377524-0.00230796813485327i,-0.0228818690702828+0.00245618087712265i,-0.00371841846808842-0.00495893467840613i,-0.00885013083126307+0.0146122465991077i,-0.0210999683424147-0.000914338380064371i,-7.39626125069986e-05-0.00121490475261741i,0.00554914060063494-0.00523721813990234i
0.00864929984874401+0.00131467736459348i,-0.0113052310420372-0.00350530444929989i,0.00606380476195339-0.0043702041691198i,0.0155489166747479+0.00490241100878773i,0.0153434648186286-0.00466464118567357i,0.0160263522142505+0.011754447210082i,0.0144802133881181+0.0020195040826841i
0.00052518365109024+0.000651061201511149i,-0.0211092675751394+0.00772293898957033i,0.0016091257630406-0.0151640925286728i,-0.0295893359673455-0.0078085708987499i,-0.00764358379897587-0.010237239705954i,0.0376609359928507-0.00160678674341779i,-0.0016915296898041+0.00236489755394413i
-0.00526968942017606-0.00125805354670457i,0.00300127581035555+0.0234075017437034i,0.00146317451500446+0.00546690140050303i,-0.027648958023506-0.00941481120281741i,-0.0212640578529036-0.00579978662903022i,0.0146994824885365+0.000168537403005046i,-0.0199041317369156-0.00812691657930168i
0.00217741674806207+0.000771432331236497i,-0.00270487931634021-0.00490819298959699i,0.00506431979918551+0.0038022254724521i,-0.00106311375375922+0.00246293459854395i,0.0205598928108088+0.0120267801089778i,0.00190400353402928-0.0154687881298025i,0.031269190825859-0.0114797548706972i
-0.00741255277417905-0.00128629885353445i,0.0210467954638368-0.00098560001883195i,0.0124511687789948+0.012727046590681i,-0.00600511064935116-0.00789971426114548i,-0.0222637119955002-0.00557536605337682i,-0.0140756403760212-0.00650923348666721i,-0.0186149601001518+0.00898065760325328i
-0.00579175378287979-0.00166752102548044i,0.0215584638301547-0.00444992619694229i,0.0107511046816242+0.0213436413337567i,0.0283790001718983+0.00105970721801608i,-0.0149337802270685-0.00159894333671992i,-0.0261290423852581-0.000303182716366535i,-0.00806421066910916+0.007036074770579i
0.00192478352406885-0.00390509893114547i,0.0156673195392468+0.0442048570927514i,-0.0022785678405899-0.00373443895247938i,0.00258238043121636+0.0172565691163875i,-0.00402368058821074+0.00444490039114603i,-0.00382057367812791+0.00925762142587697i,0.0138242957475922-0.0195902273917312i
-0.00355820874812843-0.000444430959315609i,-0.023810198711107-0.0254570823832825i,0.00187433258157327+0.0122511671116598i,0.00382220642618497+0.00743170320782769i,-0.00662409614097025+0.00836703755181691i,-0.00923385823084936-0.0174743541082745i,0.0181334602144317-0.00905121207996013i
0.000380972798661146-0.000932336830680014i,0.036978604581938+0.00372650539952964i,0.0140531820233481+0.00833327720688907i,0.0315954275778809-0.0051980999427602i,-0.000286263573984001-0.00685542467148505i,-0.0243562480664136+0.00633308328324697i,-0.0019532186237833+0.0204603339286784i
0.0177761448716287+0.00409984547914831i,0.000364802999469804+0.00143266833419737i,-0.0117255930102731-0.0167568535594691i,-0.017094587116539-0.00463276280861677i,0.0532262223833931+0.00690592644056644i,0.00886392940429975+0.011548159498003i,0.00653621902435003-0.0102782386322383i
0.00250884957486286+0.00139577081622088i,-0.00270464789304021-0.0153716695553575i,-0.0131543757911785-0.00490145395926866i,0.0189324208205325+0.00414424368234772i,0.0136740535069675+0.00784737536709979i,-0.00310102938631128+0.00269234088038422i,-0.00895805689568774+0.0049444848963891i
-0.00300005617172841-0.000619274703382655i,0.0119959674832643-0.00224594584368242i,0.00345182627399865+0.00909287225714316i,0.0337201485682024-0.00373094172020348i,-0.0230274541132651-0.0144222966514635i,-0.0103969428078827+0.0185569153159964i,-0.0222868566464742+0.0204569037462886i
0.000758467528299077+0.000593050380619065i,0.00354722698674776+0.00598921903921457i,-0.00214595844706801-0.00729948024642651i,0.0113085978035118-0.0032201565908956i,-0.0116381177631469-0.00984538507638107i,0.0120748803377174+0.0109100551897631i,-0.0178251078071972+0.013682463914088i
-0.0115056722172847-0.000447217037160728i,0.00178221654293727-0.00805636747173428i,0.0118725410691776+0.0140499385510664i,-0.0137183451947993-0.0179001395975957i,-0.0229297359267448-0.00662428113689833i,0.00867876597877798-0.0146044695961084i,-0.0208182889185308+0.00194587086428411i
0.00247038750728477+0.00411306805549481i,-0.0167862456387668-0.0277923092528473i,0.00454626984710815-0.00450234626266463i,-0.0396851362745546-0.0173255676037207i,0.0246172215566015+0.00622256220718989i,0.0197070869292775-0.0229673735336205i,0.000875233274997298-0.00672314898478812i
-0.00978767573338978-0.0012420557673345i,-0.0243082477170414-0.000232575796458768i,-0.005108099010076+0.00433271366044709i,-0.041699540887098-0.01160467633664i,-0.0371244172073389-0.00861522165550884i,0.0023213143220856-0.00583375151353128i,-0.0208970914654157-0.00402847863239111i
0.00764565330623963+0.00248068711344533i,-0.016987368929462+0.00373789355026281i,-0.0212017758419249-0.0164767710044857i,-0.00416979916316919+0.00321741693802137i,0.0100175944361204+0.00208849249209559i,0.012009274337354+0.00898370322944787i,-0.00176594002940532-0.000524401587383357i
0.00667419864271165-0.000147748051717089i,0.0125931651822149+0.0163689703297004i,-0.00225454934298351-0.0132823664685114i,0.00166064302036578+0.00957799271708376i,0.0202621433222603+0.001030896461354i,-0.000957780748963865+0.0128284688597294i,0.00947145191354631-0.000997828610056073i
-0.00286714819577635+0.00326826248718546i,-0.0192743951128326-0.0246256702024294i,-0.0221803139383773+0.00428723817618125i,-0.0313266310206271-0.0178341319651918i,-0.00699239764784927+0.00732304617299207i,-0.0121504134171172-0.0135086932853254i,-0.0263362660162784-0.00290484739771052i
-0.00364218835160737-0.00126776602149694i,0.00822223160996555+0.0126304497887584i,0.00641216783221276-0.00519223502389644i,0.00163594627030865+0.00135124011793756i,-0.0135027034095383-0.00265882574435591i,0.0119257956732082-0.00637849966714938i,0.00311907698270448+0.00524559555946777i
0.00671890407392684-7.80793889574422e-06i,0.00200236687661969+0.010261562973357i,-0.00148097621059904-0.00309597612761997i,-0.00195577487105269+0.006647796123042i,0.0298967012276267+0.00697046221765136i,-0.00104053730066822+0.00869373720379029i,0.0214610770285158-0.0148196742720945i
-0.00709085404706968-0.000177664538677453i,-0.0140291589904529-0.00922312818658539i,-0.00999866362342471+0.0019421640417212i,0.00434402248996387+0.00285237613718519i,-0.0260742506281628+0.00519322887417841i,0.00619675641733501-0.0152075654832278i,-0.0203501163458312-0.00321073354592359i
0.00076340250716151-0.000532733868013212i,-0.00634397420206341+0.000287846722092432i,-0.0113618101988711-0.00218063019290807i,0.00701676086149955+0.00259453292113478i,-0.00360682124235009-0.000157878149704015i,-0.000273249244548104+0.00694152764799223i,-0.00436962098688533+0.00270709303724473i
