-2.01809805839304-0.0534340000535392i,-0.0588968162622085-0.00192252831124687i,-0.0530307656259401+0.0269028631886927i,-0.0531886304630317+0.030243254413638i,-0.0753296667622918+0.00696418361038925i,0.0548770405350723+0.0148778818237615i,-0.0993697628803457-0.00343329729348287i
-0.0100792782417808-0.00171108103004545i,0.016500358867085+0.00414470231295441i,0.0256808206581457+0.021285142005206i,-0.00334633845219013-0.00155333920189269i,-0.0396788796970647-0.00241222068209106i,0.0329305359924948-0.004617724640805i,0.019222220430575-0.0108739481964744i
-0.00695063356429522-0.00332838884258244i,0.0287742184229509+0.00605645573003858i,-0.0117132128872879+0.00593197660400839i,0.00184880037055969+0.00117693256596153i,0.0110316707793884+0.000408291931977449i,0.0383262707817974+0.0152480350541157i,0.0077737996218685+0.00490280597977698i
0.0184859759938859-0.00337289892393844i,-0.0397369639702715-0.0228928810740374i,0.00311144745380432+0.0218507498928242i,-0.0133636150854149+0.015994059639248i,-0.0150011905481322+0.00278409431257339i,0.0329908556609776+0.0150666237549553i,0.0180872202761003-0.00778263296987534i
0.0085456604848269-0.00092901672649952i,-0.0396307224707436-0.0253513056324116i,0.0203365385095909+0.0342281328263377i,0.00792422297367284+0.00908172502826099i,-0.0246512374823101-0.00635149625350657i,0.0187465378978917+0.00830681328224235i,-0.00975882225800507-0.0136609571529761i
0.0060808100239469-0.00280909735174287i,-0.0438668423343557-0.0158781489275408i,-0.00629101563615476-0.0216998824714648i,0.00329908037867845+0.0106717517652851i,0.00130079482667143+0.00648791087236172i,-0.0356773341109152+0.000956169532534768i,0.0617331967850305+0.02947769408622i
-0.00552186045279108-0.000497985916636485i,-0.000166093665850408+0.00195397629727321i,0.0276997688005969+0.00932084769582036i,0.0110408831730086+0.00364776728593819i,-0.0113799929191186-0.0188721295825226i,0.0294937996319317+0.0150988832342924i,-0.0193145565911479-0.00212421725858112i
0.018859464383313-0.000488269365822822i,-0.0155283116505699+0.00877719652644972i,-0.00421060624419381-0.0170480678725376i,-0.02688183851854+0.00398452632658853i,0.0194069127815298-0.00838513772243209i,0.0136219761987006+0.0177854088410651i,0.0153193722053677+0.00529860151266609i
-0.01526214885037-0.00071183298887657i,0.0455903207102875+0.0291260338508749i,0.0254762768089502+0.0108036071416382i,-0.0282466126180167-0.0134237207516389i,-0.00631544328456791-0.0121423120532999i,0.0188048804374711+0.00959532479306621i,-0.0106394808814545-0.0169424728092123i
0.00597174363289947-0.00323752579127322i,0.0225865940982576+0.000973066907749108i,0.0210621795837978+0.0300531207929709i,-0.0606761569796219-0.00635355899340303i,0.0128499638375758+0.0101631449611264i,-0.00400671188343273-0.00234613490765037i,0.039406734721667-0.0169492616132382i
0.00187587939840801-0.0005073355623839i,0.00191252941215972-0.0191552351971438i,-0.0152851976946361+0.0254156445712425i,0.059746720666328+0.0143549618580762i,-0.0224452061883916+0.0119373305339698i,0.0596844225445926+0.00680367306901142i,-0.0541443355826612-0.0227047512009507i
-0.00675226078638704+0.000438697280356751i,-0.0230699639412857-0.0333149924759719i,0.042397189951169+0.0577696918795792i,0.0445855462624561+0.00681541510146223i,-0.0470045282426856+0.00213596190208581i,0.0383375303009165-0.00920993855417658i,-0.008275869535906-0.029459482074443i
0.00584616108999114+0.00287583105338422i,0.0271359345292477-0.00390490537306686i,-0.0291444347535981+0.0193501811727322i,-0.00479338127748429-0.00970645322737595i,0.0154579412238034+0.0121795942069399i,-0.0140149485948254-0.00710080124539467i,-0.0356672833157651-0.0216444506934171i
0.0202313479153623+0.00356490039589223i,-0.0442287277342844-0.00131866719282429i,0.00675967147254945-0.0203015751224794i,-0.0261065914195818-0.0013658244975466i,0.00560633590485782-0.00640269022010114i,-0.0139804217230337-0.0188636479861199i,0.0115276754069221+0.0135718954760806i
-0.0130148910248368-0.00428963140860355i,0.00881853207668373-0.0248966192589331i,0.00669949666258777+0.0369755959079499i,0.0360240871339624+0.00818955553533218i,0.00157955950844919+0.00173101994776201i,-0.00663907474211863+0.0243722380825605i,-0.00976004254124858-0.00913089641704509i
-0.016492741263257+0.00150461225964208i,-0.00628528014947705+0.00823763808603792i,0.0283790614341234-0.0185537955919272i,0.0596892630150522+0.00715482384701044i,-0.0130707040289596-0.0206744572545391i,0.0296079934428239-0.0020139716690952i,-0.0384421656469558+0.0116769376834282i
0.0259696082397548+0.00048278632374983i,-0.0387855120180101-3.73143088770421e-05i,-0.00252393725215016-0.0187684338607668i,-0.0751651540721085-0.00110221993673349i,0.00691518548910002+0.0038690837519283i,-0.0539359790054512-0.0102846686649626i,0.0606281001101688+0.0101278775743705i
0.000573787074567555+0.000899932712523454i,-0.0244876264401766+0.00586156791262009i,-0.00271278288818713-0.0282950405655629i,0.0272679404069946+0.00694487602770018i,-0.0220255093103696-0.0112006294260361i,0.0139277651420088-0.000134478024002582i,-0.00442348841147243+0.0179548906693746i
0.00730890577413456-0.000700658276705569i,-0.000450386051747335+0.00788805008999073i,-0.0159948449838321-0.0126380710528696i,-0.00734270010874829-0.000965869763799523i,0.0208259707501957+0.000915625707208004i,0.00147205989288779+0.0108733366920324i,0.00786330442348799+0.00309193238875658i
-0.00437431376174784-0.000576652497539635i,-1.18873658398006e-05+0.00424213601382149i,-0.00270814583958169-0.0109009140720758i,-0.0134224881713038-0.00324875944142633i,0.0159622394628639+0.00528499064796773i,-0.0391966017352817-0.00271883288092611i,0.00939458758652494+0.00307333637310946i
0.00773897081688164-0.000357129385392507i,-0.0318446827353988-0.00742056733298536i,0.0261065446341748+0.0124322323995265i,-0.0321651026684695+0.00268823139166062i,-0.0261328755394683-0.00362077615048076i,-0.0148732236967501-0.00428183267609296i,0.0157422162838317-0.00785646163054939i
-0.0140777049965401-0.000482188805203715i,0.00487730755007041+0.0203374371317528i,0.00698036314687052-0.0343526167066118i,-0.0197998143178274-0.00394804251498579i,-0.0131026571989399-0.0100027055749344i,-0.0223800676367144-0.00431479533036717i,0.0300148828368216+0.0258682056732608i
-0.00409890297157805-0.00265573604975694i,-0.00445941480001523+0.0229789700396277i,0.0164064468871711-0.0148296661516382i,-0.0237905374040802+0.00123820061100421i,-0.0151860660562327-0.0153910876346467i,0.0214057358057832+0.0179209253930587i,0.0198117384175084+0.00373834974582287i
0.0105004531147465+0.00386988133533723i,-0.0400470703871355-0.0113971715407006i,0.00545937063765226+0.012149441543073i,-0.0182509845572952-0.00318965764761649i,-0.0361090956365569-0.000184015387026134i,-0.00622032345527597-0.0217235208251984i,-0.00715189003371273-0.0125357151510801i
0.0278469115706975+0.00903307477331314i,-0.00910072659902686+0.0173292909218114i,-0.0355648441258913-0.012531817117635i,-0.0653909005511849-0.0203594502799532i,0.0094750051752628+0.0135439421507145i,-0.0340999372636876-0.0401553172983475i,-0.025261931003983-0.0256633979952189i
-0.0347930568606859-0.0076989623433054i,0.0809548336417695+0.0337549165804378i,0.0349850033895312-0.0124327049504785i,-0.0402498165737834-0.00731770998538423i,0.0328948237033994-0.0122782458271927i,-0.0166719475395013+0.0231531859226505i,0.0509043261523691+0.0249145945728493i
-0.0147570675634785-0.00334255495061172i,0.0208087265916872+0.0277741576740432i,0.0577997721170731-0.0163333908139382i,-0.00839356582036825+0.00384847042935174i,-0.0133983410460942-0.0264643173985278i,0.075269762813604+0.00946876874521263i,0.0153113913205917+0.0218468969982037i
0.0134385465113869+0.00625475510620698i,-0.0212503951788403+0.00893675610936161i,-0.00757746652437817-0.0226971123283063i,-0.0210671087565917-0.0088287965262767i,-0.00617464311021142-0.00505150066042528i,-0.0340609932127708-0.0226503543587513i,-0.0134880632281333-0.000652985453862942i
-0.0089535405582073+0.00047247277853388i,0.0440456112177938+0.0195794496486615i,0.013569702002795+0.00737415892603639i,-0.00936934334960749-0.00995397697352059i,0.018951878062034-0.0108173929605471i,0.0179494502076709+0.00894928187896911i,-0.0269476846415665-0.0105385089816686i
0.0134926988810597+0.00125556659890739i,-0.0570358832422126-0.0410906967055707i,-0.0245744547930949-0.0127204173080603i,0.0505028324210817+0.0160205821236058i,-0.00219560154207961+0.0237238333482759i,-0.0468034245317817-0.0216991046077088i,0.0255796728527966+0.0220384975742248i
0.00829257515801784+0.00438268706379999i,-0.0352649998587652+0.0136780547793473i,-0.00166968745461661-0.0256070575375731i,-0.0051980370436794+0.00217678971090431i,-0.0378448764571634-0.0150180119819909i,0.0350249691172125-0.0133477112664977i,-0.0337912434526321+0.00325837896131365i
-0.00505600877679232-0.000397932316352072i,-4.85844033839343e-05-0.0158486716682328i,-0.0299829051133309-0.0169450678639016i,0.0364562212607269+0.00309697137922324i,0.0340236816698663+0.0145688565539556i,-0.0657069217346108-0.00166946374374282i,0.0227051256287879+0.0207644913716412i
