-0.00594184456654975+0.000896174240932406i,-0.0087515615473075-0.0165011865705669i,0.020028027678039-0.00600963749577803i,0.02617658437105+0.0160792383114152i,-0.0349035798832106+0.00311125364524668i,0.00963897697129103+0.000423310693121484i,0.0435082134210139+0.00478928758495069i
0.0495482969804671+0.00126482716473907i,-0.0552810816014439-0.0266374717797511i,0.00980320308906084+0.00904029721832717i,0.00649413680990908+0.0106009769902966i,-0.0294226991953443+0.000685274322830614i,-0.00151582556598156-0.000182892508916236i,-0.00454626490125873+0.00872817365688394i
0.0575968817616749+0.00118202274919158i,0.0174834108022818+0.0202749186199777i,0.034477511347744+0.00983074439088601i,0.0186639245119061-0.0063771361770404i,-0.0646932870808474-0.0107721780998345i,0.0215180350616376-0.000329197146719667i,-0.00466855720735434-0.00983624625154161i
0.0206112362508245+0.000417984097994857i,0.0547736936093142+0.0160302221218814i,0.00932720939103023+0.0270032802393549i,0.00555602713929949-0.0206562355294051i,-0.0148335947072663-0.00213446556737117i,0.0509586115008861-8.3789868549242e-05i,-0.00435825707112259-0.0191702200808638i
0.0196311013658289-0.00108734667945088i,-0.00702253016215981-0.0172497748013406i,-0.008067270568352+0.0193154504607572i,-0.0436051989999126-0.0159682526920385i,-0.00841184096820565+0.0150974157223431i,-0.0545166963107627+0.000229700995780897i,0.0490887878353016-0.00360063708343459i
-0.0250479833226529-0.000185183452179583i,0.0361745168977655+0.0289857032334023i,0.00621432893655766-0.0309556269918199i,-0.00190203593955138+0.00853655758318392i,0.0451306200399674-0.0106840574091308i,0.0275524878916312+0.000244741628722741i,-0.00173777948127549+0.00383219981382197i
-0.0461898447218114-0.00072878124393818i,-0.0113143884390439-0.0158612483266806i,-0.0116461478013268-0.0134600161935503i,0.00562069866275211+0.00889361373675831i,0.0556175933433996+0.00446410021080508i,0.0183030568539379-0.000495213350254473i,0.01193669499828+0.0142632608876311i
0.0026492077490695+0.000964413718098764i,0.0181230332809081+0.00129146689854605i,-0.0278281982083743+0.00651570845288859i,-0.0585917877349754-0.0189871361017778i,-0.0321733902670279+0.0168090379080934i,0.0325853441937861+0.0011992664245044i,0.0654701105244533-0.00339638334354442i
0.0018481810051506-0.000649820435824731i,-0.0237656439048265-0.0331132785419928i,0.00946566427086266-0.00127472652417831i,0.0281283303205242+0.00765794536608995i,0.010800732052529+0.0115700432688569i,-0.0516838144248807+0.00162463025495356i,0.054162465411124+0.0139676658549729i
-0.0461777171628205+0.000355128002354003i,-0.0169660792432799+0.0159818515680558i,-0.0122644052665849-0.0215588138034579i,-0.0479063372653692-0.00160180480745887i,0.0623446369086505-0.0103029572213004i,0.0226478779907758+4.98763671959282e-06i,-0.0228494382028717+0.018797473363184i
0.05864853113098-0.00296597607172074i,-0.00497364290162145-0.0106324137792667i,-0.00864396574685446+0.0553089794618365i,-0.0374575435250614-0.0137538198540658i,-0.018611952032047-0.00962132022408506i,-0.0334512745995764-0.00173556263878462i,-0.081015982574106-0.0245676611348062i
-0.0207625714112346+0.00172054169685129i,-0.0153074444639414-0.0025338807782087i,-0.0403096707266862-0.021679320201245i,0.0374772676830392+0.0119949669815964i,0.0188117645665814+0.000305252833496883i,-0.030059605664788+0.00105850568738496i,-0.0338319789135981+0.0127196656922799i
-0.0273528051901492+0.00100988477919033i,-0.029631164366781+0.0071230073652171i,-0.00178714554568495-0.0410438976308929i,0.048843740610331+0.019675923879369i,0.0388920725522788-0.0082443747865004i,0.04794672010498+0.000345127186913365i,-0.0240276505809913+0.0239040373403675i
0.00531818258288943+0.000235175584544284i,-0.00710836573851746+0.0167285917948941i,-0.00306368172377584-0.0269761942024721i,0.0311621777488433+0.0109135339727715i,-0.00990372840479475-0.00212756619232877i,0.039093997056993-0.00140582551523199i,-0.0239243219673757+0.00157654412777644i
0.0227623396374208+0.00803682675293888i,0.0384500085067984+0.0336619637460851i,0.0283655058161341-0.0165411802425509i,0.0385920609677487-0.00482001297630527i,0.0189108973574829-0.0146514924821169i,0.0118141021652091+0.00297178459919577i,0.00598285081453405+0.00970015151912334i
0.0654963473086237-0.00126504854756167i,0.0229790301249338+0.0089794592109989i,0.0296089628372663+0.0310662137749063i,0.000212160685804323-0.0095198160178059i,0.00138055745718554-0.0133355305749976i,-0.0588037808548063-0.000829872295858595i,-0.0483364827898626-0.017361317590347i
