-2.94659119021937-0.0184004605251657i,0.00275959423855822+0.0290436527105229i,0.0728202380729925+0.0354715212575222i,-0.238234678722465-0.0218940504872969i,-0.503676006763723+0.00167065079274044i,0.394139170770977-0.0948328369377561i,-0.406293091185868+0.0722055276390207i
0.00844215273668996+0.00451870183219038i,0.0131255370343584+0.0346976538431333i,-0.00867173895096547-0.0132162259870534i,-0.0426936591146586-0.00300064994178666i,-0.0189882062455974-0.0243697542207107i,0.0729156694605133+0.00677551885324266i,-0.0626750244624349-0.00634680083771242i
0.00985003885944133-0.000648579589791719i,0.00483702909569973+0.0130536210143049i,0.00161450196437295-0.0188352111029964i,0.0309970950638126+0.0226432504085317i,-0.0942659777810221-0.00207650808492322i,-0.0534167845165158+0.00814721887797323i,0.017113570711398-0.0160800390062314i
0.0117865112060157-0.00549157873294915i,0.0669020660646562+0.0243833619134239i,0.0169441894770972-0.0254157625563361i,0.063288196368766-0.00541316556393667i,-0.00312681977076657+0.0219158189892986i,-0.0154389132723687-0.0082806146988816i,0.117342318807922+0.000993239849991633i
0.0168603179885736-0.0033306034342843i,0.00728351295832665-0.00160470197107392i,0.0434188239981118+0.0439797811746848i,-0.0310310632533458-0.0138492473714124i,-0.0551093707684375+0.0125667710058727i,0.0182742859360284-0.00705152341187974i,0.0182533971695171-0.0308230313920448i
0.0125392466826629+0.00347744101347159i,0.00364549547198035-0.0179900994917451i,-0.0251993254259381+0.0228025966059884i,-0.0497425810525208-0.00526699643749404i,-0.0340148923990835-0.000645820683541673i,-0.0412196146689651+0.00944097315669434i,-0.0122976561770937-0.0120834144836773i
-0.00462315876013438+0.0025743989586003i,0.00686700662131082-0.0250130277713198i,-0.0225170590876355+0.0255651681774192i,-9.40108647154263e-06-0.016735110160714i,0.0410434036312516+0.00575061656605447i,-0.0538373777230833+0.00304282489408396i,0.0117377333372762+0.00344417628545525i
0.011509535512229-0.00635824341715012i,-0.0663575264465117-0.0201764787721792i,-0.0381877715703002-0.0176024732318813i,-0.0783880693895114+0.023246490660649i,0.0312933267595786+0.0216503889925553i,0.056000560736668-0.00313984707406941i,-0.0315302683297991+0.00569991733891699i
0.00871679183182581-0.00278163338314416i,-0.00197228503330097+0.0105958574156525i,-0.0361890580077335-0.0463855843957885i,0.0260944804451476+0.0154505914265982i,0.0342000493561445+0.00905492639915667i,0.0530565427878007+0.00543394734962424i,0.0547394353855861+0.0140587419761217i
-0.0338873038865975+0.000528650755953315i,-0.0247835018919761-0.0112241414633353i,-0.0620523952454651-0.0154086781224773i,-0.026618372703473-0.00158935429824373i,0.040259722038906+0.00595056490011688i,0.0137269422759758-0.000586636131204653i,-0.043780661047832+0.0197185206834129i
-0.0175085064676216+0.000426447883969857i,0.0438718984223382+0.0166828453352011i,0.00829415825190358-0.00565572384723662i,0.0241499081612614-0.0118677744214008i,0.0464589668489786-0.00759901235159852i,-0.057515690437798-0.0077661463470829i,0.0510695496460463+0.0128789009563184i
-0.00500139860606041+0.000737357034316603i,0.0148355422028354+0.000849234900387765i,0.0354344172722172+0.0102818068502548i,0.0579336037216295-0.021074289479498i,-0.00201013943326977+0.00646336737505196i,-0.041934556852965-0.00191598215746528i,0.0357124526509061+0.00131902347523052i
-0.0219317647829886-0.000540606555502341i,-0.0129292993269123+0.0207046292679025i,-0.0204419959816143-0.0219258119704631i,0.00603363665536738+0.0105575170958514i,-0.0304156705202734-0.0165259307528889i,-0.00702980776137799-0.00459663092060865i,0.0203348485913191+0.0110483184470157i
-0.00324283180218856-0.00315695548656025i,-0.0368521254473088-0.0274907685303346i,0.00711113446680436+0.0192035883357306i,0.000473747171576366+0.00332907309926906i,0.0370482260495951+0.0126494003095984i,0.00983293055383991-0.00540581771942914i,-0.0348505779876741-2.65926997502532e-05i
0.0063724879165628-0.00350405297749055i,0.0512718550057781+0.011123407264355i,0.0165080196283798-0.00574353459279172i,0.0231509704151214+0.00786504490854944i,-0.0200027370035399+0.00674743467141037i,0.0124459175215903-0.00731297807163162i,0.0364830598427763-0.00638682700181822i
0.00618096668997138+0.000337054040806892i,-0.0614083876283217-0.0150761728539038i,0.00465301196751355+0.0325339076912146i,-0.0989231311021104-0.013125133583423i,0.0525990809926964-0.00500512101773219i,0.032351849952759-0.00555785045313198i,-0.0361437030010751+0.00239185777479801i
