-12.8228214749869-0.000166028132883173i,0.0138275966610193-1.76602929341949e-06i,0.0138275966932755-1.76603196136017e-06i,0.013827596678159-1.76602688122602e-06i,0.0138275967396729-1.76601934089724e-06i,0.0138275094962329-1.76572703920686e-06i,0.0138275974889855-1.76602545170928e-06i
-0.0577552237426665-2.87738939685908e-05i,0.000461676158747722-9.81619318617573e-07i,0.000461676156577619-9.81617686817872e-07i,0.000461676159004222-9.81611720744591e-07i,0.000461676155207271-9.81615812727495e-07i,0.000461683434481472-9.81257729508293e-07i,0.000461676112064691-9.81617352166739e-07i
0.139733703731021+8.77003492014293e-06i,-0.0026428768451753+3.42540024231644e-07i,-0.00264287683558527+3.42545160445578e-07i,-0.00264287685032312+3.42540791003644e-07i,-0.00264287687514999+3.42546170658056e-07i,-0.00264286505443872+3.42460171793712e-07i,-0.00264287695647933+3.42541183785221e-07i
0.0323568712717976+1.51257245714256e-05i,-0.0043746736815301+2.34292054399385e-06i,-0.00437467369592542+2.34292240660538e-06i,-0.00437467369923248+2.3429081399439e-06i,-0.00437467374369618+2.3429070726806e-06i,-0.00437464882772942+2.34210211015718e-06i,-0.00437467392915463+2.34290944754969e-06i
-0.0435707222605349+2.42636781343897e-05i,0.0050780841339559+3.03243336136819e-06i,0.00507808411993507+3.03242992407147e-06i,0.00507808412169791+3.03241685240495e-06i,0.0050780841040661+3.03241702342156e-06i,0.00507809776816232+3.03129915442925e-06i,0.00507808398549567+3.03242719558474e-06i
0.0404968799454345-1.24968782622867e-05i,-0.0075804665796631-1.49627796508791e-06i,-0.00758046657136906-1.49627524009863e-06i,-0.00758046658476421-1.49627578885498e-06i,-0.00758046656585306-1.49626786873992e-06i,-0.0075804743963595-1.49553302281309e-06i,-0.0075804664994894-1.49627599352943e-06i
-0.0910218293624865+3.65252128827152e-05i,0.0098901153116637+2.47287174776868e-06i,0.00989011531292123+2.47286379495303e-06i,0.00989011530761328+2.47287243357924e-06i,0.00989011531812587+2.47287443465804e-06i,0.00989010243961517+2.47219984175104e-06i,0.00989011542879847+2.4728746554927e-06i
-0.0639813562483007+5.63655167676137e-06i,0.0110028970903028+4.43806565833124e-07i,0.0110028970984783+4.43806573923846e-07i,0.0110028971060721+4.43807216020543e-07i,0.0110028971209729+4.43805134663897e-07i,0.0110028815430305+4.44188275786087e-07i,0.0110028972386012+4.4380637893176e-07i
0.0447052229335399-1.19760204150987e-05i,0.000827326895159125-1.31591050838452e-06i,0.000827326882668025-1.31590502901158e-06i,0.000827326885972765-1.31591361433289e-06i,0.000827326866225282-1.31591152328965e-06i,0.00082735339445716-1.31572868134602e-06i,0.000827326667279115-1.31591180584051e-06i
-0.0685659211334516-3.69361616583413e-05i,-0.00121207716856581-4.74831864203435e-06i,-0.0012120771525532-4.74831205599719e-06i,-0.00121207715406788-4.7483049220293e-06i,-0.00121207712238777-4.74829912301435e-06i,-0.00121210717401176-4.74690934998531e-06i,-0.00121207686563679-4.74831385545711e-06i
0.0209751059018597+1.38260338248857e-06i,0.00799928596251935+4.85360918253471e-07i,0.00799928596723028+4.85360147558135e-07i,0.00799928595806618+4.85358160485309e-07i,0.0079992859706778+4.85361246719481e-07i,0.0079992824214886+4.85597825017556e-07i,0.00799928598459137+4.85359858511956e-07i
