0.0192574283961183+0.00515407767881362i,0.0125721582213546-0.0233762874291639i,0.00682214533118099+0.0291955862587333i,0.00729579702381057+0.000390265696686921i,0.0379469560791622+0.0115143272364732i,0.0605749329800028+0.0141201777500673i,0.0218938219687741-0.00378641484775549i
-0.0126724308944216+0.0012131915494289i,-0.0399204793222871-0.024092991460523i,-0.0156245217965988+0.000242672853099397i,0.0211741552243786+0.0111303193522065i,-0.0331555047768664+0.0158943333621139i,-0.0256707731683455-0.00290751196018775i,0.0258625617592911+0.00416860062336378i
0.0132085737580912-0.0012925988754174i,0.058384896128537+0.0563681121738627i,0.0217007501120749+0.00544053385144006i,-0.0622867284464698-0.0271099062034656i,0.0163999420968744-0.0351650470139267i,0.0363602361997993+0.0193363860605891i,-0.0306532999271926-0.0101497087514309i
0.0177695033945602+0.0026061319360595i,0.0277334087386442-0.0198387446287178i,0.00829673814853524+0.023671076676605i,-0.00837144897617921-0.00273060987042205i,0.0458240853259026+0.0161141690501512i,-0.00255777276797414+0.00725624753761381i,0.0319606619801249-0.00943244263038899i
-0.0150019247238053-0.00125908343687656i,0.00791989286410696+0.0211650117985468i,0.0303322817445591+0.0113492846539907i,-0.0402174574994984-0.00585931730591003i,-0.0342106923163577-0.0202079385069734i,0.0392692895302729+0.00304310913275814i,-0.0210905700796551-0.0141551480312437i
-0.0191765929275444-0.00141835962805338i,-0.0323878531700571+0.0182566200535138i,-0.0497460632809648-0.0676791650745248i,0.0245357662125293+0.0127153568063609i,0.0101441785456949-0.00811883025122975i,-0.0285624578614377+0.00096624474384969i,0.0110010493464662+0.0429295038818944i
0.00429865913918508-0.0015854720741225i,-0.00430953471172841+0.0146929711254941i,-0.0191110468985412-0.0313814174339965i,-0.0134093294208352-0.00705711759012946i,0.0338715524856505+0.000960677940781604i,-0.00707487006659962-0.00816793555662026i,0.0064838649178299+0.0185448133357527i
-0.00402539112288312-0.00119462919824248i,-0.00769500461392498-0.00774666916680721i,-0.0301887784102567+0.00434032961897957i,0.02061596025406-0.00518551596421497i,-0.00128225226230847+0.0101669358904915i,-0.046910356008856-0.00391544886284885i,-0.0234541235109573-0.00405073994900586i
0.0231556562917708+0.00141562854290158i,0.0366867817254111-0.0082894022788484i,0.000509293289166909+0.0257769173417813i,0.0512946362708663-0.00886290541259653i,0.000603762380205958+0.00796759555562812i,0.0400891879394275+9.1535245533101e-05i,-0.0260372821726765-0.0149502480828126i
-0.0197901905890873-0.004185016427971i,0.0177702244397703+0.0346079866109232i,0.0149136860907855+0.0183230962535136i,-0.0656133834166432-0.0171575258773044i,-0.019422831496883-0.0225141217787948i,-0.0492925770955436+0.00673004379708066i,-0.0342650451681655-0.0264846799707984i
-0.0118349011210528-0.00521143337155782i,-0.00680574121858719+0.0304785432377013i,0.0214254058958952-0.0199337244798009i,-0.0881340098780862-0.00544602526345245i,-0.0183416608818888-0.0133888452975003i,-0.0923951157491947-0.0106061652239158i,0.0227589467513581-0.00256326357410431i
-0.0234770918054879+0.00172059426055435i,-0.0520281573285528-0.00827583228693475i,0.00963035714666275-0.00717896106172968i,0.0182972006429896+0.0151684478234917i,-0.0495518943647543-0.00579699467632823i,0.0184972411254577+0.00342345584985993i,0.0261296283115213+0.0113270645585152i
-0.0173684074870277-0.00445216296221952i,-0.026114533747752+0.00773090627931226i,0.0101646465807051-0.0054074079277043i,-0.0212302222864569-0.00514275567366051i,-0.00138431640577797-0.00985608353371087i,-0.0922197058454919-0.0125239279506587i,-0.0100640758516614+0.0022262929532538i
