-2.50685697010972-0.00618755866574137i,-0.341895719960711-0.0199452959714011i,-0.301843176468962-0.0177925692350115i,-0.551319838349211-0.00211794444270724i,-0.534952181768185-0.000446522533685243i,0.550961384269613-0.0725958681318361i,-0.664627185168871+0.098689050618172i
0.0370905473682582-0.00101623680792091i,0.000845709393969278+0.00349844751167136i,0.0796350499440328+0.0406280393317079i,-0.0430568397467925-0.00948451788891848i,-0.0336352399266951+0.00790838209003178i,0.0937992476369464-0.00383029472005163i,0.0101907734180001-0.0420123247031205i
-0.00776569032310585+0.000301116338813561i,-0.00362953274406919-0.0119622778918832i,0.0562342539337582+0.0220571067895602i,0.015420620525723-0.0167467840315983i,-0.045765775212077+0.00709377405256217i,-0.0459849455926163+0.00238024207525604i,0.0978521162517894-0.00331606522347142i
0.0264080501655087+0.000705643134874335i,-0.0101646458565944-0.0294497934349564i,0.00906102855077474+0.0504004962997113i,-0.0575683297449525-0.0129333289698409i,-0.0850283984115163+0.0117169601705153i,0.0132233701035363+0.00414691933366401i,0.0505622538795289-0.0261454182416371i
-0.00128587616411123+1.5665819211834e-05i,0.0111780754079257-0.0272042692184608i,0.0383521994969578+0.0532193796254474i,-0.0315469493784149-0.00925616349411937i,-0.0329456603043929+0.00881113542981343i,-0.0372492389600736-0.00153862835855729i,0.0313913681087926-0.0251718489342025i
-0.015478829828486+7.22227786096033e-05i,-0.042298769623058-0.0133909054526209i,0.0737986041753131+0.025430135980153i,0.004736556244741-0.00541060527512234i,0.0213616744395454-0.00610888371875915i,0.00284077430725376-0.00614344855447831i,0.00378003669044395+0.00483918992236434i
-0.00478719119545658+0.0020353689468728i,0.00603731748060268+0.013031536901422i,0.0254126847698939+0.0425272808046986i,-0.0774859051423494-0.0248025403668686i,-0.0139091375712136-0.016556443368466i,0.0123351869654864-0.00275546826825696i,-0.0236078365114233-0.0112661269997773i
-0.00785640559041052+0.001154025912766i,0.0139303275989449+0.0403108326142485i,-0.0304154690697942-0.00452745098225103i,0.0305394336704047-0.0300782534809975i,-0.000573349192632412-0.0109333815525702i,-0.044864022839605+0.00651252398458379i,-0.0299072801154865+0.00710625549828495i
-0.00882503074180914+0.00471227715735044i,-0.00214919606496808+0.0135015815863345i,-0.0237705552493692+0.00518145504029925i,-0.0261825602229333-0.0253904478125843i,0.0445079470083167-0.00912124913610861i,0.0098162594351222+0.00585678164436827i,-0.0637028347870621+0.00317001874320826i
0.00252261733283141+0.00348230120424796i,0.0848373024324814+0.0287055235280491i,-0.0289093502195285-0.0259041861691019i,0.0198680903029498-0.0111333934442654i,0.0517203484023529-0.00270787851698407i,-0.0253529682817079+0.0111340634027608i,0.0216315320818704-0.00147002597740503i
-0.00456744959932396+0.00131637855892989i,-0.0271723257244071-0.0291356437813476i,-0.0373043695381465-0.0285190133193849i,-0.0058008820395445+0.0126209758744058i,0.122257568397004+0.0086757791549139i,-0.024433029736778+0.0051778128642148i,-0.00630533597355291+0.0236882987314059i
-0.0024208302247812-0.00395635385426731i,-0.0929722141068175-0.0341272346490605i,-0.00573499265571606-0.0379919496162089i,-0.0043768818081366+0.0373719946238596i,0.0550079223600341+0.00860078899586369i,-0.0491875162163735-0.00803920244005278i,0.00126102618562134+0.0322220976719998i
0.00694836131802287-0.00302742779985232i,0.0123250103990007+0.0302134446693753i,0.00354317297867359-0.0320069190115383i,0.0510932053937322+0.0256484758881595i,0.00432172842122803-0.0148954127844543i,0.0624118938139215-0.00614660261657089i,-0.0506820897254428+0.00575996807025871i
0.00798293237135353+0.000970281668592983i,-0.0670530095409986-0.041655521660391i,-0.00863909077812094+0.04738535659988i,-0.00866832895449826-0.0138915298930417i,-0.0461168940154005+0.00793625403591928i,-0.00508452901379149+0.00278713264007938i,-0.0215176548566937-0.00481371498258885i
0.00987768682327745+0.00125025701963139i,-0.00754331854365009+0.0158133922900161i,-0.00329457375637537+0.00794323233032747i,-0.0240764885723489-0.00409780023846491i,-0.0711090991157258-0.0103402694238356i,-0.0101114439266665+0.00417508175088234i,-0.0163786232060006-0.0117456124644725i
-0.0229843250763444-0.00298741037860456i,-0.023582553025905-0.00623688197973379i,0.0687291453018615-0.00773131282760997i,0.050517331549193+0.0245282817733903i,0.0524051593848587-0.00470716109207824i,-0.0531336618778592-0.0157674555980482i,-0.0440688120051846+0.0100904018502372i
0.0217870669527941+0.00362397056290321i,0.0164590861440626+0.0429140399502645i,-0.0256191771710924-0.0102234436008618i,-0.055275269301351-0.00597677095579871i,-0.028110088016623-0.0226921640101737i,0.0989694138301926+0.00444208185950663i,-0.0805037126022182-0.0122173848443117i
-0.00677204663198702-0.000534615212682767i,0.031052512892112-0.00520797183745782i,0.0214140183959725+0.00702911953616759i,0.0573990253777005+0.0129202685784965i,-0.102906008127989+0.00720913034653255i,-0.0502970121385496+0.00474447634020046i,0.0420094200835971-0.0248724269066667i
-0.0103355346540837-0.00412654921217313i,0.0629027570096591+0.0330744466004951i,0.032424570772519-0.0554993556453539i,0.0781713420853644+0.00402950377631365i,0.00847609272156354+0.0139168242874618i,-0.0164966290712403-0.00286126803122514i,0.127620241333742+0.0135473271232723i
0.010159256066214-0.000527622259030395i,0.0160364075505459-0.00382336534836257i,0.0666414212801232+0.0514577651915253i,-0.0473202624129645-0.0197708512566783i,-0.0599223226917139+0.00810823704329008i,0.0396896853405581-0.00489364655768046i,0.0376971214493295-0.0336046819795365i
0.00780811682501138+0.00339201195580881i,0.0276660500678743-0.0240676419406165i,-0.0102692799520139+0.0485225637075855i,-0.0566178499559868-0.0182188838952407i,-0.0513023333190894+0.00594708672042692i,-0.0448798061570504+0.00735421184060006i,0.020143742628831-0.0252640643029834i
-0.00283198095670639+0.00123098392657467i,0.00706681855674046-0.0309688448861916i,-0.00812858608853317+0.0416799352502822i,-0.0181708074291556-0.0179155233793616i,0.0334266544569575+0.00502591595980946i,-0.0587733427289193+0.00266795268419375i,0.025656762220708+0.00058422336223544i
0.0351454090783181-0.00149352147685553i,-0.0805041014125806-0.0448259175931441i,-0.0552790953837218+0.00269511061018128i,-0.0901696637275212+0.0150677102099304i,0.0050637385691373+0.0267109531346429i,0.0489729927346966-0.00398185047641998i,-0.0354666826283871-0.00687260530400386i
0.0304023340665956-0.00348593905180716i,-0.0201471938912541+0.00289686140411526i,-0.0562040271202469-0.0420819250959926i,0.00286159683206411+0.0130933462713963i,0.00624282130897486+0.0125274818821007i,0.0799045986642285+0.00451056255397887i,0.046063048238459+0.0149007013528406i
-0.00807439586185793+0.000875366086983305i,-0.0525401634250372-0.0280325323191967i,-0.101407412491223-0.0160005302489745i,-0.0395101957967155+0.00239522597315642i,0.0456423550919161+0.0110892490720999i,-0.000197870356544639+0.00175045395643355i,-0.049699078787512+0.0227370929057252i
-0.0238779752252731-0.00027857226160951i,0.0390975533898965+0.0387914768850013i,0.0186700535849415-0.0340668071613773i,0.0116051559503435-0.00334546885722244i,0.0629138147566444-0.0188524893090785i,-0.0637628099558272-0.00136486973955241i,0.0541230764828132+0.0272986239358989i
