0.0256206064434695+0.000460401137900896i,-0.02181051185917-0.00173298474976697i,-0.0271351065631003+0.00785783326588491i,-0.00371648115359982-0.000963597802543864i,-0.0149734934918919+0.00952819241988192i,-0.014098356686556-0.00968281710174403i,-0.0273582309137701-0.0163088873751333i
-0.0144756583262422-4.94124972754581e-05i,-0.0171387192105036-0.0183942942205855i,-0.0244094054317817+0.0143439415561696i,0.0346732283586541-0.00442343036232984i,-0.0265188561242394+0.0108656273771862i,0.00988225629627413-0.00558629249564419i,-0.0026120325626097-0.00748315091058981i
0.00811720328355166+0.00406886217906493i,-0.0180204586579209-0.0213182667331326i,-0.00591543237425245+0.0319085433448676i,0.0258820651463012-0.0131797468770682i,0.0183782583495651-0.00781846549455668i,-0.0406103129982256-0.00107543237369392i,-0.0406429721023438-0.0076904318816597i
0.0283322109203423-0.000792549439233179i,-0.0289236936695955-0.000613570560613582i,-0.0233115146874395+0.00539965353621124i,-0.0421357732420312-0.00807370875270381i,-0.0135130239503996+0.00618811732698082i,-0.00699020545130731-0.00283912605955791i,-0.0210546166508166-0.00221624342383396i
0.0437554826571116-0.00361360628798729i,-0.00936097569785995-0.0227777345811381i,-0.0361670476828391+0.00492763222136286i,-0.0395583203702246+0.0115358366648138i,0.0210059184054892+0.00524845237167947i,0.0190058816114127+0.00260506891377332i,-0.0399214467223443+0.0134151104074406i
-0.0559551325247953+0.000359282417961873i,0.0274298155816915+0.0213560183815509i,0.00156999989999295+0.00218793695156275i,0.0527410394872024-0.0164922897615743i,-0.0132457304637126+0.0115727425409844i,-0.00370349015772556-0.00928628811665445i,0.0161487281758127-0.0234358280138063i
-0.000636003214189807+0.00303531686366212i,0.0180926692359991-0.0173416355579664i,0.0045544280450994+0.0290271301476078i,0.000379580913246537-0.0026233212657975i,-0.0125138292695343+0.00512018569572674i,-0.0420159881549588-0.0100607707878684i,0.0250170679456459-0.0197603873163482i
0.0259576132215841-0.000582995737181383i,-0.0254983414284201-0.0186631904352387i,-0.0204740356742551+0.00315199052452617i,-0.0223780357915231+0.00678014014003068i,-0.0249436493892676+0.00610642353996257i,0.0249189323431289-0.00198619209536854i,0.00343965489020451+0.0049542370628416i
-0.015503853974619+0.000529976986397455i,-0.00178573823806543+0.00230780385527525i,0.00994976500272815-0.00624838528002805i,0.00982405910312768-0.00243792359068042i,-0.013395692631886+0.00385749422336566i,-0.0102561662806257-0.000773816616919624i,0.0275071702045464+0.0016624905980182i
0.00897210038000267-0.00301773581696663i,0.0208112383658458+0.00375093531241297i,0.0137630568173927-0.00417876406784057i,-0.0237143857787993+0.0196162256445158i,-0.00181395485213315+0.00120650186671565i,0.0499296106622487-0.000198994114226909i,0.00354047031463975-0.00147535301762634i
0.0164005765583462-0.000499248590051179i,-0.0192620798803897-0.0363487791258756i,-0.0423311797165575+0.0315456903477754i,-0.0217414398292552-0.0168280901292242i,0.0284767774507162+0.0146999542189728i,-0.0219976256433629-0.00540610429602948i,-0.000628893721127561+0.00171705290543976i
-0.0309331668278701-0.0018206011190408i,0.0224727970202369+0.0181776778858962i,0.0227700982891631+0.000430450579064146i,0.00337635222430222-0.0116364084856646i,0.0104094008708701-0.000698789947906482i,0.0474841628075424+0.00228883028063267i,0.0046814238602989-0.00165212818032641i
-0.00980628649842832-0.000124699457868431i,-0.000829014491788184+0.0241638238565137i,0.0142016498122307-0.0101321297631245i,-0.0239401864817115+0.00468897222483527i,-0.0344839846602618-0.00332777500323457i,-0.0457846276422562+0.000552593205678502i,-0.023348293358669-0.0106191208326196i
0.0137715690861377+0.00215563519219109i,0.00647850250368468+0.0114989735692822i,-0.0102725898404995-0.016761397820594i,-0.00649055085997207+0.021352466049706i,-0.0242162923137881-0.013466769376273i,-0.0415718750241439-0.000197458075471213i,-0.0190327845629506-0.00538927696497285i
