-0.0178467504286926-8.92259374519542e-06i,-0.00423505150083324-1.13077474645078e-06i,-0.00423505332206512-1.13006218813116e-06i,-0.0042350516314599-1.13567877065102e-06i,-0.0042350621066234-1.13753577485135e-06i,-0.00422451462816419-1.34753537640011e-06i,-0.00423514646992446-1.13319858650803e-06i
-0.0530040548871634+2.94602913829872e-05i,-0.0172682903875338+1.92558932722379e-07i,-0.0172682902601682+1.94109949723052e-07i,-0.0172682908782303+1.90434433395272e-07i,-0.0172683024751114+1.9295324507506e-07i,-0.0172638910005349-6.50155637858933e-08i,-0.0172683358007313+1.91872470971145e-07i
-0.03024691935167-6.63443236587403e-06i,-0.0318013842974049-2.66016870229014e-06i,-0.0318013924061177-2.66268599802695e-06i,-0.0318013901599454-2.66366580711978e-06i,-0.0318013918643495-2.66243917368748e-06i,-0.0317956491344473-2.93903688530896e-06i,-0.0318014500860703-2.66182678073199e-06i
-0.00578772858213387-4.26656414961316e-05i,0.0291456612525173-1.43190040703407e-06i,0.0291456706043774-1.43746861791061e-06i,0.0291456578444167-1.42933544611313e-06i,0.0291456979463891-1.42516186385314e-06i,0.0291167054222806-9.98111097561703e-07i,0.0291459436499984-1.42776122427727e-06i
0.0634462880102903-1.96484779005572e-05i,0.0149347568773836+1.57241318434183e-06i,0.014934751087575+1.57326749937276e-06i,0.0149347468806536+1.5675966775664e-06i,0.0149347346918846+1.56598516205952e-06i,0.0149472343369711+1.37410247587246e-06i,0.0149346394162769+1.56912112601865e-06i
-0.0285717656022004-1.50878518379727e-05i,-0.0166996296181586-2.66793496548812e-06i,-0.0166996228354176-2.67020672902885e-06i,-0.0166996255040444-2.66682936189626e-06i,-0.0166996176117545-2.66704079738546e-06i,-0.0167117491942436-2.63071080164434e-06i,-0.0166995187965578-2.66753257921514e-06i
0.0159033184811431+2.55810556930706e-06i,0.0116762357261551+4.34001765913266e-06i,0.0116762355024622+4.33826957216849e-06i,0.0116762339248943+4.33666723894592e-06i,0.0116762349038761+4.33626866178904e-06i,0.0116752701426616+3.97219300495662e-06i,0.0116762379597066+4.33900652931162e-06i
0.0132433068157785+2.74592062479148e-06i,-0.00715533208579667-2.32775975423947e-06i,-0.00715532653429187-2.32414971409275e-06i,-0.007155327956029-2.31646791513567e-06i,-0.00715531876930745-2.3131545270119e-06i,-0.0071624185189795-1.69334734485645e-06i,-0.00715525483246027-2.3216874337746e-06i
-0.0374439011019704-1.70507718097728e-05i,-0.0125744342309256-1.70667159880042e-06i,-0.0125744411727671-1.70570179070018e-06i,-0.0125744342280835-1.71377788187523e-06i,-0.0125744602117351-1.71467690249222e-06i,-0.0125566433420549-1.99356491025537e-06i,-0.0125746094004892-1.7130238836352e-06i
-0.00349403990680411-1.66100752790854e-05i,0.00808289385479849-2.03654329982098e-06i,0.00808290819980825-2.03854354370174e-06i,0.00808290298082064-2.02825907691605e-06i,0.00808294157283813-2.02463818738598e-06i,0.00805194208481553-1.31496977857097e-06i,0.00808319635148843-2.03169472873562e-06i
