0.0695974237842241-9.84138742688102e-05i,-0.0158463109951918+0.00452718180513938i,-0.00370535372812175-0.00693539939306266i,-0.0519309812961245-0.00133166394038711i,-0.0423860825871875+0.000238339791241069i,-0.0840448493923546+0.00111590103497705i,0.0339999859874068+0.00229472461842078i
0.00254917661298825+0.00475927812374598i,-0.0122897259954152+0.016004677913885i,0.00294146070013314-0.0247363123789597i,0.043468848455943+0.0094916807171541i,-0.0282715338013927-0.00410402321044457i,-0.00286775496395321+0.0018956640162219i,-0.00434814205517434+0.0135422080506693i
0.0137857639391831+0.00206464603419883i,-0.0173474001628674-0.000890445550306253i,-0.0107912191487297+0.00382336542970669i,-0.024030359212523-0.0038686835013147i,-0.0048961288147951-0.00169977450457612i,0.0023990804974605+0.000872937511096626i,-0.00828789007592232+0.00650880508665364i
-0.018979965497555-0.00108438916400068i,0.00278244998351403-0.00402867784920026i,0.00861742243409421-0.000951281763723423i,-0.0117175903839855+0.00511040385777022i,0.0138090982718569-0.00252342191564567i,-0.0274274479346971+0.00070235002592442i,0.0106189835778927+0.000710382807167669i
0.0238614900354921-0.00153381666238757i,-0.001428602245224-0.00517257154072794i,0.0320798771962051+0.0183770152854614i,-0.00490154309708221-0.000249193552874457i,-0.0307421199722441-0.0065609986199973i,-0.0165233239151187+0.000573580982418586i,0.00428358605137134-0.00713974316864372i
-0.0273309349856516+0.00276472616325866i,0.0133389170860509+0.0276430186638488i,0.0154436935792895-0.0393352039131079i,0.00575237614738165+0.00385044508082245i,-0.00801528662463452+7.67534324836536e-05i,-0.0263052797353174+0.00347910010229473i,0.0526737348409499+0.0120537308382146i
4.07235875803443e-05+0.00609259894835103i,-0.00383715149937415+0.0169092743647401i,0.0292994046426283+0.0021234594519476i,-0.0176714015625364-0.00529162658408846i,-0.0268330135238966-0.012914047131474i,0.0116736739625769+0.00382394955074323i,0.00929180276238581+0.0104861950095995i
0.0320029585581131-0.0010114104756213i,0.00890377915322017+0.00214550299350474i,0.0276258531342198+0.020708747724247i,0.0242943110695068-0.00551444798777532i,-0.0426363911449728-0.00289965349706698i,-0.0305352382191714-0.000454890394977501i,-0.0158811102464214-0.0171131452798804i
0.0576731808058044-0.00502714590352967i,0.0413338921381972+0.0295476649013275i,-0.0206764755961498+0.0152364565503973i,-0.0290615981607052-0.0186079677943901i,-0.0260224441413606-0.00188691001892573i,-0.0692562194867991-0.00189883757950172i,-0.0578395265394261-0.0363099257358498i
-0.069032875180974+0.00194694822368151i,0.0329035606549409+0.0271302057269915i,0.00993180897390841-0.0382819048962156i,-0.0748467451654285-0.00459148272976068i,0.0712168529108457-0.00279917809457381i,0.0185044566719389+0.00132235658811329i,0.0841284198136688+0.0213655406241174i
0.0110157426160441+0.00170568022805233i,0.00133808028687138+0.0325038223768379i,0.0426131867191194-0.0278421251681807i,-0.034097972736846+0.00555016656444543i,-0.00507371883747271-0.0183087654822103i,0.0717924458866947+0.00121896993561212i,0.0236904607749682+0.0148067723014016i
0.0460911728916543-0.000340407967856671i,0.0108566490220059+0.0275709245119897i,0.00817307083303679-0.0222758418307994i,0.0218008893243446+0.00700615604756464i,-0.0159074460178081-0.00791062215930342i,-0.0549334024123171+0.000206225512227126i,-0.0200159837609073-0.0049877525265465i
-0.0158315730600464+0.000100559998485319i,0.021426051038573+0.0233718092744582i,0.0109439138271458-0.0067108083428244i,-0.018565603252066-0.00280678300177376i,0.0324102922393516-0.0128538673863845i,0.0277967723086466-0.00109873099725839i,-0.0198273422350618-0.0015943288837687i
0.0136502702596483-0.00401558774552739i,-0.0466922557587406-0.0521148814082595i,-0.0348507478600231-0.00514165021931052i,0.0437161162514903+0.0198333244765368i,-0.0108613598777286+0.0256598467671087i,-0.0405490364382744-0.00225824925263947i,0.0226080487179522+0.00277863206807453i
0.00490784797938322+0.00186289019636342i,0.00833870242809352+0.0360725246871995i,0.0185190516260195-0.00343673462302852i,0.0245570188053835-0.00193938122188244i,-0.0565933569398223-0.0156554037586134i,0.00380979378321563+0.000222349355296574i,-0.0539712309882768-0.009196735916914i
-0.0301318514879297-7.2402793253437e-05i,-0.0221464560272936-0.0273382332009692i,-0.0374211788770548-0.0175998188947065i,0.0176577337156568+0.00776897181780858i,0.0475620505130314+0.0187060207433671i,-0.0450932515411114+0.00145456285857334i,0.0340485461050666+0.0169294916112269i
