-4.74283866595216-0.000551165984235102i,0.917793424645112+0.0440142879500491i,0.972299369813336+0.174987031512411i,0.777452603288435-0.0769723010987349i,0.343329139247606+0.004671955186901i,0.127557991056753+0.000564938117857093i,0.892482725184239-0.147140124315456i
-0.0436227099279427+0.00319609995260287i,0.0243902827607113+0.0241416771712715i,-0.0414537972233484+0.00310020707831418i,-0.033126431538378-0.0358152355873501i,0.0209757487271882-0.00551997856258347i,0.030706813760729+0.000810313574636603i,0.0228778369892683+0.0148593635906884i
-0.0658841129314503-0.000288077534609757i,-0.0554278602319109-0.045789269639612i,-0.00928294689965343+0.0475834544159418i,-0.0205435681963235+0.000700639505006278i,-0.0593876674951211-0.00208067633507677i,0.0123905728845926-0.000112391172054368i,-0.01726057979095-0.000299635174890278i
0.00483302048223438+0.000857530211655869i,-0.0437824853217906-0.0378574268143848i,0.0312968731244491+0.0495282775073312i,0.0303235662658821-0.00116351679677638i,-0.0292411668679952-0.012174549329177i,0.00375300917085004+9.91275826898188e-05i,-0.032466319510385+0.00154873909222401i
-0.0281806271758222-0.000679806322810915i,-0.0772957551983759-0.060216677052327i,0.00521660295661773+0.0230972702865568i,0.0140864738565268+0.00598297358995199i,-0.0468491083171932+0.0122370665386041i,-0.0305690649673627+0.000997973085527271i,0.0590053837596398+0.0181931611141677i
0.00772480879897025+0.000879099677281732i,-0.0214579680081104+0.0224409628240688i,0.0405639624891557-0.0132933013907187i,0.0234416762744159-0.00185060892518782i,-0.00162251341286065-0.0133236044624804i,0.0262738051003016-4.79397349474515e-05i,-0.0152451195445623+0.006433493005212i
-0.0982186024846549+0.0014263809696967i,-0.0729530349011344+0.011206420105313i,0.006392035733204-0.0153634013530088i,-0.0641629975327861+0.00741768830891486i,-0.0141118878636909-0.0197061641706761i,0.00541753647457501+0.000186068218831304i,-0.0385859064600904+0.0168750304327872i
0.0460775528709588-0.000135528039444333i,0.0606598683961742+0.0477271957021255i,0.0434615587955795+0.0037451991153005i,-0.0481970323710934-0.0202280304713617i,0.0144317152680935-0.0209863661853044i,0.0252706085316444-0.000281981953335869i,0.0108400286934657-0.0102768178008095i
-0.040550838327592-0.00352737970223521i,0.0498968815783725+0.00399880532293848i,-0.00704962351418576+0.0404371398575673i,-0.154263500902487-0.020083241516604i,-0.00150462623477463+0.000345730796701124i,-0.00949704076499127-0.000657312745174601i,0.0279429218372537-0.0260539087554049i
-0.0347128088093159-0.00166694067356215i,0.00382968508530597-0.0547528504584814i,-0.0441150966850366+0.0186651393331067i,0.0811382473260343+0.034583188538266i,-0.0157144952028301+0.0157868874892464i,0.0769084311648313-0.00112366476869842i,-0.0569683365438737-0.0140476773399833i
0.0463589696380628-0.00624833120380028i,-0.0557112826869049-0.0856191106908014i,0.0797792852595884+0.0880798092446096i,0.0715238788400276+0.00179787796368836i,-0.0451184582588486+0.0291957558014019i,0.0347117512401277-0.00211852361083112i,-0.0109385845859553-0.03431608263364i
0.00391023122907454-1.23923299170381e-05i,0.0625950097916765+0.0204847841543033i,-0.0616568386526051-0.00714435284942019i,-0.00500528153964841-0.00963792675643604i,0.048649430563038+0.0109804976408331i,-0.0065525471376723-0.000274963187732038i,-0.0424909953156891-0.0147356140814692i
-0.023384611854296+0.000359207167540553i,-0.0372621154361606+0.00542658728663632i,0.00478716535930996-0.00142137300330426i,-0.0350108300068394+0.00809716045508916i,-0.0384099198543877-0.0163058870170556i,-0.0496786630498726+0.000466097506001017i,-0.0304145714441477+0.00448260601156119i
0.0204995722641191+0.00179238257317361i,-0.0157589711327213-0.0424393961873906i,0.0175797716842326+0.0247822455129911i,0.0555911105099673+0.00482320103167633i,0.043876505854678-0.00125494884939495i,0.0225072424350957+0.000423110021107909i,0.00991773901233288+0.0144167365449723i
0.0541674439453056+0.00367997680483645i,-0.0236138973009839+0.00811460279223163i,0.0419005474966437-0.0194164473474317i,0.0983942426110271+0.0127142044978957i,0.041647320059473-0.0245406070503798i,0.0205166355964265+0.000257231295036847i,-0.048361188686589+0.0242383654155713i
-0.0333738148073849-0.000415087296768767i,-0.0292464279985089+0.0118464749061449i,-0.0111814774964035-0.0102744037754553i,-0.0912047184913604-0.000273888213357991i,-0.0671198609822252+0.000619699267627092i,-0.0799166704063132+0.000437534783337294i,0.0332148122991446-0.0025520752597182i
0.0154313151394698+0.0043203752168991i,-0.0340135044070429+0.00781750728178846i,-0.00245810302102853-0.0263843290566796i,0.0773731888656379+0.00765717967170813i,-0.0415761632047089-0.0129434144163489i,-0.00519240634006469+0.000885982825302453i,0.00226814799398212+0.0252665415866916i
-0.0431359743101212+0.00128574624049426i,-0.0268435826137162-0.00453909882247244i,-0.0157430153387743+0.0116568733177678i,-0.0287242512409213-0.00838793164996144i,0.0182797591157316-0.0125524754848031i,0.000260861444296297+0.00070767066190094i,-0.0254890103043192+0.013774773064684i
0.0275076606687989-0.00134294244135757i,0.0195403958806944-0.00558046800718447i,0.0180164979962515-0.00289083967723318i,-0.0204540235974387+0.0144111842475081i,0.0224895040711286-0.00140160338817697i,-0.0223326975437685+7.18172575170424e-05i,0.0119937375400869-0.00499349331857432i
0.0251712991789444-0.00206426238240804i,-0.0139740395168253-0.0201685186253099i,0.0435347516354307+0.0332258899915367i,-0.0149977127824853+0.00222682939104474i,-0.0641018659763396+0.00463124858731455i,-0.0166964828946029-0.000565259710807035i,0.0197304492033565-0.0201468673712279i
0.0596639749229004+0.00220211359900942i,0.0257874809801533+0.0402490831074713i,0.0244123827776677-0.0386248229283259i,0.00898118896055174-0.00925696623878853i,-0.0420058624285821+0.000251170912105067i,-0.0234083631954427+0.00117285193876965i,0.0911648970107785+0.00772018656510226i
0.00857131316257936+0.00394731076121882i,-0.0179687837538164+0.0199187525510333i,0.0440166820389178+0.0183674454144959i,-0.024665842446054-0.0226648583987286i,-0.0283289169387549-0.0306161566910495i,0.00820490133165009+0.00113413348987147i,0.0158973221825343+0.0156932921297775i
0.0582886694365759-0.00152713672196651i,-0.00860591868181987-0.00632824655262486i,0.0405793234072265+0.030294430080371i,0.0177385035150762-0.00702652219006064i,-0.0687904577496012+0.0101826360756322i,-0.0301542176868798-0.000714874410999293i,-0.00160466010842496-0.027321827264942i
0.0162275538684394-0.00316631052353914i,0.0626641962541738+0.0418770512313086i,-0.0463839192115957+0.00494610901350478i,-0.0707724191771872-0.0144051881122917i,0.00574613278870612+0.0101060178038071i,-0.0635223576344359-0.00117666005249215i,-0.0854476598177981-0.0431814607086569i
0.0144867305056607+0.000932645124152316i,0.0927776394425731+0.074140553952712i,0.021112082868381-0.0437269495244626i,-0.123289310790127-0.029047588424173i,0.0762377295183304-0.014110381465972i,0.0183464669370502+0.000983580636229145i,0.114544592393642+0.0123103274145641i
-0.0306990128469403+0.000815714055131245i,0.012906891284632+0.0471963880431597i,0.0558159278401036-0.0201382319259724i,-0.0790969994781928-0.00271537311137464i,-0.0325107628635424-0.0284463704373799i,0.0589021110675834-0.000115168571197564i,0.0377931132599599+0.00490711158505868i
0.041937418232358+0.00133635841652923i,-0.00231355238164598+0.0313519136518866i,0.00488728248074637-0.0350616889582437i,0.0181807397936883+0.0140713307997341i,-0.0287703239962414-0.00590750635056319i,-0.0517014851833025-5.05388801802894e-05i,-0.0263081036737148-0.00372704871113263i
-0.00379778532351565-0.000168031470469409i,0.0391403843597102+0.0416414921056209i,0.0147019523500229-0.0149572844357056i,-0.0402150532210494-0.00663329700747339i,0.0589881215281969-0.0162627246959516i,0.0238081774002594-0.00055555689446683i,-0.0327561744784861-0.00408047877005138i
-0.0313192297512022-0.00422036170997283i,-0.0727346125237657-0.0899467335920965i,-0.0388046186337956-0.00175659464609938i,0.0789343201910085+0.0428919810257534i,-0.0468290838610557+0.0523973002101742i,-0.0328748900776519-0.000627721046684186i,0.0298204479639188-0.0047702200686712i
0.0347776973245593+0.00159949161288123i,0.00101092761188902+0.0308795206835642i,0.0186620105247948+0.00117838999484485i,0.0391489710279166-0.00945467818632881i,-0.0553676703321605-0.0130019630431015i,0.00424815312742082-0.000410352714637922i,-0.0434697072697536-0.00850898031272925i
0.000236012632749461+0.000384184664898597i,-0.0233632253146072-0.0293862271779475i,-0.0395462181403722-0.0210067471413718i,0.0447482877935329+0.00634147148664264i,0.0640494505682767+0.0239813892287484i,-0.0358053267444974+0.00108040584762405i,0.0285799354544448+0.0197088932716248i
0.0562377298670264-0.00591538521184789i,0.0501505674190573-0.0249753875746425i,0.0652746035662848+0.0653479732537571i,-0.0385829999596713-0.011685631215445i,0.007080087727135+0.0140883094796984i,0.0305798434312697-0.00200848311732831i,0.017319911085321-0.0442627102218511i
