6.82928881620913e-05+0.00327413772638739i,0.0420564372104038+0.014920705331704i,0.00557502038785962+0.01971878122116i,0.00834746142729775-0.00809285146171385i,0.0405615414803418-0.0100841599914459i,0.0242786071696822-0.00348186164283975i,-0.0648002569998019-0.0205810819897113i
0.00357838921761496+0.000872499168176233i,-0.00157153420928719-0.00353263716511003i,-0.0266641209802494+0.00634848266104953i,-0.0156158194860569-0.0151153760676442i,-0.0135355294085584+0.0207565261160793i,-0.0325160812256921-0.00719918381442138i,0.0297148272190004-0.0138541231702642i
0.0127631000371256+0.00295664638413032i,0.0228037553050941-0.0139187464800261i,0.0147105490758628+0.00947353716561492i,0.0532666954646145+0.000348513001012692i,0.0405447149216906+0.00608512429876367i,-0.00133512548707192-0.00356677642485333i,0.00650183888494149-0.00882059623140733i
0.00537705359481019+0.000474551966804242i,-0.0542547923756837-0.0363389624713894i,-0.0326577959888707+0.000212659938542308i,0.0370846631756739+0.0118941686548216i,-0.0354761794229819+0.0142533865502723i,-0.0433211612493512-0.000566325466313865i,-0.000808335067680764+0.00535598608099734i
0.0227347762331041-0.000131345758493667i,-0.0168587037457254+0.0178623492264346i,-0.00247242527474339-0.0394650098663987i,0.0810542190733344+0.0186348756477012i,-0.00549435381989374-0.00395936718145718i,-0.00113366421784911+0.00217374987751486i,-0.0383592860116066+0.00766057258418468i
-0.000853989793651166-0.0060411602335564i,0.0175146202091605+0.0374062839432954i,0.0241545444355818-0.0377722220412325i,-0.0610357033201485+0.00240177382251485i,0.00443145308501577-0.0103176777820076i,-0.0627649916711596+0.00697824853921229i,0.061232963849954+0.0212529964908254i
0.0291555727169015-0.00336849064139967i,-0.00219243962201068+0.0509460694198289i,-0.0209141307482611-0.0389959064538806i,-0.073782984499712-0.00753605510709853i,-0.0140927076689746-0.000268920845916031i,-0.0521020475704963-0.0013498509526727i,0.00499641933225301+0.00245501598987187i
-0.00854903870959064-0.00442052282206103i,-0.0229888174656235+0.0117495871717724i,0.0261732265726549-0.0328016382253945i,0.00025338561139684+0.0130389544582387i,-0.0195040632920659-0.00863807209491611i,0.022008738899669+0.0079259413772156i,0.0401096390251856+0.0276247930329267i
0.0176176997750592+0.00171713376646675i,0.0227439745288559-0.0211835030032083i,-0.0137009453805114+0.0173706778546653i,0.00746642568928328-0.00505871382090482i,0.0428408029500847+0.0118245635824765i,0.0543880205411121-0.00774749247617248i,0.0175440229782312-0.00861643230463603i
-0.0175076335247811+0.00182466111401483i,0.00767598337796432+0.0527375144885126i,0.00067332060841569-0.0381444614950923i,-0.0300672816857859-0.0093279395333703i,-0.0344676507621875-0.0062605987968621i,-0.0220639479353378+0.000539171273033806i,0.00150980596313023-0.00562585149883591i
-0.0115355763572806+0.00334068435193814i,0.0190729836061605-0.0174171464880417i,-0.0238704335302111+0.0457113699020665i,-0.0699810477717829-0.032879093232698i,-0.0206435597669217+0.0210721579192153i,-0.0296171344377839-0.00902889520026368i,0.0341987312941064-0.0258730826062282i
0.0253690328449094+0.000863834410675242i,0.00859701286524636-0.00563012068506553i,-0.00878886786064686+0.000211482136584042i,0.0676612633273866+0.00917008018698978i,0.0599268609515513+0.0015286277485945i,0.0782053832871757-0.00419624907560608i,-0.0517430295230356-0.00390362042368105i
-0.0025267175192171+0.00395848129816723i,0.0195026104942734-0.0198901576821121i,-0.0091391437543135+0.0353626186742075i,-0.0459442999532937-0.014089109999143i,0.0340517411316476+0.00178020338139912i,-0.00277019185079224-0.00316538178585836i,0.0015632903237507-0.0143046291968263i
-0.00385467312069292+0.00373781549452885i,0.0130356453771294-0.011690493105217i,0.0164054898258696+0.00427670900996364i,0.0297226225643508+0.00495033972779598i,0.0246276459212751-0.00539913611333335i,-0.000201533938352555+0.00123550213238536i,0.000776861004883107-0.00165904366816651i
-0.0110674272749552-0.000366167525162014i,-0.00426797550537533-0.00428692487801086i,-0.00858043433264906-0.00106346774547049i,0.0140603749568535+0.00579307934824727i,-0.00681082739949807+0.000565737047081934i,0.0249325416644485-0.00183311741812046i,-0.016814461097302+0.000520300946039943i
0.0195509373638955-0.00149774354345175i,-0.0093088976653216+0.00391663601536368i,-0.0427677777893368-0.0133216200491581i,0.00926554291009419-0.001057999713847i,0.0244291790665219+0.015024910393044i,0.00980907012094891-0.00710775878492168i,-0.0138251901917676-0.00258110065362074i
-0.00396468503096937+0.00170769823012589i,-0.019300139796478-0.0376666070524675i,-0.0326013796451607+0.0467031475636351i,0.0117613803074018-0.0050444978060217i,-0.00496179495557279+0.0076152854236817i,0.0129080965804835-0.00475506857247215i,-0.0551736622207761-0.0137890740718951i
0.00463978457402182+0.00720617231552023i,-0.0102163214515006-0.0298510957793061i,-0.0297913590381648+0.017593511045931i,0.0302984370015984-0.00238602843322704i,0.0359225766604937+0.00760239580443362i,-0.0325971772309309-0.00548261832222255i,-0.0311059688820367-0.0125317154285055i
0.0199901605193344-0.00186297844270344i,-0.0171085971538464+0.00021353782656503i,-0.0316080874827816-0.0164543792393332i,-0.0383165697644514+0.00158072994695923i,0.0398758450178533+0.0060158852500235i,0.0274178107421653-0.00215609888858093i,0.00902971354998724+0.0123750957902004i
0.0135991251691186-0.0061439669475287i,-0.0431943016639344-0.0420854064728402i,0.00709919498286878-0.0177911648062809i,0.0344495499266974+0.0276059826974559i,0.0451575346882253+0.00288759685375582i,0.0767682514603844+0.00550032611934422i,0.0432172248914757+0.0450830973437207i
-0.0220368682867129+0.00262510384980893i,-0.0336020162244026-0.0243007047283613i,-0.0191639350546466+0.0332762562149637i,0.103376254650503+0.000747215771702583i,-0.0864112718330951+0.0112191940313377i,-0.0378369256243068-0.00253516295235878i,-0.076368241460877-0.0252098834449942i
0.0139754497440165+0.00256705890916778i,0.0064302318724414-0.0431633418350176i,-0.0385417383074447+0.0488790491425165i,0.0297423491930455-0.00743292900638843i,-0.0143415931612831+0.0227697740513441i,-0.0791981045130715-0.008717773577671i,-0.0123854130259661-0.0292686569490698i
0.0153650951543391-0.00239851266872053i,-0.0134865077763352-0.0323817475087296i,-0.0101111774175016+0.0217762412432095i,-0.0215133435362939-0.00218188121037087i,0.0124664684039995+0.0109280657159113i,0.0599133225778399-0.0018388132591624i,0.0270733958784264+0.0068680543558179i
-0.00499438186769738-0.000299759736641718i,-0.026158472948201-0.0222656757147909i,-0.00482412135296185+0.00300094415135699i,0.0263780143526627+0.00291372611005843i,-0.0463207180100873+0.0136592212972267i,-0.025101709937963-0.000132425027030603i,0.0315752107013567+0.00193950297819877i
0.0013441308459989-0.00492504090512502i,0.0634842261059589+0.0562028265261525i,0.0374257027715305+0.00271492361567036i,-0.0683457461011961-0.0123131663296747i,0.0199693614062369-0.0206473285419877i,0.0567469962058578+0.00100818191615521i,-0.0173433442212836-0.00580929912340094i
0.00185203803800679+0.000612273225425626i,-0.010770829171851-0.0497555949698076i,-0.0377623181416788+0.0251105844030054i,-0.0323036958440242-0.0079216698070888i,0.0671713222544383+0.0204664543610341i,-0.00486141638404121-0.00403295653964691i,0.0424564894201932+0.00589841418078651i
-0.0232085213368114+0.000740251228120164i,0.0313396859329759+0.0338351523525673i,0.0448385382654834+0.0149682296561818i,-0.0224837010312563-0.0138188181004305i,-0.0303710306146774-0.0184496427647771i,0.0499792019391052+0.00155277277978629i,-0.0300312124258189-0.0131001049054143i
0.0126367585110199-0.00422333029353382i,-0.0380425403214655+0.0332354847457469i,-0.0269361807232951-0.0520565966328006i,0.00147766280954105+0.0136770722723002i,-0.0437577012172509+0.000774029405088898i,-0.0480782075352126+0.00286978386706164i,-0.0158160051502196+0.0126099320720059i
0.0153760039781758+0.00017589659106278i,-0.00211876165034867+0.0277469373080434i,-0.0182031583515834-0.0369776879785457i,-0.0198104862790441+0.00579681941752952i,0.00783572272108946-0.0058935888826158i,-0.0403841250582536+0.00143139311844421i,-0.00560534185377331+0.00426617986926415i
0.0125343479795587-0.000730205072615354i,0.00697702177922965-0.000350632558709455i,-0.00802132633752873+0.00682379797226876i,0.0178206200523234+8.87003862367732e-05i,-0.0129982181517402+0.00660893206138105i,-0.0433202726968879-0.00360193285179887i,-0.0054341554570375-0.0122178783648071i
0.00659784280928839+0.00131816755425902i,0.0192324942746179-0.0108470026696619i,-0.00237963162541442+0.00988257661194853i,0.0385663566229151-0.000931240642424961i,0.0445326743127882+0.00562795337655715i,0.0576607919540698-0.004319995821603i,-0.00992889849302235-0.00755229966784865i
-0.0200906877158172-0.00267622630654328i,0.052334153659027+0.0321630722218987i,0.0352771363085951+0.0301560257658425i,-0.0552752186340795-0.0197035901269912i,-0.0273378853951905-0.0123836846092148i,-0.0198060593812052+0.000915964787687165i,-0.00657984963795921-0.0185063899795492i
-0.0205849477906914-0.0001465234161749i,0.0394549600530033+0.0458822776054115i,0.0338716155248766-0.0121628016756684i,-0.0652787232717172-0.0173358012975799i,-0.00681626373647865-0.0126993137342551i,-0.0808225239925808+0.00454452662963875i,0.0383283659257282-0.00366212074569006i
-0.0184635719558198-0.00530079592619324i,-0.045615995006555-0.01489451665698i,0.0100914777746491-0.00843789576856829i,0.0232541149660298+0.0145955557583563i,-0.0743068064357176+0.0036553593696563i,0.0145465434420387+0.00591244452700427i,0.0244545846932884+0.0188915852881384i
-0.0109967319896729-0.000214882411093653i,-0.00234838936643758+0.0111722718830426i,0.00403116911664777-0.00881060749873578i,-0.00136819983158973+0.00543960787260534i,0.00193638904547364-0.0107591519521066i,-0.0824773488400934+0.00550175342845169i,-0.0184610565758093+0.00313780231099357i
0.0186697437649482-0.000664031652729185i,-0.00165186348641812+0.0180772263091595i,-0.0344937370264542-0.020147741069642i,-0.0545927808923109-0.00451438192069926i,0.0620992245699368-0.00121878483101899i,-0.0586274115748802-0.000258721407969308i,-0.0125140190122158+0.00736632108629733i
-0.0189306908105643+1.70220779505678e-05i,0.0317036965028601+0.0174118872031427i,0.0386362801562185+0.0150168628345304i,0.0107745881461443-0.0114818966212445i,0.00629191609635797-0.00890528717191105i,0.0348325988160992+0.00160299389634297i,-0.00819863068950494-0.00846187602620189i
0.0287849968438704-0.00122718132539228i,-0.00187367967862489+0.022234110766543i,-0.000736183726970587-0.0475058794667708i,0.0235413571095955+0.0193357965522782i,0.0671624672766312-0.01176073792525i,0.0616058621538767+0.00248683596908812i,-0.0158253315907771+0.0191635609068516i
-0.000398276573229435+0.00342251989822002i,0.0229529548058171-0.0281142964535443i,-0.00324693363312902+0.0480629601661561i,0.0270304158632947-0.0117511856429419i,0.0194582317506335+0.00772684647524004i,-0.017835358125645-0.00516482263120295i,-0.0226829232728654-0.0248646442973307i
